word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date
germ,c1,,2.4867,1,1,dʒә:m,"n. 细菌, 种子, 生殖细胞, 根源",研四六托雅宝,9241,11643,[29],[32],,-1,11,2026-08-31
swallow,b2,verb,2.29,1,3,'swɒlәu,"n. 燕子, 吞咽, 喉 / vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制 / vi. 吞下, 咽下",高研四六托雅宝,3535,3290,[29],[37],,-1,11,2026-08-31
distant,b2,adjective,2.2633,1,2,'distәnt,"a. 远的, 疏远的",高研四六托雅宝,2630,2745,[35],[11],,-1,11,2026-08-31
cab,b2,,2.2367,1,1,kæb,"n. 出租车, 出租汽车, 出租马车 / vi. 乘出租马车(或汽车)",高研托雅,4220,4014,[21],[11],"When the doctor came down yesterday to put me in the cab, he told me that for three days they gave you up.",53,11,2026-08-31
darkness,b2,noun,2.2367,1,1,'dɑ:knis,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知",高,2649,2508,[45],[6],,-1,11,2026-08-31
rail,b2,noun,2.2367,1,1,reil,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡 / vt. 以横木围栏, 给...铺铁轨 / vi. 责骂, 抱怨",高研四六托雅宝,3373,1961,[48],[7],"All the way in the train the rails kept singing, 'You're going to see Daddy-Long-Legs.' It made me feel secure.",29,11,2026-08-31
secure,b2,adjective,2.2367,1,1,si'kjuә,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的 / vt. 固定, 获得, 保证, 使安全, 掩护, 招致 / vi. 停止操作, 船抛锚",高研四六托宝,2489,1654,[48],[19],"All the way in the train the rails kept singing, 'You're going to see Daddy-Long-Legs.' It made me feel secure.",104,11,2026-08-31
bronze,b2,,2.2367,1,1,brɒnz,"n. 青铜, 铜像 / a. 青铜色的",研四六托雅,4926,4024,[84],[5],The woods today are burnished bronze and the air is full of frost.,30,11,2026-08-31
frost,b2,,2.2,2,3,frɒst,"n. 霜, 冰冻, 冷漠 / vt. 覆着霜, 冻结, 结霜 / vi. 受冻, 起霜",高研四六托雅,21397,6935,"[46, 84]","[26, 12]",The woods today are burnished bronze and the air is full of frost.,60,11,2026-08-31
scarcely,b2,,2.1667,1,4,'skɑ:sli,"adv. 简直不, 一定不, 仅仅",研四六托雅,6981,4028,[64],[17],,-1,11,2026-08-31
damp,b2,,2.1133,1,2,dæmp,"n. 潮湿, 湿气 / a. 潮湿的 / vt. 使潮湿, 使阻尼, 抑止 / vi. 变潮湿, 衰减",高研四六托雅宝,5562,3845,[6],[5],These fall rains are very damp.,26,11,2026-08-31
darling,b2,,2.0867,1,1,'dɑ:liŋ,"n. 亲爱的, 可爱的人, 可爱的物 / a. 可爱的, 亲爱的",研四,6421,3264,[40],[6],"Will you still care for me, darling, if I turn out to be only eleven?",28,11,2026-08-31
magnificent,b2,adjective,2.0867,1,1,mæg'nifisnt,"a. 华丽的, 高尚的, 宏伟的",研四六托雅宝,5493,3533,[56],[5],"It was a very sombre, magnificent, man's sort of room.",22,11,2026-08-31
dim,b2,,2.0867,1,1,dim,"a. 暗淡的, 模糊的 / vt. 使暗淡",研四六托雅宝,5733,7081,[64],[3],,-1,11,2026-08-31
affectionately,toe,,1.9267,1,10,ә'fekʃәnitli,"adv. 挚爱地, 亲切地",14360/14391),14360,14391,[7],[0],"Affectionately, Judy  PS.",0,11,2026-08-31
butler,toe,,1.86,3,3,'bʌtlә,"n. 男管家, 司膳总管",11155/5463),11155,5463,"[9, 10, 53]","[3, 3, 9]",Have you a butler?,11,11,2026-08-31
disrespectful,toe,,1.8,2,3,.disri'spektful,"a. 失礼的, 无礼的, 不尊敬的",托,16085,23267,"[76, 76]","[4, 9]","Just plain Jervie sounds disrespectful, and I can't be disrespectful to you!",25,11,2026-08-31
tangible,toe,,1.7733,2,2,'tændʒәbl,"n. 可触知的东西, 有形资产 / a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的",托雅宝,7176,7638,"[3, 32]","[27, 17]",I want to have you close by where I can touch you and make sure you are tangible.,72,11,2026-08-31
