word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date
postman,c1,,2.6867,3,4,'pәustmәn,n. 邮递员,中高研四六,20141,11573,"[23, 26, 166]","[8, 1, 1]",The postman has just come with two letters.,4,7,2026-08-31
stubborn,c1,,2.5133,1,2,'stʌbәn,"a. 顽固的, 不听话的, 执拗的, 棘手的",高研六托雅宝,7548,9547,[205],[8],"I never knew a man so obstinate, and stubborn and unreasonable, and tenacious, and bull-doggish, and unable-to-see-other-people's-point-of-view, as you.",37,7,2026-08-31
jog,c1,,2.4867,1,1,dʒɒg,"n. 轻推, 轻撞, 慢跑 / v. 轻推, (使)蹒跚行进, (使)慢跑",高研六托雅宝,8335,8826,[30],[14],"Several people on the route take daily papers, and he reads them as he jogs along, and repeats the news to the ones who don't subscribe.",71,7,2026-08-31
assassinate,c1,,2.4867,1,1,ә'sæsineit,"vt. 暗杀, 行刺",研六托,8844,11958,[31],[17],,-1,7,2026-08-31
serial,c1,adjective,2.4867,1,1,'siәriәl,"n. 分期连载作品, 连载小说 / a. 连续的, 一连串的, 连载的, 分期偿还的",研雅宝,6852,7913,[129],[7],Stevenson only got thirty pounds for the serial rights—I don't believe it pays to be a great author.,41,7,2026-08-31
gnaw,c1,,2.4867,1,1,nɒ:,"v. 咬, 啃, 侵蚀, 消耗, 折磨",六托宝,12600,15154,[145],[24],"When you get accustomed to people or places or ways of living, and then have them snatched away, it does leave an awfully empty, gnawing sort of sensation.",129,7,2026-08-31
shutter,c1,,2.4867,1,1,'ʃʌtә,"n. 百叶窗, 关闭物, 照相机快门, 关闭者 / vt. 为...装百叶窗, 以百叶窗遮闭",研六托雅,9012,8832,[158],[12],It commenced just that moment with tremendously big drops and all the shutters banging.,70,7,2026-08-31
proficiency,c1,,2.4867,1,1,prә'fiʃәns,"n. 精通, 熟练, 精练",研六托雅,10195,15072,[174],[5],It was founded for 'marked proficiency in English with general excellency in other lines.' And I've won it!,27,7,2026-08-31
obstinate,c1,,2.4867,1,1,'ɒbstinit,"a. 倔强的, 顽固的, 不让步的",研六托雅宝,21852,18767,[205],[6],"I never knew a man so obstinate, and stubborn and unreasonable, and tenacious, and bull-doggish, and unable-to-see-other-people's-point-of-view, as you.",22,7,2026-08-31
sane,c1,,2.4867,1,1,sein,"a. 神智健全的, 稳健的, 没病的, 合理的",研托宝,9556,11270,[210],[8],,-1,7,2026-08-31
deprive,c1,verb,2.4867,1,1,di'praiv,"vt. 剥夺, 使丧失",研六托雅,6202,4489,[223],[12],"Since you are so afraid that by taking this scholarship I am depriving someone else of an education, I know a way out.",61,7,2026-08-31
monthly,b2,adjective,2.43,2,6,'mʌnθli,"n. 月刊 / a. 每月的, 每月一次的",研四,3520,3652,"[178, 220]","[1, 19]","The monthly allowance will be all I'll need, and maybe I can earn that with writing or tutoring or something.",4,7,2026-08-31
reform,b2,noun,2.3433,1,5,ri'fɒ:m,"n. 改革, 改正, 改造 / vt. 改革, 改过, 革新, 重整 / vi. 革新, 改过",高研四六托雅,1112,1211,[137],[34],,-1,7,2026-08-31
rug,b2,,2.3333,2,8,rʌg,"n. 小块地毯, 揭露某人",研四六,5095,4652,"[159, 185]","[46, 7]","We have new wall paper and oriental rugs and mahogany chairs—not painted mahogany which made us sufficiently happy last year, but real.",36,7,2026-08-31
soak,b2,verb,2.3233,2,2,sәuk,"n. 浸, 湿透, 大雨 / vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉 / vi. 浸泡, 渗透",研四六雅宝,4835,5630,"[91, 159]","[2, 68]",You are soaked through.,8,7,2026-08-31
porch,b2,,2.3167,1,4,pɒ:tʃ,"n. 门廊, 走廊",研四六雅,3042,7959,[54],[12],"He and I eat at a little table set on the side porch, or sometimes under the trees, or—when it rains or is cold—in the best parlour.",47,7,2026-08-31
resume,b2,verb,2.3167,1,4,ri'zju:m,"vt. 重新开始, 取回, 恢复 / vi. 再开始 / n. 摘要, 个人简历",研四六托雅宝,3780,3836,[159],[35],,-1,7,2026-08-31
suspicion,b2,noun,2.29,1,3,sә'spiʃәn,"n. 怀疑, 觉察, 嫌疑",研四六托宝,3762,3216,[10],[20],"Mrs. Dowd is engaged to come tomorrow to wash the windows (in the exigency of the moment, we waive our suspicions in regard to the piglet).",103,7,2026-08-31
