word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date
canoe,c1,,2.6533,2,5,kә'nu:,"n. 独木舟, 轻舟 / vi. 乘独木舟 / vt. 用独木舟运",研四六托,6612,9132,"[142, 166]","[16, 14]","Jimmie McBride is going to teach me how to ride horseback and paddle a canoe, and how to shoot and—oh, lots of things I ought to know.",71,6,2026-08-31
monotonous,c1,,2.5667,1,4,mә'nɒtәnәs,"a. 单调的, 无变化的",研托雅宝,16805,13743,[75],[4],Our lives were absolutely monotonous and uneventful.,26,6,2026-08-31
pneumonia,c1,,2.54,1,3,nju:'mәunjә,n. 肺炎,研,8632,9952,[205],[10],"Well, the poor old soul is dead—last winter of pneumonia.",47,6,2026-08-31
harp,c1,,2.5133,1,2,hɑ:p,"n. 竖琴 / vi. 弹奏竖琴, 不停地说",六宝,11984,12360,[209],[6],I hope he is enjoying his harp and golden crown; he was so perfectly sure of finding them!,26,6,2026-08-31
thoughtless,c1,,2.4867,1,1,'θɒ:tlis,"a. 欠考虑的, 无深虑的, 轻率的",六,20001,20094,[24],[5],"But if I sometimes seem thoughtless and ungrateful, I never mean it.",24,6,2026-08-31
sullen,c1,,2.4867,1,1,'sʌlәn,"a. 愠怒的, 沉闷的, 阴沉的",六托宝,12817,14688,[26],[6],"My childhood was just a long, sullen stretch of revolt, and now I am so happy every moment of the day that I can't believe it's true.",30,6,2026-08-31
clown,c1,,2.4867,1,1,klaun,"n. 小丑, 乡下人",六宝,6889,8787,[36],[7],"Also about a dozen funny people, like clowns in a circus, to keep the spectators entertained between events.",38,6,2026-08-31
crab,c1,,2.4867,1,1,kræb,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果 / vi. 捕蟹, 偏航, 发牢骚 / vt. 使偏航, 抱怨, 破坏",研六托宝,5100,8024,[59],[4],"We had fried soft-shell crabs, and chocolate ice-cream moulded in the shape of basket balls.",24,6,2026-08-31
outrage,c1,noun,2.4867,1,1,'autreidʒ,"n. 暴行, 侮辱, 愤怒 / vt. 凌辱, 虐待, 触犯",研六托宝,5684,6948,[71],[2],"Don't be outraged, Daddy.",9,6,2026-08-31
waitress,c1,,2.4867,1,1,'weitris,"n. 女侍者, 女服务员",高研六雅,6390,10243,[118],[19],"Its capacity will be: (a) one dean, five instructors. (b) two hundred girls. (c) one housekeeper, three cooks, twenty waitresses, twenty chambermaids.",118,6,2026-08-31
curt,c1,,2.4867,1,1,kә:t,"a. 简略的, 简短的, 生硬的",六托宝,18407,16308,[179],[2],Just a curt line from your secretary ordering me to Lock Willow.,7,6,2026-08-31
outlook,c1,noun,2.4867,1,1,'autluk,"n. 观点, 景色, 前途, 了望",研四六托,5863,5039,[202],[84],,-1,6,2026-08-31
faction,c1,noun,2.4867,1,1,'fækʃәn,"n. 小派系, 内讧",六托宝,5641,4622,[211],[7],"The congregation is pretty dubious, especially the faction led by Deacon Cummings.",51,6,2026-08-31
tropic,c1,,2.4867,1,1,'trɒpik,n. 回归线,研六雅,26288,38589,[220],[5],I want to see the tropics.,18,6,2026-08-31
wade,c1,,2.4867,1,1,weid,"vi. 跋涉 / vt. 涉水 / n. 跋涉, 浅滩",六托宝,7622,11499,[227],[13],"But if you MUST have news, here it is:  Our nine young pigs waded across the brook and ran away last Tuesday, and only eight came back.",60,6,2026-08-31
pumpkin,c1,,2.4867,1,1,'pʌmpkin,n. 南瓜,六托,6149,17329,[229],[12],"Mr. Weaver has painted his barn and his two silos a bright pumpkin yellow—a very ugly colour, but he says it will wear.",59,6,2026-08-31
ginger,c1,,2.4867,1,1,'dʒindʒә,"n. 姜, 精力, 姜黄色 / a. 姜黄色的 / vt. 用姜调味, 使活泼, 使有生气",六宝,7328,12231,[235],[16],The new clerk in the post office at Bonnyrigg Four Corners drank every drop of Jamaica ginger they had in stock—seven dollars' worth—before he was discovered.,87,6,2026-08-31
rake,c1,,2.4867,1,1,reik,"n. 耙子, 钱耙, 斜度, 浪子 / v. 搜索, 掠过, (用耙子)耙, (使)倾斜",研四六,8861,10098,[240],[9],"This is my latest portrait, on my way to rake the hay.",41,6,2026-08-31
