word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date,cn_mean,cn_sent
commence,c1,verb,2.8467,3,10,kә'mens,"v. (使)开始, 得学位",研六托雅宝,9454,4318,"[28, 96, 236]","[10, 3, 57]",Jerusha Abbott has commenced to be an author.,19,3,2026-08-31,v. 开始,朱鲁莎·艾伯特开始成为一名作家了。
toad,c1,,2.8333,5,5,tәud,"n. 蟾蜍, 癞蛤蟆, 讨厌的家伙",六托,12413,10619,"[179, 182, 183, 184, 186]","[19, 14, 17, 18, 18]","Yours for ever, Judy  8th hour, Monday  Dear Daddy-Long-Legs,  I hope you aren't the Trustee who sat on the toad?",108,3,2026-08-31,n. 蟾蜍，癞蛤蟆,亲爱的长腿叔叔，我希望你不是那位坐在癞蛤蟆上的理事？
stocking,b2,,2.6,6,9,'stɒkiŋ,n. 长袜,高研四六,8355,6503,"[29, 31, 32, 33, 38, 245]","[26, 15, 19, 23, 7, 13]","It was a very low motive, if you must know it, that prompted the silk stockings.",70,3,2026-08-31,n. 长袜,跟你说实话吧，促使我买丝袜的动机实在不怎么高尚。
maple,c1,,2.5933,1,5,'meipl,"n. 枫, 枫木, 淡棕色",高六宝,5571,10494,[48],[9],"Broiled lobster (35 cents), and for dessert, buckwheat cakes and maple syrup (15 cents).",65,3,2026-08-31,n. 枫树；枫糖,烤龙虾（35 美分），甜点是荞麦饼和枫糖浆（15 美分）。
breed,c1,noun,2.5133,1,2,bri:d,"n. 种类, 品种 / v. 养育, 引起, 饲养, 繁殖",研四六托雅宝,5698,3721,[92],[11],On the topmost branches of her family tree there's a superior breed of monkeys with very fine silky hair and extra long tails.,62,3,2026-08-31,n. 品种 v. 饲养；繁殖,在我家族谱系树最高的枝头上，蹲着一种优良品种的猴子——毛又细又软，尾巴也格外长。
bushel,c1,,2.5133,1,2,'buʃәl,n. 蒲式耳(容量单位) / v. 修整(衣物),六,14359,23679,[112],[5],I've read seventeen novels and bushels of poetry—really necessary novels like Vanity Fair and Richard Feverel and Alice in Wonderland.,31,3,2026-08-31,n. 蒲式耳（计量单位）；大量,我读了十七本小说和大量的诗——都是真正必要的小说，比如《名利场》《理查德·费弗雷尔》和《爱丽丝漫游奇境》。
dormitory,c1,,2.5133,1,2,'dɒ:mitәri,n. 宿舍,高四六托,10947,14248,[205],[1],"This dormitory, owing to its age and ivy-covered walls, is full of centipedes.",5,3,2026-08-31,n. 宿舍,这栋宿舍楼年头久、爬满常春藤，里面全是蜈蚣。
leak,c1,noun,2.5133,1,2,li:k,"n. 漏洞, 漏处, 漏出, 泄漏 / vi. 漏, 泄漏 / vt. 使渗漏",高研四六托雅宝,5165,5948,[212],[11],I forgot to take any blotting paper and my fountain pen leaked.,56,3,2026-08-31,v. 漏，渗 n. 漏洞,我忘了带吸墨纸，钢笔漏水了。
flake,c1,,2.4867,1,1,fleik,"n. 小薄片, 扁薄的一层, 火星, 晒鱼架子 / vt. 使成薄片 / vi. 剥落",六托雅,7753,10159,[13],[15],All the world that I see from my tower is draped in white and the flakes are coming down as big as pop-corns.,66,3,2026-08-31,n. 小薄片；雪花,从我的塔楼望出去，整个世界都裹上了白色，雪花落下来像爆米花那么大。
steamer,c1,,2.4867,1,1,'sti:mә,"n. 汽船, 蒸汽机",研四六雅,13331,11992,[27],[1],A steamer rug. (My tower is cold.)  V.,2,3,2026-08-31,n. 汽船；蒸锅,一条轮船上盖的旅行毛毯。（我的塔楼很冷。）
composite,c1,,2.4867,1,1,kәm'pɒzit,"a. 合成的, 混合成的, 菊科的 / n. 合成物, 复合材料, 菊科",研六雅,6741,8078,[40],[11],"You don't object, do you, to playing the part of a composite family?",51,3,2026-08-31,adj. 合成的，拼凑的 n. 合成物,你不介意扮演一个“拼凑家庭”的角色吧？
copper,c1,noun,2.4867,1,1,'kɒpә,"n. 铜, 警察",研四六托,5053,3656,[58],[5],"The kitchen is huge, with copper pots and kettles hanging in rows on the stone wall—the littlest casserole among them about the size of a wash boiler.",26,3,2026-08-31,n. 铜；铜器,厨房非常大，石头墙上一排排挂着铜锅铜壶——其中最小的一口炖锅也有洗衣锅那么大。
sardine,c1,,2.4867,1,1,sɑ:'di:n,n. 沙丁鱼,六,15458,15933,[120],[16],I had a supper party this evening consisting of Sallie and Julia and Leonora Fenton—and sardines and toasted muffins and salad and fudge and coffee.,88,3,2026-08-31,n. 沙丁鱼,今晚我办了个小小的晚宴，客人是莎莉、朱莉娅和莉奥诺拉·芬顿——吃的是沙丁鱼、烤松饼、沙拉、软糖和咖啡。
futile,c1,,2.4867,1,1,'fju:tail,"a. 无用的, 琐细的, 不重要的",研托宝,9374,9535,[163],[1],How futile a thing is education!,4,3,2026-08-31,adj. 徒劳的，无用的,教育这东西多么无用啊！
shaky,c1,,2.4867,1,1,'ʃeiki,"a. 震动的, 摇晃的, 动摇的",六,7947,8423,[164],[8],I can't write any more; I get rather shaky when I sit up too long.,37,3,2026-08-31,adj. 摇晃的；发抖的,我写不下去了；坐得太久，我有点发抖。
acquisitive,c1,,2.4867,1,1,ә'kwizitiv,"a. 渴望获得的, 贪婪的",六托宝,28517,23098,[186],[23],I don't know why I am in such a reminiscent mood except that spring and the reappearance of toads always awakens the old acquisitive instinct.,121,3,2026-08-31,adj. 渴望获得的；贪求的,我不知道自己为什么这么怀旧——大概是春天和重新出洞的蟾蜍，总唤起那种古老的占有欲吧。
stew,c1,,2.4867,1,1,stju:,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘 / vi. 炖, 焖, 忧虑 / vt. 炖, 焖, 使焦虑",六托,7118,10172,[215],[3],We had mutton stew and pie-plant for lunch—hate 'em both; they taste like the asylum.,14,3,2026-08-31,n. 炖菜 v. 炖,午饭吃的是炖羊肉和大黄派——两样都讨厌；吃起来一股孤儿院的味道。
candy,b2,,2.4633,3,5,'kændi,"n. 糖果, 冰糖 / vt. 用糖煮, 使结晶为砂糖 / vi. 结晶为砂糖",中高研四,3446,10657,"[56, 61, 65]","[4, 9, 7]","It was great fun, though I have seen better candy.",44,3,2026-08-31,n. 糖果,非常好玩，虽然我吃过比这更好的糖。
