word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date
socialist,c1,adjective,2.8,4,6,'sәuʃәlist,"n. 社会主义者, 社会党党员",高四六,5591,2568,"[98, 103, 130, 211]","[2, 7, 2, 6]",That's a Socialist who's willing to wait.,9,8,2026-08-31
complicate,c1,,2.5133,1,2,'kɒmplikeit,"vt. 弄复杂, 使错综, 使恶化 / vi. 变复杂",研四六托宝,5983,9479,[173],[17],We had a charming time—but I shall have to omit details; they are too many and complicated.,79,8,2026-08-31
blouse,c1,,2.4867,1,1,blauz,n. 宽松的上衣,高研六雅,6586,8160,[0],[25],,-1,8,2026-08-31
awe,c1,,2.4867,1,1,ɒ:,n. 敬畏 / vt. 使敬畏,研托宝,7103,8655,[8],[2],,-1,8,2026-08-31
wasteful,c1,,2.4867,1,1,'weistful,"a. 浪费的, 不经济的",六,12903,11174,[20],[4],"This is an awfully wasteful country to throw away such an honest, educated, conscientious, intelligent citizen as I would be.",19,8,2026-08-31
conscientious,c1,,2.4867,1,1,.kɒnʃi'enʃәs,"a. 有责任心的, 负责的, 本着良心的",研托雅宝,11605,11085,[20],[13],"This is an awfully wasteful country to throw away such an honest, educated, conscientious, intelligent citizen as I would be.",76,8,2026-08-31
deflect,c1,,2.4867,1,1,di'flekt,"vt. 转移, 使偏斜 / vi. 偏斜",六托雅宝,9591,9485,[71],[14],"How can I keep my mind sternly fixed on a studious career, when you deflect me with such worldly frivolities?",68,8,2026-08-31
brace,c1,,2.4867,1,1,breis,"n. 支柱, 曲柄, 支撑, 一对 / vt. 紧缚, 支撑, 激励 / vi. 打起精神",研六托雅宝,6591,8937,[111],[32],I'm still pretty breathless but I am glad to get back to college and my books—I believe that I really am a student; this atmosphere of academic calm I find more bracing than New York.,161,8,2026-08-31
endeavour,c1,noun,2.4867,1,1,in'devә,"n. 努力, 力图, 尽力 / vi. 努力, 力图, 尽力",六托雅,31964,6950,[141],[11],He says that we are losing the old ideals of earnest endeavour and true scholarship; and particularly is this falling-off noticeable in our disrespectful attitude towards organized authority.,53,8,2026-08-31
semester,c1,,2.4867,1,1,si'mestә,n. 学期,研四六托雅,5465,36683,[147],[25],"My Dear Mr. Smith,  You will be pleased to hear that I passed successfully my mid-year examinations, and am now commencing work in the new semester.",139,8,2026-08-31
qualitative,c1,,2.4867,1,1,'kwɒlitәtiv,"a. 性质的, 质的, 定性的",研六雅,7101,8234,[148],[9],I am leaving chemistry—having completed the course in qualitative analysis—and am entering upon the study of biology.,54,8,2026-08-31
snowstorm,c1,,2.4867,1,1,'snәustɒ:m,n. 暴风雪,研四六,13456,23065,[163],[16],The weather of late has been ideal—bright sunshine and clouds interspersed with a few welcome snow-storms.,94,8,2026-08-31
pulley,c1,,2.4867,1,1,'puli,"n. 滑车, 滑轮",六宝,15800,20246,[191],[19],"The instructor hooks a rope into a ring in the back of my belt, and runs it through a pulley in the ceiling.",86,8,2026-08-31
slack,c1,,2.4867,1,1,slæk,"n. 松弛, 松懈, 淡季, 闲散, 家常裤 / a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的 / adv. 马虎地, 缓慢地 / vt. 放松, 使缓慢 / vi. 松懈, 减弱, 松弛",研六雅宝,6983,11676,[193],[11],,-1,8,2026-08-31
coincide,c1,verb,2.4867,1,1,.kәuin'said,"vi. 一致, 符合",研六托雅宝,6656,4134,[242],[6],Princeton commencement and our examinations exactly coincide—which is an awful blow.,52,8,2026-08-31
visualize,c1,,2.4867,1,1,'viʒuәlaiz,"vt. 使看得见, 使具体化, 想象, 设想 / vi. 想象, 显形",六雅,8673,12013,[246],[2],I can't visualize your surroundings.,8,8,2026-08-31
meditate,c1,,2.4867,1,1,'mediteit,"vt. 想, 考虑, 计划 / vi. 沉思, 反省",研六托雅宝,12380,15721,[247],[16],Do you play golf or hunt or ride horseback or just sit in the sun and meditate?,70,8,2026-08-31
tank,b2,noun,2.35,2,3,tæŋk,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克 / vt. 储于箱中",高研四六托,1874,1897,"[158, 190]","[9, 26]","The gymnasium is equipped with a very beautiful swimming tank of cement and marble, the gift of a former graduate.",57,8,2026-08-31
