word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date
pronoun,c1,,2.4867,1,1,'prәunaun,n. 代词,研四六,16856,9344,[4],[28],One doesn't miss what one has never had; but it's awfully hard going without things after one has commenced thinking they are his—hers (English language needs another pronoun) by natural right.,167,9,2026-08-31
soda,c1,,2.4867,1,1,'sәudә,"n. 苏打, 碳酸水",研四六,5125,9939,[33],[30],She is a most uncommonly spoiled child; I shall have to teach her first how to study—she has never in her life concentrated on anything more difficult than ice-cream soda water.,166,9,2026-08-31
preposition,c1,,2.4867,1,1,.prepә'ziʃәn,"n. 前置词, 介词",研四六雅宝,27652,26713,[36],[1],"The prepositions a or ab, absque, coram, cum, de e or ex, prae, pro, sine, tenus, in, subter, sub and super govern the ablative.",4,9,2026-08-31
mislead,c1,,2.4867,1,1,mis'li:d,vt. 误导,研四六托,8670,8459,[42],[5],But I don't wish to mislead you.,20,9,2026-08-31
algebra,c1,,2.4867,1,1,'ældʒibrә,n. 代数学,高四六托,12790,16477,[47],[9],I spend the morning with Latin and English and algebra and my two stupid girls.,47,9,2026-08-31
concise,c1,,2.4867,1,1,kәn'sais,"a. 简洁的, 简明的",研六托雅宝,15935,11311,[55],[12],"A letter comes from Mr. Jervis Pendleton in Paris, rather a short concise letter; I'm not quite forgiven yet for refusing to follow his advice.",66,9,2026-08-31
persistent,c1,adjective,2.4867,1,1,pә'sistәnt,"a. 固执的, 坚持的, 持续的, 作用持久的",六托,5269,4704,[71],[10],"Goodbye—sorry to have disobeyed, but why are you so persistent about not wanting me to play a little?",52,9,2026-08-31
sophisticate,c1,,2.4867,1,1,sә'fistikeit,"n. 久经世故的人, 精于...之道的人 / vt. 篡改, 曲解, 使变得世故, 掺合, 弄复杂 / vi. 诡辩",六,28011,37736,[76],[8],"It doesn't seem possible, does it, that so sophisticated a person, just four years ago, was an inmate of the John Grier Home?",43,9,2026-08-31
exaggerate,c1,verb,2.4867,1,1,ig'zædʒәreit,"v. 夸大, 夸张",研四六托雅宝,6312,5927,[108],[1],Characterization exaggerated.,17,9,2026-08-31
notable,c1,adjective,2.4867,1,1,'nәutәbl,"n. 著名人士, 值得注意之事物 / a. 值得注意的, 显著的",研六托雅宝,5293,4196,[112],[7],And I thought I was making a notable addition to American literature.,29,9,2026-08-31
resultant,c1,,2.4867,1,1,ri'zʌltәnt,"a. 结果的, 合成的 / n. 结果, 合力, 生成物",研六,14064,9919,[149],[19],I don't agree at all with the philosophers who think that every action is the absolutely inevitable and automatic resultant of an aggregation of remote causes.,114,9,2026-08-31
eternal,c1,adjective,2.4867,1,1,i'tә:nl,"a. 永恒的, 永远的, 不灭的",研六托雅宝,5626,6025,[172],[13],"9th January  Do you wish to do something, Daddy, that will ensure your eternal salvation?",71,9,2026-08-31
strait,c1,,2.4867,1,1,streit,"n. 海峡, 困境 / a. 困难的, 窘迫的, 狭窄的",高六托雅宝,12059,8841,[173],[10],There is a family here who are in awfully desperate straits.,52,9,2026-08-31
inertia,c1,,2.4867,1,1,i'nә:ʃә,"n. 惯性, 惰性, 迟钝",研六雅宝,12961,11341,[186],[13],"Humility or resignation or whatever you choose to call it, is simply impotent inertia.",78,9,2026-08-31
militant,c1,adjective,2.4867,1,1,'militәnt,a. 好战的,研六托雅宝,7179,8006,[187],[4],I'm for a more militant religion!,15,9,2026-08-31
philosophy,b2,noun,2.41,3,3,fi'lɒsәfi,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着",研四六托,2252,2351,"[5, 141, 188]","[12, 4, 8]",Also we've arrived at philosophy—interesting but evanescent.,22,9,2026-08-31
cliff,b2,noun,2.41,3,3,klif,"n. 悬崖, 绝壁",研四六托雅,4312,3551,"[31, 34, 53]","[4, 7, 9]","In the afternoon we take a walk on the cliffs, or swim, if the tide is right.",39,9,2026-08-31
grasp,b2,noun,2.35,2,3,græsp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制 / vt. 抓住, 紧握, 领会 / vi. 抓",高研四六托,4181,3973,"[11, 215]","[14, 9]",I seem to be floundering in a sea of metaphor—but I hope you grasp my meaning?,61,9,2026-08-31
