word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date,cn_mean,cn_sent
swamp,c1,,2.6,2,3,swɒmp,"n. 沼泽, 进退两难的困境 / vt. 淹没, 击溃, 清除, 使陷于沼泽 / vi. 陷于沼泽, 淹没",研四六托雅宝,6335,9459,"[140, 141]","[12, 12]","We kept losing the trail, and we wasted twenty-five minutes over that swamp.",70,5,2026-08-31,n. 沼泽 v. 淹没,我们老是迷路，光在那片沼泽里就白白耗了二十五分钟。
utmost,c1,,2.5133,1,2,'ʌtmәust,"n. 极限, 最大限度, 极度 / a. 极度的, 最远的",研四六雅,11755,9464,[159],[5],"I passed everything with the utmost ease—I know the secret now, and am never going to fail again.",29,5,2026-08-31,adj. 极度的 n. 极限,我轻轻松松通过了所有考试——现在我摸到诀窍了，再也不会不及格。
transparency,c1,noun,2.4867,1,1,træns'pærәnsi,"n. 透明, 透明度, 透过性, 透明物, 清晰",8532/11856),8532,11856,[17],[10],"Sallie was elected, and we had a torchlight parade with transparencies saying, 'McBride for Ever,' and a band consisting of fourteen pieces (three mouth organs and eleven combs).",56,5,2026-08-31,n. 透明；透明灯牌，幻灯片,莎莉当选了，我们举着火把游行，灯牌上写着“麦克布莱德万岁”，还有一支十四件乐器（三支口琴和十一把梳子）组成的乐队。
compress,c1,,2.4867,1,1,kәm'pres,"vt. 压缩, 压紧 / vi. 受压缩小",研四六托雅宝,9510,9573,[23],[19],I'd be willing to be black and blue all over and stay in bed a week in a witch-hazel compress.,85,5,2026-08-31,v. 压缩 n.（湿）敷布,哪怕浑身青一块紫一块、在床上躺一个星期，只要敷着药水布我也愿意。
theatrical,c1,adjective,2.4867,1,1,θi'ætrikl,"a. 剧场的, 夸张的, 戏剧性的 / n. 戏剧演出",7277/7768),7277,7768,[34],[6],I'm to be in the Thanksgiving theatricals.,30,5,2026-08-31,adj. 戏剧的；夸张做作的,我要参加感恩节的戏剧演出。
knob,c1,,2.4867,1,1,nɒb,"n. 把手, 瘤, 旋钮, 球形突出物 / vt. 使有球形突出物 / vi. 鼓起",研四六雅,7863,9973,[49],[42],,-1,5,2026-08-31,n. 球形把手；旋钮,我把五斗橱上的铜把手擦了又擦，直到它们亮得像一个个小月亮。
mouthful,c1,,2.4867,1,1,'mauθful,"n. 一口, 满口",高四六,13176,9085,[55],[10],,-1,5,2026-08-31,n. 一口，满口,她每口只吃那么一小点，一顿晚饭要吃上一个钟头。
destructive,c1,adjective,2.4867,1,1,di'strʌktiv,"a. 毁灭性的, 破坏的, 有害的",研四六托雅,5818,6370,[92],[50],,-1,5,2026-08-31,adj. 破坏性的,蜈蚣是一座塔楼房间所能招待的最具破坏性的客人。
infancy,c1,,2.4867,1,1,'infәnsi,"n. 幼年, 初期, 幼儿期",研六托,10935,9866,[96],[17],"Dear Daddy-Long-Legs,  Did you ever have a sweet baby girl who was stolen from the cradle in infancy?",93,5,2026-08-31,n. 婴儿期；初期,亲爱的长腿叔叔，你可曾有过一个甜甜的小女孩，还在襁褓之中就被人从摇篮里偷走了？
dazzle,c1,,2.4867,1,1,'dæzl,"v. (使)眼花, 炫耀 / n. 耀眼",研六托雅,12418,13863,[228],[10],"And after luncheon we went to the theatre—it was dazzling, marvellous, unbelievable—I dream about it every night.",49,5,2026-08-31,v. 使目眩；使赞叹 n. 耀眼,午饭后我们去了剧院——那真是令人目眩神迷、妙不可言、难以置信——我夜夜梦见它。
