word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date,cn_mean,cn_sent
awfully,b2,,2.92,2,35,'ɒ:fuli,"adv. 恶劣地, 非常地, 极端地",四,8336,10415,"[195, 212]","[4, 29]","That wouldn't be an awfully big wardrobe for Julia Rutledge Pendleton, perhaps, but for Jerusha Abbott—Oh, my!",20,2,2026-08-31,adv. 非常，极其,对朱莉娅·拉特利奇·彭德尔顿来说，那个衣柜也许不算特别大，可对朱鲁莎·艾伯特——哦天哪！
geometry,c1,,2.8267,4,7,dʒi'ɒmәtri,n. 几何学,高研四六托雅,7851,8997,"[109, 166, 214, 245]","[0, 17, 14, 20]",Geometry: Finished cylinders; now doing cones.,0,2,2026-08-31,n. 几何（学）,几何：学完了圆柱体，现在做圆锥体。
gymnasium,c1,,2.8067,1,13,dʒim'neiziәm,"n. 健身房, 体育馆",中研四六雅,13057,15478,[63],[39],,-1,2,2026-08-31,n. 体育馆，健身房,新体育馆亮堂极了，就算是最阴沉的下午我们也能练篮球。
examination,b2,noun,2.5833,1,14,ig.zæmi'neiʃәn,"n. 考试, 测验, 审查",中四六雅,3069,1531,[98],[18],"She believes that if you are a Pendleton, that fact alone admits you to heaven without any further examination.",99,2,2026-08-31,n. 考试；检查,她相信，只要你姓彭德尔顿，光凭这一点就能免试直接进天堂。
embarrass,c1,,2.54,1,3,im'bærәs,"vt. 使困窘, 使局促不安, 阻碍",高研四六托雅宝,7138,9521,[75],[2],It's very embarrassing at times.,10,2,2026-08-31,v. 使窘迫，使尴尬,这种时候常常让人很难为情。
exposition,c1,,2.5133,1,2,.ekspә'ziʃәn,"n. 阐述, 讲解, 说明, 博览会, 展览会",六托雅宝,14307,10335,[111],[2],English: Studying exposition.,18,2,2026-08-31,n. 阐述；说明文；博览会,英语：学习说明文（的写法）。
catalogue,c1,noun,2.5133,1,2,'kætәlɒg,"n. 目录, 大学情况一览 / vt. 编入目录",高六雅,6793,2710,[120],[5],"I'm still 'Jerusha' in the catalogue, but I'm 'Judy' everywhere else.",27,2,2026-08-31,n. 目录；（学籍）名册,在学籍册上我还是“朱鲁莎”，可在其他所有地方我都是“朱迪”。
precision,c1,noun,2.4867,1,1,pri'siʒәn,"n. 精密, 精确, 精确度, 精度 / a. 精密的, 精确的",研四六托雅,5466,5050,[41],[3],Observe with what precision I obey rules—due to my training in the John Grier Home.,18,2,2026-08-31,n. 精确，一丝不苟,瞧我遵守规则多么一丝不苟——这全靠在约翰·格里尔之家的训练。
encyclopedia,c1,,2.4867,1,1,in.saiklәu'pi:diә,n. 百科全书,研托雅宝,10470,20611,[76],[23],"But now, when the girls talk about things that I never heard of, I just keep still and look them up in the encyclopedia.",107,2,2026-08-31,n. 百科全书,可现在，姑娘们谈起我闻所未闻的事情时，我就闭口不言，转身去查百科全书。
ingenuity,c1,,2.4867,1,1,.indʒi'nju:iti,"n. 心灵手巧, 精巧, 精巧设计",六宝,11595,9822,[124],[9],I wish Mrs. Lippett would use a little more ingenuity about choosing babies' names.,44,2,2026-08-31,n. 独创性；巧思,我希望李皮太太在给婴儿们起名字这件事上多动点巧思。
mitten,c1,,2.4867,1,1,'mitn,"n. 连指手套, 拳击手套",六宝,16533,35425,[135],[3],"I've had kid mittens before from the Christmas tree, but never real kid gloves with five fingers.",13,2,2026-08-31,n. 连指手套,圣诞树上挂的连指手套我倒是收到过，可从来没有过有五根手指的真正的皮手套。
coward,c1,,2.4867,1,1,'kauәd,"n. 懦弱的人, 胆小的人",研四六雅宝,11476,14789,[161],[9],"I don't want you to think I am a coward, but I do want to be like the other girls, and that Dreadful Home looming over my childhood is the one great big difference.",33,2,2026-08-31,n. 胆小鬼,我不想让你觉得我是个胆小鬼，可我确实想和别的姑娘一样——那个笼罩着我整个童年的“可怕之家”是我们之间最大的差别。
perimeter,c1,,2.4867,1,1,pә'rimitә,"n. 周长, 周界, 边缘",六托雅宝,6584,8620,[186],[22],The area of the convex surface of the frustum of a regular pyramid is half the product of the sum of the perimeters of its bases by the altitude of either of its trapezoids.,105,2,2026-08-31,n. 周长；周边,正棱锥台的侧面积，等于两底周长之和与其任一梯形之高的乘积的一半。
altitude,c1,,2.4867,1,1,'æltitju:d,"n. 高度, 海拔, 高处",高研四六托雅,6370,8085,[186],[28],The area of the convex surface of the frustum of a regular pyramid is half the product of the sum of the perimeters of its bases by the altitude of either of its trapezoids.,136,2,2026-08-31,n. 高度，海拔,正棱锥台的侧面积，等于两底周长之和与其任一梯形之高的乘积的一半。
theorem,c1,,2.4867,1,1,'θiәrәm,"n. 定理, 原理",六,17159,10896,[214],[12],It is very difficult thinking about you in the abstract like a theorem in geometry.,63,2,2026-08-31,n. 定理,像这样把你当成几何课里的定理一样抽象地去想，实在太难了。
satisfactorily,c1,,2.4867,1,1,.sætis'fæktәrili,adv. 令人满意地,六,17786,8446,[219],[10],"I have it planned exactly what you look like—very satisfactorily—until I reach the top of your head, and then I AM stuck.",50,2,2026-08-31,adv. 令人满意地,我把你的长相设想得清清楚楚——相当令人满意——直到想到你的头顶，我就卡住了。
beetle,c1,,2.4867,1,1,'bi:tl,"n. 甲虫, 大槌 / vi. 快速移动 / vt. 捶",六,7196,8094,[223],[11],"They're grey, and your eyebrows stick out like a porch roof (beetling, they're called in novels), and your mouth is a straight line with a tendency to turn down at the corners.",61,2,2026-08-31,n. 甲虫 v. 突出，悬垂,你的眉毛像门廊顶棚一样凸出来——小说里管这叫“浓眉如檐”——你的嘴是一条直线，嘴角还往下撇。
prism,c1,,2.4867,1,1,'prizm,"n. 棱镜, 棱柱",六,13056,21115,[246],[14],On Friday last we abandoned our former works in parallelopipeds and proceeded to truncated prisms.,91,2,2026-08-31,n. 棱柱（体）；棱镜,上个星期五我们放弃了平行六面体，开始做截头棱柱。
