单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
pause	pɒ:z	noun	v. 停顿，暂停　n. 间歇	B2	She saw Mr. Lawrence drive off, and then sallied out to dig her way down to the hedge, where she paused and took a survey.	她看着劳伦斯先生驾车离去，然后出门一路铲雪来到树篱边，在那里停下脚步观望。	little_women Ch5
sentimental	.senti'mentl	—	a. 多愁善感的，感伤的	C1	Italians are always nice," said Meg, who was a little sentimental.	“意大利人总是那么和气，”梅格说，她是个有点多愁善感的姑娘。	little_women Ch5
praise	preiz	noun	v. 称赞，赞美　n. 赞扬	B2	She wished Beth could hear him, but she did not say so, only praised him till he was quite abashed, and his grandfather came to his rescue.	她真希望贝丝也听听他演奏，可她没有说出来，只是一味夸他，夸得他窘得不行，这时他祖父来接他回家。	little_women Ch5
lively	'laivli	adjective	a. 活泼的，有生气的；生动的	B2	He needs a party of jolly boys to play with, or somebody young and lively.	他需要一帮快活的男孩一起玩耍，或者需要个年轻活泼的人陪他。	little_women Ch5
splendid	'spendid	—	a. 极好的；壮丽的，辉煌的	B2	Mother is so splendid, she'd do you heaps of good, and Beth would sing to you if I begged her to, and Amy would dance.	“妈妈是那么好，她会让你受益无穷；我要去求贝丝，她会给你唱歌，艾米会给你跳舞。”	little_women Ch5
exclaim	iks'kleim	—	v. 惊叫，呼喊	B2	Before he could more, a bell rang, and Jo flew up, exclaiming with alarm, "Mercy me!	他还没来得及多说，铃声响了，乔冲上楼来，惊慌地喊道：“天哪！”	little_women Ch5
mercy	'mә:si	noun	n. 仁慈，慈悲；幸运（Mercy me! 哎呀，天哪！）	C1	Before he could more, a bell rang, and Jo flew up, exclaiming with alarm, "Mercy me!	他还没来得及多说，铃声响了，乔冲上楼来，惊慌地喊道：“我的天哪！”	little_women Ch5
grand	grænd	adjective	a. 宏伟的，气派的；豪华的	B2	It was a grand old house, with wide halls and tall windows.	那是一幢气派的旧宅，门厅宽阔，窗户高挑。	little_women Ch5
broom	bru:m	—	n. 扫帚	C1	Jo nodded and laughed, and flourished her broom as she called out . . .	乔点了点头笑了，挥舞着扫帚喊道……	little_women Ch5
basket	'bɑ:skit	noun	n. 篮子	B2	Beth says I never know when to stop." "Is Beth the rosy one, who stays at home good deal and sometimes goes out with a little basket?" asked Laurie with interest.	“贝丝说我从不知道什么时候该停嘴。”“贝丝就是那个脸蛋红红的、常待在家里、偶尔挎着小篮子出门的姑娘吗？”	little_women Ch5
propose	prә'pәuz	verb	v. 提议，建议；求婚	B2	When they rose she proposed to go, but Laurie said he had something more to show her, and took her away to the conservatory, which had been lighted for her benefit.	她们起身后，她提议告辞，可劳里说他还有东西要给她看，便带她去了温室。	little_women Ch5
regard	ri'gɑ:d	noun	n. 敬重，尊重；关切　vt. 视为	B2	Her respect and regard for the 'Laurence' boy increased very much, for he played remarkably well and didn't put on any airs.	她对这位“劳伦斯家”的少年的敬重与好感大增，因为他琴弹得极好，而且一点也不摆架子。	little_women Ch5
inquire	in'kwaiә	—	v. 询问，打听；查究	C1	"Mother, why didn't Mr. Laurence like to have Laurie play?" asked Jo, who was of an inquiring disposition.	“妈妈，劳伦斯先生为什么不愿意劳里弹琴？”乔问道，她生性爱刨根问底。	little_women Ch5
flourish	'flʌriʃ	verb	v. 挥舞；繁荣，兴旺　n. 挥舞的动作	C1	Jo nodded and laughed, and flourished her broom as she called out . . .	乔点了点头笑了，挥舞着扫帚喊道……	little_women Ch5
blunt	blʌnt	—	a. 直率的，直言不讳的；钝的	C1	He liked Jo, for her odd, blunt ways suited him, and she seemed to understand the boy almost as well as if she had been one herself.	他喜欢乔，因为她那种古怪、直率的做派很对他的胃口，而她似乎几乎像他自己一样了解这个男孩。	little_women Ch5
entirely	in'taiәli	adverb	adv. 完全地，全然	B2	The room was entirely empty when they entered.	他们进来时，房间里空空如也。	little_women Ch5
maid	meid	—	n. 女仆；（旧）少女	B2	"The doctor to see you, sir," and the maid beckoned as she spoke.	“大夫来看您了，先生。”女仆说着，做了个请的手势。	little_women Ch5
respectful	ri'spektful	—	a. 恭敬的，谦恭的	C1	"Do you play?" she asked, turning to Laurie with a respectful expression.	“你会弹琴吗？”她带着恭敬的神情转向劳里问道。	little_women Ch5
