单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
thorn	θɒ:n	—	n. 刺，荆棘；（a thorn in one's side 眼中钉）	C1	Amy's dainty pen-and-ink work entirely eclipsed May's painted vases—that was one thorn.	艾米精致的钢笔素描把梅的水彩花瓶完全比了下去——这是一根刺。	little_women Ch30
enlighten	in'laitn	—	v. 启发，开导（enlighten sb on）	C1	Her explanation enlightened the little girls at once.	她的解释立刻让小姑娘们明白了。	little_women Ch30
preach	pri:tʃ	verb	v. 讲道，布道；说教（preach to sb）	B2	Many wise and true sermons are preached us every day by unconscious ministers in street, school, office, or home.	许多睿智而真实的训诲，正是每天由街上、学校里、办公室里或家中的那些不自觉的传道者讲给我们的。	little_women Ch30
hail	heil	verb	n. 欢呼；冰雹　v. 欢呼致敬；招呼	C1	The crowd hailed the travellers with cheers.	人群欢呼着迎接旅人。	little_women Ch30
wreath	ri:θ	—	n. 花环，花圈	C1	A wreath of roses crowned the little girl's head.	小女孩头上戴着玫瑰花环。	little_women Ch30
wink	wiŋk	—	v. 眨眼，使眼色　n. 眨眼（wink at 假装没看见）	C1	She gave him a sly wink across the table.	她隔着桌子朝他狡黠地眨眨眼。	little_women Ch30
prejudice	'predʒudis	noun	n. 偏见，成见（prejudice against）　vt. 使抱偏见	C1	He had a strong prejudice against newfangled notions.	他对各种新奇想法怀有很深的成见。	little_women Ch30
eclipse	i'klips	—	v. 使黯然失色，超过　n. 日食，月食	C1	Amy's dainty pen-and-ink work entirely eclipsed May's painted vases—that was one thorn.	艾米精致的钢笔素描把梅的水彩花瓶完全比了下去——这是一根刺。	little_women Ch30
bruise	bru:z	—	n. 瘀伤，青肿　v. 碰伤，擦伤	C1	She bruised her hands with hammering, and got cold working in a draft, which last affliction filled her with apprehensions for the morrow.	她敲钉子敲得手上青一块紫一块，又在穿堂风里干活着了凉，这最后一项罪过让她怕得……	little_women Ch30
unjust	.ʌn'dʒʌst	—	a. 不公正的，不公平的	C1	I don't wish to be unjust or suspicious, but I shouldn't wonder if they never came at all.	“我不想不公正或疑神疑鬼，可要是它们根本不来，我也不会奇怪。”	little_women Ch30
contribution	.kɒntri'bju:ʃәn	noun	n. 贡献；捐助物（make a contribution）	B2	"Oh, certainly, if they are in your way," and sweeping her contributions into her apron, pell-mell, she walked off, feeling that herself and her works of art had been insulted past forgiveness.	“哦，当然，如果碍你事了。”说着，她把捐献的东西一股脑儿兜进围裙里，转身走了……	little_women Ch30
circulate	'sә:kjuleit	verb	v. 流传，传播；循环（circulate round）	C1	The report circulated quickly through the little town.	消息很快在小镇上流传开来。	little_women Ch30
witty	'witi	—	a. 机智诙谐的，妙语连珠的	C1	"To hear is to obey, but March is fairer far than May," said little Parker, making a frantic effort to be both witty and tender, and getting promptly quenched by Laurie, who said . . .	“听从吩咐，不过三月可比五月美多了。”小个子帕克说，拼命想显得机智风趣……	little_women Ch30
tuck	tʌk	—	v. 把…塞进；掖好（tuck away 藏起）　n. 褶	B2	"Tucked away out of sight, I dare say," thought Jo, who could forgive her own wrongs, but hotly resented any insult offered her family.	“准是藏到看不见的地方去了。”乔心想，她能原谅自己的过错，却对任何针对……	little_women Ch30
fuss	fʌs	—	n. 大惊小怪；忙乱（make a fuss 唠叨个没完）　v. 小题大做	B2	"How could I after all the fuss?" began May, but she did not finish, for Amy's voice came across the hall, saying pleasantly . . .	“闹腾了这么一场，我怎么还能……”梅开了口，却没说完，因为艾米的声音穿过门厅传来……	little_women Ch30
