单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
charm	tʃɑ:m	noun	n. 魅力，吸引力；护身符　vt. 迷住	B2	The old house had a quiet charm that won all who entered it.	这幢老宅有一种宁静的魅力，走进来的人都被它打动。	little_women Ch6
pride	praid	noun	n. 自尊，自豪；骄傲　（pride oneself on 以…为傲）	B2	So they soon forgot their pride and interchanged kindnesses without stopping to think which was the greater.	于是她们很快忘了面子上的较劲，相互示好也不再计较谁让得多。	little_women Ch6
humble	'hʌmbl	adjective	a. 谦逊的；卑微的；简陋的	C1	"'Your humble servant, James Laurence'.	“您谦卑的仆人，詹姆斯·劳伦斯。”	little_women Ch6
mischief	'mistʃif	—	n. 恶作剧，淘气；损害（get into mischief 闯祸）	C1	He can't get into mischief in that little nunnery over there, and Mrs. March is doing more for him than we can." What good times they had, to be sure.	“他关在那座小修道院里搞不出名堂来，而马奇太太为他做的比我们能做的多得多。”	little_women Ch6
earnest	'ә:nist	—	a. 认真的；诚挚的（in earnest 当真）	C1	She was so earnest in her wish to help that no one could refuse her.	她帮忙的心意那样恳切，谁也没法拒绝她。	little_women Ch6
astonish	ә'stɒniʃ	—	v. 使惊讶，使震惊	C1	If the roof of the house had suddenly flown off, the old gentleman wouldn't have been more astonished.	就算屋顶突然被掀飞了，这位老先生也不至于比这更吃惊。	little_women Ch6
grave	greiv	adjective	n. 坟墓　a. 严肃的，庄重的	B2	A cluster of grave yet cheerful pansies on a deeper purple ground was pronounced very appropriate and pretty, and Beth worked away early and late, with occasional lifts over hard parts.	一簇庄重而又明快的三色堇，衬在深紫色的底子上，被大家一致认为恰到好处、十分漂亮，贝丝便认真地绣了起来。	little_women Ch6
vanish	'væniʃ	verb	v. 消失，突然不见	B2	The smile vanished from his face as quickly as it had come.	笑容从他脸上消失，快得像它来时一样。	little_women Ch6
ashamed	ә'ʃeimd	adjective	a. 惭愧的，羞愧的（be ashamed of）	B2	Never having known mother or sisters, he was quick to feel the influences they brought about him, and their busy, lively ways made him ashamed of the indolent life he led.	他从未有过母亲或姐妹，因此对她们带来的种种影响敏感到极点，她们那些忙碌而快活的做派……	little_women Ch6
rapture	'ræptʃә	—	n. 狂喜，欣喜若狂（a rapture with 与…欢聚）	C1	Beth had a rapture with her mother, and then rushed up to impart the glorious news to her family of invalids, as the girls were not home.	贝丝与母亲紧紧相拥、喜不自胜，然后冲上楼去把这个天大的喜讯告诉她的病号一家——姑娘们都这样称呼那几个娃娃。	little_women Ch6
conquer	'kɒŋkә	verb	v. 征服；克服	C1	Beth ceased to fear him from that moment, and sat there talking to him as cozily as if she had known him all her life, for love casts out fear, and gratitude can conquer pride.	贝丝从那一刻起便不再怕他，坐在那儿和他聊得那么自在，仿佛认识他一辈子了。	little_women Ch6
elegant	'eligәnt	adjective	a. 优雅的，考究的	B2	I wish someone would write to me so!" said Amy, who thought the old-fashioned address very elegant.	“真希望也有人这样给我写信！”艾米说，她觉得这种老派的开头十分雅致。	little_women Ch6
timid	'timid	—	a. 胆小的，羞怯的	C1	She gave the old gentleman a timid little smile.	她朝老绅士露出一个怯生生的小小微笑。	little_women Ch6
haunt	hɒ:nt	verb	v. （鬼魂）出没；萦绕，缠扰　n. 常去之处	C1	After that, the little brown hood slipped through the hedge nearly every day, and the great drawing room was haunted by a tuneful spirit that came and went unseen.	从那以后，棕色小兜帽几乎天天从树篱间钻过来，宽敞的客厅里便萦绕着一支支小曲儿。	little_women Ch6
