word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
nursery,c1,noun,2.8467,3,10,'nә:sәri,"n. 托儿所, 苗圃, 温床",高研四六雅,5632,3383,"[6, 19, 81]","[1, 9, 6]","There is a glass door between it and the nursery, and I mean to peep at him, and then I'll tell you how he looks.",41,n. 育儿室；苗圃，温床,它和育儿室之间隔着一扇玻璃门，我打算偷看他一眼，然后告诉你们他长得什么样……,
fairy,b2,,2.6133,4,14,'fєәri,"n. 仙女, 精灵 / a. 仙女的",研,6368,5646,"[86, 129, 135, 187]","[28, 11, 35, 12]","Mr. Bhaer was Nick Bottom, and Tina was Titania, a perfect little fairy in his arms.",66,n. 仙女，小精灵（fairy tale 童话）,巴尔先生饰演尼克·波顿，蒂娜饰演提泰妮娅，成了他怀里的一个完美的小仙女。,
appetite,c1,noun,2.5933,1,5,'æpitait,"n. 食欲, 欲望, 爱好",高研四六托雅宝,5205,5325,[51],[21],"If Amy had been here, she'd have turned her back on him forever because, sad to relate, he had a great appetite, and shoveled in his dinner in a manner which would have horrified 'her ladyship'.",103,n. 食欲，胃口；欲望（a good appetite）,要是艾米在场，她准会永远不再理他，因为说来可惜，他胃口大得很……,
lumber,c1,,2.54,1,3,'lʌmbә,"n. 木材, 破旧家俱, 废物, 隆隆声 / vt. 砍伐木材, 乱堆 / vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动",研四六托宝,6984,18664,[14],[27],Wagons laden with lumber creaked slowly up the hill.,-1,n. 木材，木料　v. 笨重地移动,满载木材的马车嘎吱嘎吱地缓慢爬上山坡。,1
shovel,c1,,2.54,1,3,'ʃʌvl,"n. 铲, 铁铲 / v. 铲",六托雅,7249,11858,[51],[23],"If Amy had been here, she'd have turned her back on him forever because, sad to relate, he had a great appetite, and shoveled in his dinner in a manner which would have horrified 'her ladyship'.",117,n. 铲子　v. 铲（shovel food 大口吃）,要是艾米在场，她准会永远不再理他，因为说来可惜，他胃口大得很，一口气能铲进三盘……,
clatter,c1,,2.54,1,3,'klætә,"n. 咔嗒声, 哗啦声, 嘈杂的谈笑声 / vi. 发出哗啦声, 喧闹的谈笑 / vt. 使咔嗒咔嗒地响",六,13632,12567,[54],[50],She set down the tray with a loud clatter.,-1,n. 哗啦声，哐当声　v. 发出碰撞声,她“哐当”一声放下托盘。,1
orphan,c1,,2.5133,1,2,'ɒ:fәn,"n. 孤儿 / a. 无双亲的, 孤儿的 / vt. 使成孤儿",研四六,7521,9767,[17],[53],The little orphan had no one but an old aunt in the city.,-1,n. 孤儿　a. 孤儿的,这个小孤儿在城里除了一个年迈的姑妈，再没有亲人。,1
rusty,c1,,2.5133,1,2,'rʌsti,"a. 生锈的, 腐蚀的, 生疏的, 顽固的, 腐烂的",四六托,9614,9674,[30],[3],The old gate swung on rusty hinges.,-1,a. 生锈的；荒疏的（rusty hinges 生锈的铰链）,旧大门在生锈的铰链上吱呀转动。,1
idiot,c1,noun,2.5133,1,2,'idiәt,"n. 白痴, 极蠢之人",研六托雅,5944,6505,[52],[29],"I didn't mind, for I like 'to see folks eat with a relish', as Hannah says, and the poor man must have needed a deal of food after teaching idiots all day.",140,,,
quiz,c1,,2.5133,1,2,kwiz,"n. 考查, 课堂测验, 恶作剧, 智力测验 / vt. 戏弄, 考查, 恶作剧",高研四六,8784,9113,[61],[3],"The younger men quiz him, it seems, call him Old Fritz, Lager Beer, Ursa Major, and make all manner of jokes on his name.",16,v. 考问，盘问；嘲弄　n. 测验,年轻人好像爱拿他打趣，叫他“老弗里茨”“啤酒”“大熊星”，还变着花样开他的玩笑……,
hose,c1,,2.5133,1,2,hәuz,"n. 水管, 橡皮软管, 长统袜 / vt. 用水管浇",研六雅,6226,9974,[77],[8],"The German gentlemen embroider, I know, but darning hose is another thing and not so pretty.",52,n. 水管；长筒袜（darning hose 补袜子）,德国绅士会刺绣，这我知道，可补长袜是另一回事，可没那么雅观。,
uproar,c1,,2.5133,1,2,'ʌprɒ:,"n. 骚动, 喧嚣",研六托宝,13150,13911,[81],[11],The room was in an uproar of laughter and chatter.,-1,n. 喧闹，骚动（in an uproar 一片哗然）,房间里笑闹声一片，喧腾不已。,1
bandage,c1,,2.4867,1,1,'bændidʒ,n. 绷带,高研六雅宝,9428,10433,[112],[10],"""I suppose the others are torn up to rig ships, bandage cut fingers, or make kite tails.",48,n. 绷带　v. 用绷带包扎,“其余的怕是都撕去扎船模、裹割破的手指、做风筝尾巴了。”,
particle,b2,,2.4767,1,10,'pɑ:tikl,"n. 颗粒, 粒子, 质点, 极小量",研四六托雅,3683,3155,[133],[12],There was not a particle of dust on the polished floor.,-1,n. 微粒，颗粒（not a particle of 一点也没有）,光洁的地板上一粒灰尘也没有。,1
pathetic,b2,,2.46,1,15,pә'θetik,"a. 悲哀的, 可怜的, 感伤的, 差劲的",研六雅宝,7927,6913,[76],[14],"Bon voyage, Mademoiselle."" I laughed all the way downstairs, but it was a little pathetic, also to think of the poor man having to mend his own clothes.",81,a. 可怜的，令人同情的；可悲的,“一路顺风，小姐。”我一路笑下楼去，可心里也有点酸楚，想到那位……,
knit,b2,,2.46,1,15,nit,"v. 编织, 结合",研四六雅宝,8436,3347,[117],[24],"Beth sat knitting by the fire, her fingers flying.",-1,v. 编织，针织（knit one's brows 皱眉）,贝丝坐在炉火边织毛线，手指飞快地动着。,1
tap,b2,noun,2.45,1,9,'tæp,"n. 轻打, 水龙头 / vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨 / vi. 轻叩, 轻拍, 啪塔啪塔地走",高研四六托雅,2843,3299,[32],[6],,-1,,,
naughty,b2,,2.4333,1,14,'nɒ:ti,"a. 顽皮的, 没规矩的, 不适当的, 下流的",研四六托,12639,7181,[70],[5],"""Ah, yes, I hear these naughty ones go to vex you, Mees Marsch.",23,a. 淘气的，顽皮的；（naughty ones 捣蛋鬼）,“啊，是的，我听说这些淘气包来烦你了，马奇小姐。”,
