单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
rouse	rauz	—	v. 唤醒，唤起；使振奋（rouse oneself 打起精神）	C1	All day she lay so, only rousing now and then to mutter, "Water!" with lips so parched they could hardly shape the word.	她一整天就这么躺着，只是不时醒来嘟囔一声“水！”，嘴唇干得几乎说不出话来。	little_women Ch18
woe	wәu	—	n. 悲痛，悲哀；（woes 苦难，不幸）	C1	"What is it?" cried Jo, forgetting her woes for a minute in her wonder.	“怎么啦？”乔叫道，一瞬间惊奇盖过了她的满腹愁苦。	little_women Ch18
amaze	ә'meiz	—	v. 使大为惊奇（amazed 惊愕的）	C1	Laurie, though decidedly amazed, behaved with great presence of mind.	劳里尽管惊愕不已，却表现得镇定自若，十分机敏。	little_women Ch18
rejoice	ri'dʒɒis	—	v. 欣喜，欢欣；庆祝	C1	Mother's coming!" Every one rejoiced but Beth.	“妈妈要回来了！”大家都欣喜万分，只有贝丝例外。	little_women Ch18
thoughtful	'θɒ:tful	adjective	a. 沉思的；体贴的	C1	Laurie lay on the rug, pretending to rest, but staring into the fire with the thoughtful look which made his black eyes beautifully soft and clear.	劳里躺在地毯上，假装在休息，眼睛却盯着炉火，带着那种让他那双黑眼睛……的沉思神情。	little_women Ch18
grief	gri:f	noun	n. 悲痛，忧伤；伤心事	B2	Another hour, still no one came, and anxious fears of delay in the storm, or accidents by the way, or, worst of all, a great grief at Washington, haunted the girls.	又过了一个小时，还是没有人来，他们忧心忡忡，怕大雨耽搁了行程，怕路上出事，最怕的还是……	little_women Ch18
eloquent	'elәkwәnt	—	a. 雄辩的，有说服力的；（眼神等）富于表现的	C1	Her eyes were eloquent with unshed tears.	她眼中泪水盈盈，千言万语尽在其中。	little_women Ch18
subdue	sәb'dju:	—	v. 控制，抑制；使降服（subdue a feeling）	C1	Laurie drew his hand across his eyes, but could not speak till he had subdued the choky feeling in his throat and steadied his lips.	劳里用手抹了一下眼睛，好一会儿才压住喉咙里那股哽咽，开口说话。	little_women Ch18
brood	bru:d	—	v. 沉思，郁郁地思量（brood over）　n. 一窝	C1	Meg had a quiet rapture, and then brooded over the letter, while Jo set the sickroom in order, and Hannah "knocked up a couple of pies in case of company unexpected".	梅格静静地欢喜了一场，随后久久地回味着那封信；乔把病房收拾整齐，汉娜在外面“笃笃”地……	little_women Ch18
exile	'eksail	noun	n. 流放；离乡背井　vt. 放逐	C1	Long exile from home had made him grateful for the smallest kindness.	长年离家在外，使他连最微小的善意都心存感激。	little_women Ch18
homely	'hәumli	—	a. 朴实的，家常的；相貌平平的	C1	He was a homely man, but they thought his face quite heavenly when he smiled and said, with a fatherly look at them, "Yes, my dears, I think the little girl will pull through this time.	他是个相貌平平的人，可当他微笑着、以慈父般的目光望着她们时，姑娘们觉得他的脸简直像天使一样。	little_women Ch18
misery	'mizәri	noun	n. 痛苦，悲惨；穷困	C1	Jo read it thankfully, but the heavy weight did not seem lifted off her heart, and her face was so full of misery that Laurie asked quickly, "What is it?	乔感激地读了信，但压在心头的重石似乎并没有搬开，她的脸上满是痛苦，连……	little_women Ch18
indignant	in'dignәnt	—	a. 愤慨的，义愤的	C1	"Doesn't Meg pull fair?" asked Laurie, looking indignant.	“梅格不是拉平了的吗？”劳里问道，一脸愤愤不平。	little_women Ch18
spare	spєә	adjective	v. 饶恕，不伤害；省出（spare sb）　a. 备用的	B2	"If God spares Beth, I never will complain again," whispered Meg earnestly.	“只要上帝让贝丝活下来，我以后再也不抱怨了。”梅格恳切地低声说。	little_women Ch18
