单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
scorn	skɒ:n	—	n. 轻蔑（with scorn）　v. 不屑（scorn to do）	C1	She scorned to take the easy way out.	她不屑于走轻松的路子。	little_women Ch43
stray	strei	—	v. 走神，偏离（stray to 扯到）；走失　a. 迷路的	C1	Then he seemed quite inspired, though the burial customs of the ancients, to which the conversation had strayed, might not be considered an exhilarating topic.	随后他似乎兴致来了，尽管谈话已经跑偏到古人的殡葬习俗上……	little_women Ch43
grasshopper	'græshɒpә	—	n. 蚱蜢，蝗虫（no more idea of music than a grasshopper 对音乐一窍不通）	C1	We go excellently well together." A pleasing fiction, by the way, for Jo had no more idea of music than a grasshopper.	“我们俩配合得再好不过了。”顺带说一句，这是句讨人喜欢的大话，因为乔对音乐一窍不通，不比一只蚱蜢强……	little_women Ch43
surrender	sә'rendә	verb	n. 投降（unconditional surrender 无条件投降）　v. 交出；屈服	C1	A flank movement produced an unconditional surrender, however, for Laurie knew where to have him.	不过一次侧翼迂回还是让他乖乖缴了械，因为劳里知道怎么制住他。	little_women Ch43
hoarse	hɒ:s	—	a. （嗓子）沙哑的	C1	It was fortunate that tea was at hand, to produce a lull and provide refreshment—for they would have been hoarse and faint if they had gone on much longer.	幸好茶点就在手边，正好让大家歇歇嗓子、补充体力——不然他们早就吵哑了……	little_women Ch43
lapse	læps	—	n. 间隔（after a lapse of）；失误（a lapse of memory）　v. 陷入	C1	After a lapse of weeks, she wrote to him again.	过了几个星期之后，她又给他写了信。	little_women Ch43
courteous	'kә:tjәs	—	a. 彬彬有礼的，谦恭的	C1	The courteous stranger bowed and asked the way.	那位彬彬有礼的陌生人鞠了一躬，问起路来。	little_women Ch43
consul	'kɒnsәl	—	n. 领事	C1	He went to the American consul for advice.	他去美国领事那儿讨主意。	little_women Ch43
brightness	'braitnis	—	n. 明亮，光亮；朝气	C1	The brightness of the morning made the dark room seem dreary.	清晨的明亮让这间暗屋子显得更加冷清。	little_women Ch43
pierce	piәs	—	v. 刺穿；划破（寂静）；洞悉	C1	A sudden cry pierced the stillness of the night.	一声突如其来的叫喊划破了夜的寂静。	little_women Ch43
enrich	in'ritʃ	verb	v. 使富有；充实，丰富（enrich one's life）	C1	For poverty enriches those who live above it, and is a sure passport to truly hospitable spirits.	因为贫穷会让超越它的人更加富有，也必定是通往真正热情好客心灵的通行证。	little_women Ch43
burial	'beriәl	noun	n. 埋葬，葬礼（burial customs 殡葬风俗）	C1	Then he seemed quite inspired, though the burial customs of the ancients, to which the conversation had strayed, might not be considered an exhilarating topic.	随后他似乎兴致来了，尽管谈话已经跑偏到古人的殡葬习俗上……	little_women Ch43
impress	im'pres	verb	v. 给…留下深刻印象（impress upon）；铭记	B2	Her quiet dignity impressed them more than words could.	她沉静的尊严比任何言语都更打动他们。	little_women Ch43
bloom	blu:m	—	n. 花；青春焕发（in bloom 盛开）　vi. 开花；容光焕发	B2	And looking at them with compassion, not contempt, girls in their bloom should remember that they too may miss the blossom time.	正处在花样年华的姑娘们应当记住，以同情而非轻蔑去看待她们：她们也可能会错过……	little_women Ch43
