单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
intellect	'intәlekt	—	n. 智力，才智；有才智的人	C1	Another and a better gift than intellect was shown her in a most unexpected manner.	比才智更美好的另一份礼物，以一种出人意料的方式展现在她面前。	little_women Ch34
conscience	'kɒnʃәns	noun	n. 良心，良知（on one's conscience 于心不安）	B2	Jo thought what a blaze her pile of papers upstairs would make, and her hard-earned money lay rather heavily on her conscience at that minute.	乔暗想，楼上那一堆文稿烧起来该多旺啊，而她辛苦挣来的钱，压在她心上却沉甸甸的……	little_women Ch34
philosopher	fi'lɒsәfә	noun	n. 哲学家；达观的人（take philosophy 看开）	C1	Mr. Bhaer soon joined her, looking rather out of his element, and presently several of the philosophers, each mounted on his hobby, came ambling up to hold an intellectual tournament in the recess.	巴尔先生很快也凑了过来，显得有点格格不入；不一会儿，几位“哲人”各自拿着……	little_women Ch34
hearth	hɑ:θ	—	壁炉炉床；炉边	C1		钟敲了六下，贝丝扫完壁炉，把一双拖鞋放上去烤暖。	little_women Ch34
gunpowder	'gʌnpaudә	—	n. 火药	C1	The smell of gunpowder hung over the old battlefield.	硝烟的气味弥漫在这片古战场上。	little_women Ch34
scorch	skɒ:tʃ	—	v. 烧焦，烫焦；（scorched 焦黄的）　n. 焦痕	C1	The hot iron scorched a brown patch on the linen.	滚烫的熨斗在亚麻布上烫出一片焦黄的痕迹。	little_women Ch34
esteem	i'sti:m	—	n. 尊重，敬重（hold sb in esteem）　vt. 尊重	C1	She valued his esteem, she coveted his respect, she wanted to be worthy of his friendship, and just when the wish was sincerest, she came near to losing everything.	她珍视他的尊重，渴望他的敬重，想配得上他的友谊，而正在她最想……	little_women Ch34
immortal	i'mɒ:tәl	—	a. 不朽的，流芳百世的　n. 不朽人物	C1	Like that immortal hero, she reposed awhile after the first attempt, which resulted in a tumble and the least lovely of the giant's treasures, if I remember rightly.	像那位不朽的英雄一样，她在第一次努力之后歇了一会儿，而那次尝试的结果是摔了一跤和……	little_women Ch34
regularity	.regju'læriti	—	n. 规律性，规则（with regularity 有条不紊地）	C1	She paid her visits with great regularity every Sunday.	每个礼拜天她都极有规律地前去拜访。	little_women Ch34
incline	in'klain	—	v. 倾向于（be inclined to）；使倾斜　n. 斜坡	C1	She sent this didactic gem to several markets, but it found no purchaser, and she was inclined to agree with Mr. Dashwood that morals didn't sell.	她把这篇说教味十足的佳作投给了几家刊物，却无人问津，于是她也开始认同……	little_women Ch34
thrill	θril	—	n. 兴奋，刺激；激动人心的事　v. 使震颤	B2	She told no one, but concocted a 'thrilling tale', and boldly carried it herself to Mr. Dashwood, editor of the Weekly Volcano.	她谁也没告诉，自己编了一个“惊险故事”，又大胆地亲自把稿子送到了周报主编达什伍德先生那里……	little_women Ch34
devour	di'vauә	—	v. 狼吞虎咽地吃；如饥似渴地读（devour a book）	C1	She devoured the whole book in a single evening.	一个晚上她就如饥似渴地读完了整本书。	little_women Ch34
sensation	sen'seiʃәn	noun	n. 轰动（a sensation 轰动的作品）；感觉	B2	She took to writing sensation stories, for in those dark ages, even all-perfect America read rubbish.	她开始写耸人听闻的故事，因为在那个黑暗年代，连完美的美国也在读这种粗制滥造的东西。	little_women Ch34
banner	'bænә	noun	n. 旗帜，横幅　a. 优秀的（a banner year 丰收年）	C1	The banner waved proudly above the little parade.	旗帜骄傲地在小小的游行队伍上方飘扬。	little_women Ch34
deficiency	di'fiʃәnsi	noun	n. 缺乏，不足；缺点	C1	Her chief deficiency was a want of patience with fools.	她最大的缺点就是对蠢人缺乏耐心。	little_women Ch34
conceit	kәn'si:t	—	n. 自负，自大（full of conceit 自命不凡）	C1	Jo took him at his word, for she coolly turned round and studied him—a proceeding which would have much surprised him, had he known it, for the worthy Professor was very humble in his own conceit.	乔说到做到，她大大方方地转身打量起他来——这一举动要是……	little_women Ch34
oyster	'ɒistә	—	n. 牡蛎（the world is one's oyster 世界尽在掌握）	C1	The world was his oyster, and he meant to enjoy it.	在他看来，世界尽在掌握，他打算尽情享受。	little_women Ch34
specimen	'spesimәn	noun	n. 标本，样品；（口）人，家伙	C1	He was a curious specimen of the old school, they said.	他们说，他是老派人物中一个古怪的标本。	little_women Ch34
