单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
shriek	ʃri:k	—	v. 尖叫　n. 尖叫声	C1	Jo gave a shriek of delight and clapped her hands.	乔发出一声喜悦的尖叫，拍起手来。	little_women Ch31
gallop	'gælәp	—	n. 疾驰，飞跑　v. 飞奔（at a gallop 全速）	C1	I longed to show them a tearing American gallop, for they trotted solemnly up and down, in their scant habits and high hats, looking like the women in a toy Noah's Ark.	我多想给他们表演一段美国式的风驰电掣啊——他们却穿着紧窄的骑装庄重地来回小跑……	little_women Ch31
limp	limp	—	a. 无力的，松软的　v. 跛行，一瘸一拐地走	C1	Both are tall fellows with whiskers, Fred handsome in the English style, and Frank much better, for he only limps slightly, and uses no crutches.	两人都是高个子、留胡须，弗雷德是英国式的英俊，弗兰克更好一些，因为他只是走路微微跛……	little_women Ch31
acquaint	ә'kweint	—	v. 使认识，使熟悉（be/ get acquainted with）	C1	At Coblentz we had a lovely time, for some students from Bonn, with whom Fred got acquainted on the boat, gave us a serenade.	在科布伦茨我们玩得很开心，邦恩的几个大学生在船上与弗雷德结识了，他们带我们……	little_women Ch31
trumpet	'trʌmpit	—	n. 小号，喇叭　v. 吹喇叭（trumpet blast 号声）	C1	The trumpets sounded as the procession entered the square.	队伍进入广场时，喇叭吹响。	little_women Ch31
lattice	'lætis	—	n. 格构，斜条格构（latticed windows 方格窗）	C1	The farmhouses were my delight, with thatched roofs, ivy up to the eaves, latticed windows, and stout women with rosy children at the doors.	农舍是我的最爱：茅草屋顶，常春藤攀上屋檐，方格窗户，还有壮实的女人……	little_women Ch31
whisker	'hwiskә	—	n. 连鬓胡子，腮须（whiskers）	C1	Both are tall fellows with whiskers, Fred handsome in the English style, and Frank much better, for he only limps slightly, and uses no crutches.	两人都是高个子、留胡须，弗雷德是英国式的英俊，弗兰克更好一些，因为他只是走路微微跛……	little_women Ch31
cradle	'kreidl	—	n. 摇篮；发源地　vt. 小心捧着	C1	The baby slept peacefully in its cradle by the fire.	婴儿在炉火旁的摇篮里安睡。	little_women Ch31
vest	vest	—	n. 背心，马甲　（vest pocket 胸前口袋）	C1	Next morning Fred showed me one of the crumpled flowers in his vest pocket, and looked very sentimental.	第二天早上，弗雷德给我看他马甲口袋里那朵揉皱的小花，神情一脸深情。	little_women Ch31
pace	peis	noun	n. 步伐，步速（at a pace）　v. 踱步，来回走	B2	He didn't hear me call, nor see me flap my parasol in front, and there we were, quite helpless, rattling away, and whirling around corners at a breakneck pace.	他没听见我叫唤，也没看见我在车前挥动阳伞，就这样，我们毫无办法，一路颠簸着直冲……	little_women Ch31
whirl	hwә:l	—	n. 旋转，急转（in a whirl）　v. 飞转；发晕	C1	He didn't hear me call, nor see me flap my parasol in front, and there we were, quite helpless, rattling away, and whirling around corners at a breakneck pace.	他没听见我叫唤，也没看见我在车前挥动阳伞，就这样，我们毫无办法，一路颠簸着急驰而去……	little_women Ch31
dissipate	'disipeit	—	v. 驱散，消散；挥霍	C1	Her doubts were dissipated by his honest smile.	他那真诚的笑容打消了她的疑虑。	little_women Ch31
slam	slæm	verb	v. 砰地关上　n. 砰然声（slam down）	B2	"Now, then, mum?" I gave my order as soberly as I could, and slamming down the door, with an "Aye, aye, mum," the man made his horse walk, as if going to a funeral.	“好的，太太。”我尽可能一本正经地报上我点的东西，随后“哐”的一声放下车门……	little_women Ch31
