单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
spectacle	'spektәkl	noun	n. 景象，场面；（spectacles 眼镜）	C1	Our Pickwick, always at his post, With reverence we greet, As, spectacles on nose, he reads Our well-filled weekly sheet.	“我们的皮克威克，总是坚守岗位，我们怀着敬意迎接他：他鼻梁上架着眼镜，朗读我们那期期丰盈的周报。”	little_women Ch10
tumble	tʌmbl	—	v. 摔倒，翻滚　n. 跌跤；翻跟斗	B2	Next our peaceful Tupman comes, So rosy, plump, and sweet, Who chokes with laughter at the puns, And tumbles off his seat.	“接着是我们安详的图普曼上场，脸蛋红扑扑，胖乎乎，甜丝丝，他听了俏皮话笑得直呛，一头从椅子上栽下来。”	little_women Ch10
graceful	'greisful	—	a. 优雅的，优美的	C1	She danced with graceful ease, as if the music carried her along.	她舞姿轻盈优美，仿佛被音乐托着前行。	little_women Ch10
hush	hʌʃ	—	n. 寂静，肃静　v. 使安静（hush up 压下，遮掩）	C1	A hush fell over the room as she began to play.	她开始演奏时，满屋子安静下来。	little_women Ch10
tempt	tempt	verb	v. 引诱，诱惑；吸引（be tempted by 被…吸引）	C1	When last seen, she was sitting at the gate, watching the butcher's cart, and it is feared that some villain, tempted by her charms, basely stole her.	有人最后一次看见她时，她正坐在门口看肉铺的车，怕是有哪个坏蛋受了诱惑，将她……	little_women Ch10
worthy	'wә:ði	adjective	a. 值得的；可敬的（worthy of 配得上）	C1	Jo regarded them as worthy of Bacon, Milton, or Shakespeare, and remodeled her own works with good effect, she thought.	乔认为它们足以与培根、弥尔顿或莎士比亚比肩，并暗自把自己作品的稿样大刀阔斧地改了又改，觉得效果不错。	little_women Ch10
clash	klæʃ	noun	v. 碰撞发出铿锵声；冲突　n. 冲突	C1	Hear!" cried Jo, clashing the lid of the warming pan like a cymbal.	“听啊！”乔嚷道，把暖床器的盖子像铙钹一样敲得当当响。	little_women Ch10
blossom	'blɒsәm	—	n. 花，开花　vi. 开花；发展（in blossom 盛开）	C1	The apple trees were in full blossom that spring.	那年春天，苹果树花开正盛。	little_women Ch10
plump	plʌmp	—	a. 圆胖的，丰满的	C1	Next our peaceful Tupman comes, So rosy, plump, and sweet, Who chokes with laughter at the puns, And tumbles off his seat.	“接着是我们安详的图普曼上场，脸蛋红扑扑，胖乎乎的，甜丝丝的，他听了俏皮话笑得直呛，一头从椅子上栽下来。”	little_women Ch10
mingle	'miŋgl	—	v. 混合，交融；（mingle with 与…混在一起）	C1	Knights and ladies, elves and pages, monks and flower girls, all mingled gaily in the dance.	骑士与淑女、精灵与侍从、僧侣与卖花姑娘，全都欢快地混杂在一起跳舞。	little_women Ch10
envy	'envi	—	n. 嫉妒，羡慕　vt. 嫉妒，羡慕	C1	Her dress is well chosen, too, for in a week she weds Count Antonio, whom she passionately hates." "By my faith, I envy him.	“她的礼服也选得好，一星期后她就要嫁给安东尼奥伯爵了，可她恨透了他。”“以我的信仰起誓，我真羡慕他。”	little_women Ch10
cherish	'tʃeriʃ	—	v. 珍爱；怀有（希望等）	C1	THE PUBLIC BEREAVEMENT It is our painful duty to record the sudden and mysterious disappearance of our cherished friend, Mrs. Snowball Pat Paw.	“公众哀悼：我们有幸怀着沉痛的心情，记录我们珍爱的朋友神秘而突然的失踪……”	little_women Ch10
beloved	bi'lʌvd	adjective	a. 深爱的，心爱的　n. 心爱的人	B2	On rushing in a body to the cellar, we discovered our beloved President prostrate upon the floor, having tripped and fallen while getting wood for domestic purposes.	我们一拥而入冲进地窖，发现我们敬爱的社长先生趴倒在地，是被……绊倒摔了一跤。	little_women Ch10
bore	bɒ:	—	n. 令人厌烦的人（或事）　vt. 使厌烦；钻孔	B2	THE HISTORY OF A SQUASH Once upon a time a farmer planted a little seed in his garden, and after a while it sprouted and became a vine and bore many squashes.	“一颗南瓜籽的故事：从前，农夫在园里种下一粒小小的种子，过了一阵子，它发芽了……”〔bore 于此处当为名词“烦人事”，引申指这段令人生厌的旧稿〕	little_women Ch10
closet	'klɒzit	—	n. 壁橱；小房间	B2	She hid the presents in the closet to surprise them.	她把礼物藏在壁橱里，想给她们一个惊喜。	little_women Ch10
throng	θrɒ:ŋ	—	n. 人群，一大群　vi. 蜂拥，群集	C1	Father, we wait your services." All eyes turned toward the bridal party, and a murmur of amazement went through the throng, for neither bride nor groom removed their masks.	“父亲，我们等着您来主持。”所有人的目光都转向那对新人的队伍，人群中响起一阵抑制不住的惊叹。	little_women Ch10
noble	'nәubl	adjective	a. 高贵的，高尚的；宏伟的	C1	"My faithful friend and noble patron," continued Laurie with a wave of the hand, "who has so flatteringly presented me, is not to be blamed for the base stratagem of tonight.	“我忠实的朋友和高贵的恩主，”劳里挥了挥手继续说道，“承蒙您如此抬举地引荐我……”	little_women Ch10
