word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
solemn,c1,,2.6733,1,8,'sɒlәm,"a. 严肃的, 郑重的, 庄严的",研四六托雅宝,9168,8599,[45],[8],"What happy times they had planning together, what solemn shopping excursions, what funny mistakes they made, and what shouts of laughter arose over Laurie's ridiculous bargains.",50,a. 庄重的，严肃的；郑重的,她们一起筹划时多么快乐，采购时多么郑重其事，又闹了多少可爱的笑话……,
frank,b2,,2.6467,1,22,fræŋk,"a. 坦白的, 率直的, 老实的 / vt. 免费邮寄 / n. 免费邮寄特权",研四六托,8225,2307,[27],[22],"To be frank, he was tired of the whole affair.",-1,a. 坦率的，直白的（to be frank 坦白说）,坦白说，他对整件事已经厌倦了。,1
preside,c1,verb,2.6467,1,7,pri'zaid,"vi. 统辖, 当主人, 主持",研六宝,6781,6406,[40],[21],"But once get used to these slight blemishes and nothing could be more complete, for good sense and good taste had presided over the furnishing, and the result was highly satisfactory.",114,v. 主持（preside over）；担任主席,可一旦习惯了这些微小的瑕疵，就再没比这更圆满的了，因为见识和品味在这里……,
refrain,c1,,2.62,1,6,ri'frein,"n. 重复的话, 叠句, 副歌 / vi. 节制, 避免, 克制",研六雅宝,9029,8458,[31],[54],She could not refrain from laughing at his droll face.,-1,v. 克制，忍住（refrain from）　n. 叠句，副歌,看着他滑稽的脸，她忍不住笑了起来。,1
compliment,b2,,2.62,1,21,'kɒmplimәnt,"n. 称赞, 恭维, 敬意 / vt. 称赞, 褒扬, 恭维",研六托雅宝,7568,6865,[80],[9],"""For Mrs. John Brooke, with the maker's congratulations and compliments.",60,n. 赞美，恭维　vt. 称赞；（compliments 问候，致意）,“献给约翰·布鲁克太太，制作者恭贺并致意。”,
manly,c1,,2.62,1,6,'mænli,"a. 象男人的, 强壮的, 适于男人的",四六,14055,18827,[85],[24],"""Stopped to get the license for tomorrow, ma'am."" ""Which side won the last match, Teddy?"" inquired Jo, who persisted in feeling an interest in manly sports despite her nineteen years.",143,a. 有男子气概的，刚强的,“去领明天的结婚证了，夫人。”“哪边赢了上一场比赛，特迪？”乔问道，她总爱刨根问底……,
snowy,c1,,2.5933,1,5,'snәui,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的",中高四六,9600,14429,[69],[5],"Beth was there, laying the snowy piles smoothly on the shelves and exulting over the goodly array.",27,a. 雪白的；下雪的,贝丝在那里，把一摞摞雪白的织物平平整整地码上架子，为这体面的收成喜不自胜。,
wrath,c1,,2.5933,1,5,rɒ:θ,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷",六托宝,9893,11278,[71],[30],"You see, having said that if Meg married 'that Brooke' she shouldn't have a cent of her money, Aunt March was rather in a quandary when time had appeased her wrath and made her repent her vow.",158,n. 愤怒，盛怒（n. 激起长辈的怒火语境）,要知道，马奇姑妈说过，梅格要是嫁给“那个布鲁克”，一分钱也拿不到——现在她正为体面地……,
hint,b2,noun,2.5833,1,14,hint,"n. 暗示, 提示 / v. 暗示, 示意",研四六托雅,3909,3492,[37],[51],She dropped a broad hint about her birthday the next week.,-1,n. 暗示，线索　v. 暗示（drop a hint 透露口风）,她对自己下周的生日给了个明晃晃的暗示。,1
rebuke,c1,,2.5667,1,4,ri'bju:k,"n. 指责, 谴责, 非难 / vt. 斥责, 指责, 制止",六托宝,17270,13900,[5],[12],Sinners told their sins to the pure-hearted old man and were both rebuked and saved.,66,v. 斥责，指责　n. 训斥,罪人们向这位心地纯洁的老人忏悔自己的罪过，既受训斥，也获拯救。,
bay,c1,noun,2.5667,1,4,bei,"n. 海湾, 狗吠声, 月桂 / vt. 吠, 使走投无路 / vi. 吠",高研四六托雅,23460,2330,[41],[31],The old house was wreathed in bays and roses for the celebration.,-1,n. 月桂（bay tree）；海湾（bay leaves 月桂叶）,那幢老宅为庆祝挂满了月桂枝和玫瑰花。,1
mania,c1,,2.5667,1,4,'meiniә,"n. 狂躁, 热衷, 狂热",研托雅宝,12415,14608,[50],[5],"He was possessed with a mania for patronizing Yankee ingenuity, and seeing his friends fitly furnished forth.",24,n. 狂热，癖好（a mania for 对…的狂热）,他痴迷于赞助美国佬的各种巧思发明，眼见朋友们家什齐备、布置得体……,
bestow,c1,,2.5667,1,4,bi'stәu,"vt. 授予, 使用, 贮藏, 留宿",六托宝,9425,9541,[105],[15],"Don't take off your apron, whatever you do, it's peculiarly becoming,"" said Laurie, as Jo bestowed his especial aversion in her capacious pocket and offered her arm to support his feeble steps.",90,v. 赠予，授予（bestow on/upon）；安置,“不管怎样别解围裙，这围裙特别衬你。”劳里说，乔此刻正把那件他的特别……,
somehow,b2,adverb,2.5633,2,11,'sʌmhau,adv. 不知何故,研四六雅,1649,2005,"[18, 118]","[1, 15]",,-1,,,
household,b2,noun,2.5567,1,13,'haushәuld,"n. 一家人, 家庭, 家族, 王室 / a. 家庭的, 家常的, 王室的",研四六托,1967,1644,[8],[34],,-1,,,
master,b2,noun,2.5567,1,13,'mɑ:stә. 'mæstә,"n. 主人, 硕士, 大师, 母机 / a. 主人的, 主要的 / vt. 征服, 控制, 精通",中高研四六雅,1883,1224,[60],[10],,-1,,,
endow,c1,,2.54,1,3,in'dau,"vt. 捐赠, 捐助, 赋予",研六托雅宝,9907,8684,[30],[30],"Amy especially enjoyed this high honor, and became quite a belle among them, for her ladyship early felt and learned to use the gift of fascination with which she was endowed.",167,v. 赋予（endow with）；捐赠,艾米尤其享受这份殊荣，在她们中间成了颇受追捧的美人儿，因为这位小姐很早就体会并学到了……,
repent,c1,,2.54,1,3,ri'pent,"vi. 后悔, 懊悔, 忏悔 / vt. 后悔 / a. 匍匐生根的",研四六雅宝,16583,15104,[71],[34],"You see, having said that if Meg married 'that Brooke' she shouldn't have a cent of her money, Aunt March was rather in a quandary when time had appeased her wrath and made her repent her vow.",177,v. 后悔，悔悟（repent of）,要知道，马奇姑妈说过，梅格要是嫁给“那个布鲁克”，一分钱也拿不到——眼看自己说话太满，她心里懊悔不迭。,
