单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
tame	teim	—	a. 驯服的，温顺的；平淡的　v. 驯养	C1	See, Jo, how tame it is.	“看，乔，它多温顺。”	little_women Ch36
tide	taid	noun	n. 潮水，潮汐；潮流，趋势（the tide turns 时来运转）	B2	It's like the tide, Jo, when it turns, it goes slowly, but it can't be stopped." "It shall be stopped, your tide must not turn so soon, nineteen is too young, Beth.	“它就像潮水，乔，一旦转向，走得虽慢，却挡不住。”“它必须被挡住，你的这股潮水……”	little_women Ch36
transparent	træns'pærәnt	adjective	a. 透明的；显而易见的，坦率的	C1	The ice was so transparent that they could see the weeds beneath.	冰面透明得能看见底下的水草。	little_women Ch36
prevail	pri'veil	verb	v. 盛行，流行；获胜（prevail over）	B2	But when Laurie was gone, and peace prevailed again, the vague anxiety returned and haunted her.	但劳里一走，平静再次降临，那种隐隐的忧虑便又回来缠着她。	little_women Ch36
flash	flæʃ	noun	n. 闪光，闪现（a flash of）　v. 闪光	B2	A white-winged gull flew by, with the flash of sunshine on its silvery breast.	一只白翅海鸥飞过，银色的胸脯上掠过一道阳光。	little_women Ch36
breast	brest	noun	n. 胸脯，胸口；胸怀	B2	A white-winged gull flew by, with the flash of sunshine on its silvery breast.	一只白翅海鸥飞过，银色的胸脯上掠过一道阳光。	little_women Ch36
feather	'feðә	noun	n. 羽毛（dress its feathers 梳理羽毛）	B2	It came quite close to Beth, and looked at her with a friendly eye and sat upon a warm stone, dressing its wet feathers, quite at home.	它飞近贝丝身边，友好地望着她，落在一块温热的石头上，梳理着湿漉漉的羽毛。	little_women Ch36
wrap	ræp	verb	v. 裹，包；沉浸（be wrapped up in 全神贯注于）　n. 围巾	B2	Beth was too shy to enjoy society, and Jo too wrapped up in her to care for anyone else.	贝丝太害羞，不善于交际；而乔满心都在这件事上，无心在意别人。	little_women Ch36
miserable	'mizәrәbl	adjective	a. 痛苦的，悲惨的；寒酸的	B2	We won't be miserable, but enjoy being together while we wait.	“我们不要难过，就一边等待，一边好好享受在一起的时光吧。”	little_women Ch36
sacred	'seikrid	adjective	a. 神圣的；不可侵犯的	B2	Jo felt as if a veil had fallen between her heart and Beth's, but when she put out her hand to lift it up, there seemed something sacred in the silence, and she waited for Beth to speak.	乔觉得仿佛有一层轻纱落进了她和贝丝的心之间，可当她伸手想揭开它时，却……	little_women Ch36
vague	veig	adjective	a. 模糊的，朦胧的（vague anxiety 隐隐的忧虑）	B2	But when Laurie was gone, and peace prevailed again, the vague anxiety returned and haunted her.	但劳里一走，平静再次降临，那种隐隐的忧虑便又回来缠着她。	little_women Ch36
