单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
quench	kwentʃ	—	v. 解（渴）；熄灭（quench one's thirst）	C1	A cup of cold water quenched her thirst at once.	一杯凉水顿时解了她的渴。	little_women Ch22
crown	kraun	noun	v. 使圆满；为…加冕　n. 王冠；顶点（be crowned with 以…告终）	C1	Her hard work was crowned with success at last.	她的辛勤努力终于以成功告终。	little_women Ch22
disgrace	dis'greis	—	n. 耻辱，丢脸　vt. 使蒙羞（disgrace oneself 出丑）	C1	Jo disgraced herself by nearly fainting away, and had to be doctored by Laurie in the china closet.	乔大大地出了个丑——她差点晕过去，只好由劳里在瓷器柜边说边给她倒水服药。	little_women Ch22
maiden	'meidn	—	n. 少女　a. 处女的；首次的（maiden voyage 首航）	C1	Amy's maiden effort at cooking was a surprising triumph.	艾米下厨的初次尝试，出人意料地大获成功。	little_women Ch22
stalk	stɒ:k	—	v. 大摇大摆地走；悄悄追踪　n. 茎	C1	The old cat stalked across the yard, tail in the air.	老猫竖起尾巴，大摇大摆地穿过院子。	little_women Ch22
utterly	'ʌtәli	adverb	adv. 完全地，彻底地	C1	The room was utterly quiet when she finished speaking.	她说完时，房间里一片寂静。	little_women Ch22
congratulate	kәn'grætʃәleit	verb	v. 祝贺（congratulate sb on）	C1	"Rather a pleasant year on the whole!" said Meg, smiling at the fire, and congratulating herself on having treated Mr. Brooke with dignity.	“这一年总体还不错！”梅格望着炉火微笑着说，暗自庆幸自己把……	little_women Ch22
prick	prik	—	v. 刺，扎；刺痛（prick one's finger）　n. 扎痛	C1	She pricked her finger on the needle and dropped the work.	她被针扎了一下手指，手里的活掉了下来。	little_women Ch22
verse	vә:s	noun	n. 诗句；诗节；（veses 诗歌）	C1	Laurie could repeat whole verses of the poem by heart.	劳里能整段整段地背出那首诗。	little_women Ch22
overflow	.әuvә'flәu	—	v. 溢出；满溢（hearts overflow 心潮澎湃）　n. 溢出	C1	Never mind what happened just after that, for the full hearts overflowed, washing away the bitterness of the past and leaving only the sweetness of the present.	别管随后发生了什么吧，因为满溢的心潮冲走了往日的怨怼——那是……	little_women Ch22
raisin	'reizn	—	n. 葡萄干	C1	The girls picked the raisins out of the pudding, one by one.	姑娘们一颗一颗地从布丁里挑出葡萄干。	little_women Ch22
stiff	stif	adjective	a. 僵硬的；生硬的；烈性的	B2	Her once active limbs were so stiff and feeble that Jo took her for a daily airing about the house in her strong arms.	她从前活泼的四肢如今又僵硬又虚弱，乔每天用有力的双臂抱着她在屋里透透气。	little_women Ch22
pail	peil	—	n. 桶，提桶	C1	Accept a ribbon red, I beg, For Madam Purrer's tail, And ice cream made by lovely Peg, A Mont Blanc in a pail.	“请收下这条红缎带，系在普雷太太的尾巴上；还有可爱的佩格做的冰淇淋，像桶里的一座勃朗峰。”	little_women Ch22
industrious	in'dʌstriәs	—	a. 勤勉的，勤奋的	C1	Beth was the most industrious of the sisters, sewing early and late.	贝丝是姐妹里最勤勉的一个，从早到晚地做针线。	little_women Ch22
recollect	.rekә'lekt	—	v. 记起，回想（recollect doing）	C1	She could not recollect where she had left the parcel.	她想不起来把包裹落在哪里了。	little_women Ch22
dismay	dis'mei	—	n. 惊愕，沮丧（to one's dismay 令…沮丧的是）　vt. 使气馁	B2	May nothing you dismay, But health and peace and happiness Be yours, this Christmas day.	“愿什么都不能让你丧气，只愿健康和安宁与幸福，降临你的圣诞佳节。”	little_women Ch22
