单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
decidedly	di'saididli	—	果断地；显然，毫无疑问	C1	"I shall get a nice box of Faber's drawing pencils; I really need them," said Amy decidedly.	“我真的需要它们，”艾米说得斩钉截铁。	little_women Ch1
slipper	'slipә	—	拖鞋	C1	The clock struck six and, having swept up the hearth, Beth put a pair of slippers down to warm.	钟敲了六下，贝丝扫完壁炉，把一双拖鞋放上去烤暖。	little_women Ch1
sigh	sai	noun	n. 叹息　vi. 叹气；渴望	B2	"It's so dreadful to be poor!" sighed Meg, looking down at her old dress.	“穷成这样太糟了！”梅格低头看着旧裙子叹气道。	little_women Ch1
sketch	sketʃ	noun	n. 素描，草图；短剧　v. 画速写	C1	Jo pulled a pencil from her pocket and dashed off a hasty sketch of the room on the back of an old envelope.	乔从衣袋里掏出铅笔，在旧信封背面匆匆勾了一幅姐妹们的速写。	little_women Ch1
delight	di'lait	noun	n. 喜悦；乐事　vt. 使高兴	B2	Beth ate no more, but crept away to sit in her shadowy corner and brood over the delight to come, till the others were ready.	贝丝不再吃东西，悄悄溜到她阴暗的角落里坐下，心里盘算着即将到来的欢乐，直到大家准备就绪。	little_women Ch1
bundle	'bʌndl	—	n. 捆，束；包袱　v. 胡乱塞进；匆忙打发	B2	Where are our bundles?" asked Amy, who was a very literal young lady.	“我们的包袱在哪儿？”艾米问——她是个特别较真的姑娘。	little_women Ch1
jolly	'dʒɒli	—	a. 快乐的，愉快的　adv.（口）非常	C1	It was a jolly little supper, with the sisters' laughter ringing round the table.	那是一顿愉快的小晚餐，姐妹们的笑声在桌边回荡。	little_women Ch1
tone	tәun	noun	语气，语调；色调；调子	B2	"I know I do—teaching those tiresome children nearly all day, when I'm longing to enjoy myself at home," began Meg, in the complaining tone again.	“我知道——整天教我那些烦人的学生，而我巴不得待在家里好好享福。”梅格又用那抱怨的语气开了口。	little_women Ch1
tire	taiә	—	v. 使疲倦；使厌倦（tired 疲惫的）	B2	Jo, you look tired to death.	乔，你看上去累坏了。	little_women Ch1
tear	tiә. tєә	noun	n. 眼泪；裂缝　v. 撕，扯	B2	Amy's eyes were full of tears, and she declared she would never speak of her pears again.	艾米眼里噙着泪，说她再也不提她的梨子了。	little_women Ch1
truly	'tru:li	adverb	真正地，确实；真诚地	B2	Save me!'" and away went Jo, with a melodramatic scream which was truly thrilling.	“太难得了，真是妙极了。”	little_women Ch1
satisfy	'sætisfai	verb	使满意，满足；使确信	B2	The small store of things they had seemed to satisfy their simple wants.	她们手里那点微薄的东西，似乎就足以满足她们朴素的愿望。	little_women Ch1
spite	spait	noun	恶意，怨恨（in spite of 尽管）	B2	"You said the other day you thought we were a deal happier than the King children, for they were fighting and fretting all the time, in spite of their money." "So I did, Beth.	“你前几天说，我们比金家的孩子幸福多了，因为他们一天到晚打架吵嘴，尽管有钱。”	little_women Ch1
seldom	'seldәm	adverb	很少，不常	B2	Elizabeth, or Beth, as everyone called her, was a rosy, smooth-haired, bright-eyed girl of thirteen, with a shy manner, a timid voice, and a peaceful expression which was seldom disturbed.	伊丽莎白——大家都叫她贝丝——是个十三岁的姑娘，面色红润，头发顺滑，眼睛明亮，举止羞怯，声音怯怯的，神情安详。	little_women Ch1
lean	li:n	verb	v. 倚靠，倾斜；倾向　a. 瘦的，清贫的	B2	Jo leaned her chin on her hand and lay staring at the fire, lost in a pleasant dream.	乔一只手托着下巴，靠在窗边，望着外面的雨出神。	little_women Ch1
comfort	'kʌmfәt	noun	n. 安慰，慰藉；舒适　vt. 安慰	B2	Tell them I think of them by day, pray for them by night, and find my best comfort in their affection at all times.	告诉他们，我白天想着她们，夜里为她们祈祷，最大的慰藉就是在任何时候都拥有她们的爱。	little_women Ch1
resolve	ri'zɒlv	verb	v. 决心，决意；解决　n. 决心	B2	She resolved firmly that she would do better next time.	她下定决心，下一次一定要做得更好。	little_women Ch1
soul	sәul	noun	灵魂，心灵；人；精神	B2	She put her whole soul into the little song.	她把整个心灵都融进了那支歌里。	little_women Ch1
