单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
pity	'piti	noun	n. 怜悯，同情；憾事（more's the pity 真可惜）	B2	But buds will be roses, and kittens cats, more's the pity!" "What's that about flatirons and cats?" asked Meg, as she crept into the room with the finished letter in her hand.	“可花蕾终要开成玫瑰，小猫终要长成大猫——真是可惜！”	little_women Ch20
conceal	kәn'si:l	verb	v. 隐藏，隐瞒（conceal sth from sb）	C1	Jo could not conceal her disappointment when the news came.	听到这个消息，乔掩饰不住自己的失望。	little_women Ch20
contrary	'kɒntrәri	adjective	a. 相反的　n. 相反（on the contrary 恰恰相反）	C1	"On the contrary, I like it very much, dear," looking from the dusty rosary to the well-worn little book, and the lovely picture with its garland of evergreen.	“恰恰相反，亲爱的，我非常喜欢。”她的目光从那串蒙尘的念珠移到那本翻旧了的小书上……	little_women Ch20
vent	vent	—	n. 出口；（give vent to 发泄，吐露）	C1	She gave vent to her feelings in a burst of tears.	她大哭一场，把情绪尽情宣泄出来。	little_women Ch20
vex	veks	—	v. 使烦恼，使恼火（be vexed 心烦）	C1	"It is an excellent plan to have some place where we can go to be quiet, when things vex or grieve us.	“我们有个可以独自安静待着的地方，当有什么事惹我们心烦或伤心时就去那里，这主意真不错。”	little_women Ch20
prosper	'prɒspә	—	v. 兴旺，成功；使繁荣	C1	I think you will prosper, for the sincere wish to be good is half the battle.	“我想你会成功，因为发自内心想做好人，就已经赢了一半。”	little_women Ch20
cozy	'kәuzi	—	a. 温暖舒适的，惬意的	C1	They gathered round the cozy fire, talking of old times.	她们围坐在暖融融的炉火边，谈起往事。	little_women Ch20
falter	'fɒ:ltә	—	v. 支吾，结巴地说；蹒跚；动摇	C1	I hope things will go happily with her." "Hadn't you rather have her marry a rich man?" asked Jo, as her mother's voice faltered a little over the last words.	“我希望她婚姻幸福美满。”“你倒宁愿她嫁给个有钱人吗？”乔问道，这时母亲的声音微微发颤……	little_women Ch20
sweetness	'swi:tnis	—	n. 甜蜜，温柔；芬芳	C1	There was a new sweetness in her voice when she spoke of him.	说起他时，她的嗓音里带着一种新的温柔。	little_women Ch20
consent	kәn'sent	noun	n. 同意，许可　vi. 同意（consent to）	B2	He is a truly excellent young man, and we could not refuse to listen to him, but I will not consent to Meg's engaging herself so young." "Of course not.	他是个真正出色的年轻人，我们无法拒绝听他把话说完，但我不会同意梅格订婚……	little_women Ch20
reign	rein	noun	v. 统治；笼罩，弥漫　n. 统治时期	C1	So quiet and reposeful within, for everyone slept, spent with watching, and a Sabbath stillness reigned through the house, while nodding Hannah mounted guard at the door.	屋里那么安静祥和，因为大家都累得沉沉睡去了，一种安息日的宁静笼罩着整栋房子。	little_women Ch20
sincere	sin'siә	adjective	a. 真诚的，诚挚的	B2	I think you will prosper, for the sincere wish to be good is half the battle.	“我想你会成功，因为发自内心想做好人，就已经赢了一半。”	little_women Ch20
harbor	'hɑ:bә	—	n. 港口；避难所　v. 心怀，怀藏；庇护	C1	With a blissful sense of burdens lifted off, Meg and Jo closed their weary eyes, and lay at rest, like storm-beaten boats safe at anchor in a quiet harbor.	带着一种重负卸下的幸福感，梅格和乔合上疲惫的眼睛安然入睡，像历经风暴的……	little_women Ch20
contempt	kәn'tempt	noun	n. 轻蔑，鄙视（with contempt）	C1	I don't know anything about love and such nonsense!" cried Jo, with a funny mixture of interest and contempt.	“我一点都不懂什么爱情和这类傻话！”乔嚷道，脸上带着一种既好奇又不屑的古怪神情。	little_women Ch20
genuine	'dʒenjuin	adjective	a. 真正的，真诚的，货真价实的	B2	Her delight at the present was perfectly genuine.	她对这份礼物的欢喜完全是发自内心的。	little_women Ch20
