单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
solemn	'sɒlәm	—	a. 庄重的，严肃的；郑重的	C1	What happy times they had planning together, what solemn shopping excursions, what funny mistakes they made, and what shouts of laughter arose over Laurie's ridiculous bargains.	她们一起筹划时多么快乐，采购时多么郑重其事，又闹了多少可爱的笑话……	little_women Ch24
frank	fræŋk	—	a. 坦率的，直白的（to be frank 坦白说）	B2	To be frank, he was tired of the whole affair.	坦白说，他对整件事已经厌倦了。	little_women Ch24
preside	pri'zaid	verb	v. 主持（preside over）；担任主席	C1	But once get used to these slight blemishes and nothing could be more complete, for good sense and good taste had presided over the furnishing, and the result was highly satisfactory.	可一旦习惯了这些微小的瑕疵，就再没比这更圆满的了，因为见识和品味在这里……	little_women Ch24
refrain	ri'frein	—	v. 克制，忍住（refrain from）　n. 叠句，副歌	C1	She could not refrain from laughing at his droll face.	看着他滑稽的脸，她忍不住笑了起来。	little_women Ch24
compliment	'kɒmplimәnt	—	n. 赞美，恭维　vt. 称赞；（compliments 问候，致意）	B2	"For Mrs. John Brooke, with the maker's congratulations and compliments.	“献给约翰·布鲁克太太，制作者恭贺并致意。”	little_women Ch24
manly	'mænli	—	a. 有男子气概的，刚强的	C1	"Stopped to get the license for tomorrow, ma'am." "Which side won the last match, Teddy?" inquired Jo, who persisted in feeling an interest in manly sports despite her nineteen years.	“去领明天的结婚证了，夫人。”“哪边赢了上一场比赛，特迪？”乔问道，她总爱刨根问底……	little_women Ch24
snowy	'snәui	—	a. 雪白的；下雪的	C1	Beth was there, laying the snowy piles smoothly on the shelves and exulting over the goodly array.	贝丝在那里，把一摞摞雪白的织物平平整整地码上架子，为这体面的收成喜不自胜。	little_women Ch24
wrath	rɒ:θ	—	n. 愤怒，盛怒（n. 激起长辈的怒火语境）	C1	You see, having said that if Meg married 'that Brooke' she shouldn't have a cent of her money, Aunt March was rather in a quandary when time had appeased her wrath and made her repent her vow.	要知道，马奇姑妈说过，梅格要是嫁给“那个布鲁克”，一分钱也拿不到——现在她正为体面地……	little_women Ch24
hint	hint	noun	n. 暗示，线索　v. 暗示（drop a hint 透露口风）	B2	She dropped a broad hint about her birthday the next week.	她对自己下周的生日给了个明晃晃的暗示。	little_women Ch24
rebuke	ri'bju:k	—	v. 斥责，指责　n. 训斥	C1	Sinners told their sins to the pure-hearted old man and were both rebuked and saved.	罪人们向这位心地纯洁的老人忏悔自己的罪过，既受训斥，也获拯救。	little_women Ch24
bay	bei	noun	n. 月桂（bay tree）；海湾（bay leaves 月桂叶）	C1	The old house was wreathed in bays and roses for the celebration.	那幢老宅为庆祝挂满了月桂枝和玫瑰花。	little_women Ch24
mania	'meiniә	—	n. 狂热，癖好（a mania for 对…的狂热）	C1	He was possessed with a mania for patronizing Yankee ingenuity, and seeing his friends fitly furnished forth.	他痴迷于赞助美国佬的各种巧思发明，眼见朋友们家什齐备、布置得体……	little_women Ch24
bestow	bi'stәu	—	v. 赠予，授予（bestow on/upon）；安置	C1	Don't take off your apron, whatever you do, it's peculiarly becoming," said Laurie, as Jo bestowed his especial aversion in her capacious pocket and offered her arm to support his feeble steps.	“不管怎样别解围裙，这围裙特别衬你。”劳里说，乔此刻正把那件他的特别……	little_women Ch24
endow	in'dau	—	v. 赋予（endow with）；捐赠	C1	Amy especially enjoyed this high honor, and became quite a belle among them, for her ladyship early felt and learned to use the gift of fascination with which she was endowed.	艾米尤其享受这份殊荣，在她们中间成了颇受追捧的美人儿，因为这位小姐很早就体会并学到了……	little_women Ch24
repent	ri'pent	—	v. 后悔，悔悟（repent of）	C1	You see, having said that if Meg married 'that Brooke' she shouldn't have a cent of her money, Aunt March was rather in a quandary when time had appeased her wrath and made her repent her vow.	要知道，马奇姑妈说过，梅格要是嫁给“那个布鲁克”，一分钱也拿不到——眼看自己说话太满，她心里懊悔不迭。	little_women Ch24
