word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
tame,c1,,2.54,1,3,teim,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的 / vt. 驯养, 驯服, 制服, 失去锋芒 / vi. 变得驯服",研四六托雅宝,10816,11503,[76],[3],"See, Jo, how tame it is.",13,a. 驯服的，温顺的；平淡的　v. 驯养,“看，乔，它多温顺。”,
tide,b2,noun,2.5233,4,5,taid,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮 / vt. 使随潮漂流 / vi. 顺潮行驶",研四六托雅,4010,3284,"[41, 41, 69, 90]","[3, 21, 40, 13]","It's like the tide, Jo, when it turns, it goes slowly, but it can't be stopped."" ""It shall be stopped, your tide must not turn so soon, nineteen is too young, Beth.",14,n. 潮水，潮汐；潮流，趋势（the tide turns 时来运转）,“它就像潮水，乔，一旦转向，走得虽慢，却挡不住。”“它必须被挡住，你的这股潮水……”,
transparent,c1,adjective,2.5133,1,2,træns'pærәnt,"a. 透明的, 显然的, 清晰的",高研四六托雅宝,5884,6902,[2],[17],The ice was so transparent that they could see the weeds beneath.,-1,a. 透明的；显而易见的，坦率的,冰面透明得能看见底下的水草。,1
overcome,b2,verb,2.4767,1,10,.әuvә'kʌm,"vt. 战胜, 克服, 胜过 / vi. 得胜",高研四六托雅,2707,2462,[10],[30],"They did feel it, yet neither spoke of it, for often between ourselves and those nearest and dearest to us there exists a reserve which it is very hard to overcome.",155,,,
prevail,b2,verb,2.4567,2,7,pri'veil,"vi. 获胜, 流行, 盛行",研四六托雅宝,4741,5010,"[4, 6]","[7, 16]","But when Laurie was gone, and peace prevailed again, the vague anxiety returned and haunted her.",36,v. 盛行，流行；获胜（prevail over）,但劳里一走，平静再次降临，那种隐隐的忧虑便又回来缠着她。,
flash,b2,noun,2.45,1,9,flæʃ,"n. 闪光, 闪现, 一瞬间 / vi. 闪光, 闪现, 反射 / vt. 使闪光, 反射",高研四六托雅,3500,4001,[70],[7],"A white-winged gull flew by, with the flash of sunshine on its silvery breast.",38,n. 闪光，闪现（a flash of）　v. 闪光,一只白翅海鸥飞过，银色的胸脯上掠过一道阳光。,
breast,b2,noun,2.4233,1,8,brest,"n. 胸部, 乳房, 胸怀 / vt. 以胸对着, 面对",高研四六,1652,2793,[70],[13],"A white-winged gull flew by, with the flash of sunshine on its silvery breast.",71,n. 胸脯，胸口；胸怀,一只白翅海鸥飞过，银色的胸脯上掠过一道阳光。,
feather,b2,noun,2.4233,1,8,'feðә,n. 羽毛 / vi. 长羽毛 / vt. 用羽毛装饰,高研四六,4531,4798,[73],[23],"It came quite close to Beth, and looked at her with a friendly eye and sat upon a warm stone, dressing its wet feathers, quite at home.",111,n. 羽毛（dress its feathers 梳理羽毛）,它飞近贝丝身边，友好地望着她，落在一块温热的石头上，梳理着湿漉漉的羽毛。,
cheerfully,toe,,2.42,3,24,'tʃiәfuli,adv. 高高兴兴地,10850/8079),10850,8079,"[27, 49, 61]","[49, 20, 22]","I'm going to believe that it is a sick fancy, and not let you think it's true."" said Jo, trying to speak cheerfully.",105,,,
absence,b2,noun,2.3967,1,7,'æbsәns,"n. 缺席, 缺乏, 没有",高研四六托,2524,1585,[1],[28],,-1,,,
