单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
ripen	'raipәn	—	v. 成熟；使成熟	C1	The fruit ripened slowly under the warm September sun.	九月暖阳下，果实慢慢成熟。	little_women Ch27
erect	i'rekt	verb	a. 直立的，竖起的　vt. 竖立；建立	C1	At such times the intruder silently withdrew, and not until the red bow was seen gaily erect upon the gifted brow, did anyone dare address Jo.	每逢这种时候，闯进来的人便悄悄退了出去，直到那个红蝴蝶结又欢快地出现在……	little_women Ch27
nap	næp	—	n. 小睡，打盹（take a nap）　vi. 打盹	C1	Grandpa took his afternoon nap in the big armchair.	爷爷在宽大的扶手椅里睡午觉。	little_women Ch27
fable	'feibl	—	n. 寓言；（集体）神话传说	C1	In the hope of pleasing everyone, she took everyone's advice, and like the old man and his donkey in the fable suited nobody.	为了让每个人都满意，她听取每个人的意见，结果就像寓言里那个老人和驴子一样……	little_women Ch27
stab	stæb	verb	n. 刺痛；戳（a stab of）　v. 刺，戳	C1	A stab of jealousy shot through her heart.	一阵嫉妒的刺痛穿过了她的心。	little_women Ch27
agitate	'ædʒiteit	—	v. 使焦躁不安；搅动	C1	The news agitated her more than she would admit.	这个消息让她心烦意乱，比她自己承认的更甚。	little_women Ch27
perplex	pә'pleks	—	v. 使困惑，使费解（perplexed 困惑的）	C1	"This man says, 'An exquisite book, full of truth, beauty, and earnestness.' 'All is sweet, pure, and healthy.'" continued the perplexed authoress.	“这位先生说：‘一本精致的书，充满真理、美好与诚挚。’‘一切甜美、纯洁而有益健康。’”	little_women Ch27
accordingly	ә'kɒ:diŋli	adverb	adv. 相应地；因此	C1	She gave her orders and acted accordingly.	她下达了指令，并照此办理。	little_women Ch27
wholly	'hәuli	adverb	adv. 完全地，整个地	C1	He was wholly absorbed in his book.	他完全沉浸在书里。	little_women Ch27
remedy	'remidi	noun	n. 疗法，补救办法（the remedy for）　vt. 补救	C1	Rest and quiet were the only remedy for her headache.	休息与安静是她头疼唯一的良药。	little_women Ch27
firmness	'fә:mnis	—	n. 坚定，坚决	C1	So, with Spartan firmness, the young authoress laid her first-born on her table, and chopped it up as ruthlessly as any ogre.	于是，凭着斯巴达式的坚定，这位年轻的女作家把自己的“头生子”放在桌上，狠心地大删特删……	little_women Ch27
exquisite	'ekskwizit	—	a. 精致的，精美的；细腻的	C1	"This man says, 'An exquisite book, full of truth, beauty, and earnestness.' 'All is sweet, pure, and healthy.'" continued the perplexed authoress.	“这位先生说：‘一本精致的书，充满真理、美好与诚挚。’‘一切甜美、纯洁而有益健康。’”	little_women Ch27
denounce	di'nauns	verb	v. 谴责，抨击；告发	C1	The papers denounced the new fashion in harsh terms.	报纸用严厉的措辞抨击了这股新时尚。	little_women Ch27
forsake	fә'seik	—	v. 抛弃，舍弃（forsook/forsaken）	C1	She would never forsake a friend in trouble.	她绝不会抛弃身处困境的朋友。	little_women Ch27
