单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
scarlet	'skɑ:lit	—	a. 猩红的，鲜红的　n. 猩红色（scarlet fever 猩红热）	B2	'Scarlet fever, ma'am.	“猩红热，夫人。”	little_women Ch17
trot	trɒt	—	v. 小跑，快步走　n. 快步	C1		贝丝在客厅和厨房之间来回小跑，安安静静地忙个不停，而艾米端坐着，双手叠起，指挥着每个人干活。	little_women Ch17
immense	i'mens	adjective	a. 巨大的，广大的；（口）极好的	C1	"If Mother was only at home!" exclaimed Jo, seizing the book, and feeling that Washington was an immense way off.	“要是妈妈在家就好了！”乔嚷道，抓起那本书，觉得华盛顿是个无比遥远的地方。	little_women Ch17
stir	stә:	verb	v. 动弹；搅动；激起　n. 轰动	B2	I tried to warm its feet, and Lotty gave it some milk, but it didn't stir, and I knew it was dead." "Don't cry, dear!	我试着给它焐脚，洛蒂给它喂了些奶，可它动也不动，我知道它死了。”“别哭，亲爱的！”	little_women Ch17
shear	ʃiә	—	v. 剪（羊毛、头发）（shorn 过去分词）　n. 大剪刀	C1	Jo caught a bad cold through neglect to cover the shorn head enough, and was ordered to stay at home till she was better, for Aunt March didn't like to hear people read with colds in their heads.	乔因为没好好护住剪短的头，着了凉，得了重感冒，被勒令在家休养直到好转。	little_women Ch17
assure	ә'ʃuә	verb	v. 向…保证；使确信（assure sb that）	B2	The doctor assured them that Beth would soon be well again.	医生向他们保证，贝丝很快会好起来。	little_women Ch17
bounce	bauns	verb	n. 弹跳；一蹦　v. 蹦跳；使弹起（with a bounce 蹦的一下）	B2	" "Hold your tongue, you disrespectful old bird!" cried Polly, tumbling off the chair with a bounce, and running to peck the 'rattlepated' boy, who was shaking with laughter at the last speech.	“住嘴，你这个没规矩的老东西！”波莉嚷道，从椅子上叭地蹦下来，跑过去啄……	little_women Ch17
stormy	'stɒ:mi	—	a. 暴风雨的；激烈的	C1	It had been a stormy morning, but by noon the sky cleared.	那是个暴风骤雨的上午，但到中午天便放晴了。	little_women Ch17
ward	wɒ:d	noun	v. 挡开（ward off 避开，防范）　n. 病房；受监护的儿童	C1	Amy was ordered off at once, and provided with something to ward off danger, she departed in great state, with Jo and Laurie as escort.	艾米被立刻打发走，还配了挡灾之物以防万一，随后她便风风光光地出发了，乔和劳里相陪……	little_women Ch17
claw	klɒ:	—	n. 爪子　v. 用爪抓，抓挠	C1	Never say die, take a pinch of snuff, goodbye, goodbye!" squalled Polly, dancing on her perch, and clawing at the old lady's cap as Laurie tweaked him in the rear.	“永不言败，来撮鼻烟吧，再见，再见！”波莉尖叫着，在栖木上跳来跳去，伸爪去抓那位老先生的……	little_women Ch17
slight	slait	adjective	a. 轻微的；纤细的　n. 轻视，怠慢	B2	Beth kept on, with only slight relapses into idleness or grieving.	贝丝坚持了下去，只是偶尔小有反复，懒散或伤心一下。	little_women Ch17
pendulum	'pendʒәlәm	—	n. 钟摆；摇摆不定的事态	C1	All the little duties were faithfully done each day, and many of her sisters' also, for they were forgetful, and the house seemed like a clock whose pendulum was gone a-visiting.	每天所有的小事务都认真完成，许多原属姐姐们的活计她也一并做了，因为她们常常丢三落四，而那座老钟的钟摆……	little_women Ch17
