word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
burden,b2,noun,2.8567,2,22,'bә:dn,"n. 负担, 重载, 担子, 责任 / vt. 装货于, 烦扰, 使负担",高研四六托,2665,2696,"[48, 160]","[30, 10]","""Then let me advise you to take up your little burdens again, for though they seem heavy sometimes, they are good for us, and lighten as we learn to carry them.",47,n. 负担，重担　vt. 使负重,“那么让我劝你们把各自的小担子再挑起来吧，因为它们有时看似沉重，对我们却是有益的。”,
anxiety,b2,noun,2.8233,1,23,æŋ'zaiәti,"n. 焦虑, 忧虑, 令人焦虑的事",高研四六托雅,2467,2612,[113],[4],"Language cannot describe the anxieties, experiences, and exertions which Jo underwent that morning, and the dinner she served up became a standing joke.",29,,,
implore,c1,,2.8133,2,11,im'plɒ:,"vt. 恳求, 哀求",六宝,13717,19666,"[16, 86]","[32, 41]",She implored her mother to let her go to the party.,-1,v. 恳求，哀求,她苦苦哀求母亲准许她去参加聚会。,1
console,c1,,2.78,1,12,kәn'sәul,"vt. 安慰, 藉慰 / n. 控制台",研六托雅宝,9160,11790,[99],[4],"Leaving the others to console Beth, she departed to the kitchen, which was in a most discouraging state of confusion.",22,v. 安慰，慰问　n. 控制台,她让其他人去安慰贝丝，自己去了厨房——那里正处在一种最叫人绝望的混乱状态。,
twilight,c1,,2.78,1,12,'twailait,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态 / a. 微明的",六雅,6896,9876,[143],[1],"As twilight fell, dewy and still, one by one they gathered on the porch where the June roses were budding beautifully, and each groaned or sighed as she sat down, as if tired or troubled.",3,n. 暮色，黄昏；曙光,黄昏降临，露水盈盈，一片宁静，她们一个接一个来到门廊上，那里的六月玫瑰正开得娇艳。,
plain,b2,adjective,2.7767,2,19,plein,"n. 平原, 草原, 朴实无华的东西, 无格式 / a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的 / adv. 清楚地, 显然地",中高研四六托宝,3549,2762,"[153, 163]","[17, 2]","""I'm tired of it and mean to go to work at something right off."" ""Suppose you learn plain cooking.",84,,,
fright,c1,,2.7667,3,7,frait,"n. 惊骇, 吃惊",高研六托,12606,10016,"[6, 7, 47]","[13, 13, 35]","But something in the air affected her, and more than once her tranquility was much disturbed, so much so that on one occasion she actually shook poor dear Joanna and told her she was 'a fright'.",186,n. 惊吓，惊恐（give sb a fright 吓某人一跳）,但空气中的什么东西影响了她，她的平静不止一次被大大扰乱，有一次甚至……,
utter,b2,,2.7533,1,26,'ʌtә,"a. 全然的, 绝对的, 完全的 / vt. 发出声音, 做声, 发表, 发射, 流通",研四六托宝,6873,6129,[129],[1],The room was in utter confusion when she entered.,-1,a. 完全的，十足的　vt. 说出，发出声音,她进来时，房间里一片狼藉。,1
joyful,c1,,2.7267,1,10,'dʒɒiful,"a. 欢喜的, 高兴的, 令人高兴的",四六,11426,14070,[3],[8],"""Aunt March went today, for which, oh, be joyful!"" said Jo.",42,,,
bewilder,c1,,2.7267,1,10,bi'wildә,"vt. 使迷惑, 使不知所措",研六托雅宝,30215,34058,[57],[12],"Meg ran upstairs and soon came back again, looking relieved but rather bewildered, and a little ashamed.",71,v. 使困惑，使不知所措,梅格跑上楼，很快又跑下来，神情如释重负，却又相当困惑，还带着一点羞愧。,
poke,b2,,2.7233,2,17,pәuk,"n. 刺, 戳, 袋子 / vt. 戳, 捅, 拨弄, 刺 / vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢",研四六雅宝,4702,6486,"[101, 117]","[12, 12]","""Here's a sweet prospect!"" muttered Jo, slamming the stove door open, and poking vigorously among the cinders.",74,v. 戳，捅；拨弄（火）　n. 戳,“这可真够‘美妙’的！”乔嘟囔着，猛地拉开炉门，用力在灰烬里捅来捅去。,
peculiar,c1,adjective,2.7,1,9,pi'kju:ljә,"a. 奇特的, 罕见的, 特殊的, 特别的 / n. 特有财产, 特权",研四六托雅,5505,4476,[42],[5],It was astonishing what a peculiar and uncomfortable state of things was produced by the 'resting and reveling' process.,26,a. 奇怪的，独特的；特有的,“歇一歇、乐一乐”这一套竟弄出这么一种古怪而不舒服的光景，实在令人吃惊。,
rash,c1,,2.7,1,9,ræʃ,"a. 轻率的, 匆忙的, 鲁莽的 / n. 皮疹",研六,8937,11233,[70],[21],"""You'd better see what you have got before you think of having company,"" said Meg, when informed of the hospitable but rash act.",119,a. 轻率的，鲁莽的　n. 皮疹,“在考虑请客之前，你最好先看看自家有什么可招待的。”梅格听说了这好客却草率的打算后说。,
errand,c1,,2.7,1,9,'erәnd,"n. 任务, 差使, 使命",六雅宝,9937,12341,[142],[5],"Then tea must be got, errands done, and one or two necessary bits of sewing neglected until the last minute.",22,n. 差事，跑腿（run an errand）,接着还得准备茶点、办差事，一两件必要的针线活被拖到了最后一刻。,
compose,b2,verb,2.69,1,18,kәm'pәuz,"vt. 组成, 写作, 作曲, 使平静 / vi. 创作, 排字",研四六托雅宝,3379,3128,[135],[42],Jo tried to compose herself before going in.,-1,v. 组成；创作；使镇定（compose oneself）,乔努力让自己镇定下来，然后才走进去。,1
frock,c1,,2.68,2,6,frɒk,"n. 女礼服, 连衣裙, 工装, 罩袍, 僧衣",六,18634,12569,"[34, 39]","[9, 28]","Amy arranged her bower, put on her best white frock, smoothed her curls, and sat down to draw under the honeysuckle, hoping someone would see and inquire who the young artist was.",46,n. 连衣裙；长袍,艾米收拾好自己的小屋，穿上最漂亮的白裙，抚平卷发，在金银花架下坐下来画画，满心期待着……,
unusually,b2,,2.68,2,21,ʌn'ju:ʒәli,"adv. 不寻常地, 异乎寻常地, (非正式)非常",四六,6275,5607,"[36, 43]","[15, 10]","At teatime they compared notes, and all agreed that it had been a delightful, though unusually long day.",85,,,
selfish,b2,,2.6733,1,23,'selfiʃ,"a. 自私的, 利己主义的, 自我中心的",高研四六托,7386,6992,[51],[26],"How selfish I have been! she thought, with a pang.",-1,a. 自私的，只顾自己的,“我多自私啊！”她心里一阵刺痛地想。,1
