word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
fever,b2,noun,3.0567,8,16,'fi:vә,"n. 发烧, 发热, 热病",中高研四六雅,4372,5338,"[32, 44, 47, 59, 68, 79, 80, 106]","[4, 1, 39, 27, 12, 22, 13, 9]","'Scarlet fever, ma'am.",9,,,
scarlet,b2,,2.6667,4,16,'skɑ:lit,"n. 猩红色, 绯红色, 红衣 / a. 绯红色的, 鲜红色的",六托,10320,7155,"[32, 44, 59, 80]","[3, 0, 26, 12]","'Scarlet fever, ma'am.",1,a. 猩红的，鲜红的　n. 猩红色（scarlet fever 猩红热）,“猩红热，夫人。”,
trot,c1,,2.6467,1,7,trɒt,"n. 快步 / vi. 快步走, 小跑 / vt. 使小跑, 策马小跑",六托,8347,8837,[82],[30],,-1,v. 小跑，快步走　n. 快步,贝丝在客厅和厨房之间来回小跑，安安静静地忙个不停，而艾米端坐着，双手叠起，指挥着每个人干活。,
gan,toe,,2.64,4,79,ɡæn,v. [古语]开始；着手（gin的过去式）,,0,0,"[9, 37, 39, 92]","[29, 4, 14, 12]","I saw in a minute it was sicker, but Lottchen said her mother had gone for a doctor, so I took Baby and let Lotty rest.",66,,,
immense,c1,adjective,2.62,1,6,i'mens,"a. 极广大的, 无边的, 非常好的",研四六托雅宝,5645,4545,[51],[17],"""If Mother was only at home!"" exclaimed Jo, seizing the book, and feeling that Washington was an immense way off.",97,a. 巨大的，广大的；（口）极好的,“要是妈妈在家就好了！”乔嚷道，抓起那本书，觉得华盛顿是个无比遥远的地方。,
stir,b2,verb,2.61,1,15,stә:,"n. 骚动, 轰动, 搅动, 监狱 / vt. 移动, 摇动, 激起, 惹起, 搅拌 / vi. 走动, 传播, 搅拌",研四六托宝,1899,3008,[41],[15],"I tried to warm its feet, and Lotty gave it some milk, but it didn't stir, and I knew it was dead."" ""Don't cry, dear!",69,v. 动弹；搅动；激起　n. 轰动,我试着给它焐脚，洛蒂给它喂了些奶，可它动也不动，我知道它死了。”“别哭，亲爱的！”,
harm,b2,noun,2.61,1,15,hɑ:m,"n. 伤害, 害处 / vt. 伤害, 损害",高研四六托,3651,3189,[61],[16],,-1,,,
pat,b2,,2.5833,1,14,pæt,"n. 轻拍 / v. 轻拍 / adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地 / a. 恰好的, 合适的, 熟练的, 坚定的, 人为的",研四六,4539,3881,[84],[13],"Call Meg, and tell her you'll give in,"" said Laurie, with an approving pat, which annoyed Amy more than the 'giving in'.",71,,,
dull,b2,adjective,2.5733,2,17,dʌl,"a. 钝的, 无趣的, 呆滞的, 阴暗的 / vt. 使迟钝, 使阴暗, 缓和 / vi. 变迟钝, 减少",高研四六托雅宝,5094,3799,"[80, 81]","[20, 3]","""It won't be dull with me popping in every day to tell you how Beth is, and take you out gallivanting.",13,,,
shear,c1,,2.5667,1,4,ʃiә,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切 / vt. 修剪, 割, 剥夺, 横越, 削剪 / vi. 剪, 修剪, 剪羊毛, 切断",研四六托雅宝,9594,10041,[4],[10],"Jo caught a bad cold through neglect to cover the shorn head enough, and was ordered to stay at home till she was better, for Aunt March didn't like to hear people read with colds in their heads.",50,v. 剪（羊毛、头发）（shorn 过去分词）　n. 大剪刀,乔因为没好好护住剪短的头，着了凉，得了重感冒，被勒令在家休养直到好转。,
