单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
jelly	'dʒeli	—	n. 果冻，果酱（jelly 指果酱甜食，书中为病号补品）	C1	Meg is a great comfort to me and lets me have jelly every night at tea its so good for me Jo says because it keeps me sweet tempered.	“梅格特别照顾我，每天喝茶时都让我吃果冻，这东西对我可好了——乔说它让我胖乎乎的，不生病。”	little_women Ch16
tub	tʌb	—	n. 桶，木盆；（洗衣）大盆	C1	"Hannah will tell us what to do, and we'll have everything nice when you come home," added Beth, getting out her mop and dish tub without delay.	“汉娜会告诉我们该做什么，等你回家时，样样都会收拾得妥妥当当。”贝丝说着，拿出她的抹布和……	little_women Ch16
wholesome	'hәulsәm	—	a. 有益健康的；健全的（wholesome food 健康食品）	C1	I don't let the girls hev coffee only once a week, accordin to your wish, and keep em on plain wholesome vittles.	“遵照您的嘱咐，我只让姑娘们每周喝一次咖啡，平时给她们吃些朴实有益的东西。”	little_women Ch16
turnover	'tә:n.әuvә	noun	n. 半圆形果馅饼；（角色）翻覆；营业额	C1	The sight of the turnovers made Jo sober again; and when the two went out to their daily tasks, they looked sorrowfully back at the window where they were accustomed to see their mother's face.	一看到那些果馅饼，乔又沉下脸来；两人出去忙各自的活儿时，都满腹心事地互相望望。	little_women Ch16
dispatch	dis'pætʃ	—	n. 急件，快报（dispatches 战报，书信）　vt. 派遣	C1	Mr. Brooke sent a bulletin every day, and as the head of the family, Meg insisted on reading the dispatches, which grew more cheerful as the week passed.	布鲁克先生每天发来一份平安快报，作为一家之主，梅格坚持亲自朗读这些电报一般的家书，而它们读起来越来越……	little_women Ch16
wring	riŋ	—	v. 拧，绞（wring out 拧干）　n. 拧绞	C1	TOPSY-TURVY JO A SONG FROM THE SUDS Queen of my tub, I merrily sing, While the white foam rises high, And sturdily wash and rinse and wring, And fasten the clothes to dry.	“颠倒的乔，肥皂沫里的歌。我是洗衣盆的女王，兴高采烈地把歌唱，白色泡沫高高涌起……”	little_women Ch16
glorious	'glɒ:riәs	adjective	a. 光荣的，辉煌的；绝妙的	C1	Then on the earth there would be indeed, A glorious washing day!	“那时大地上真会有一个光荣的洗衣日！”	little_women Ch16
tact	tækt	—	n. 待人圆熟，得体；分寸感	C1	Come and have a cup of coffee all round, and then let's fall to work and be a credit to the family." Coffee was a treat, and Hannah showed great tact in making it that morning.	“来，大家喝杯咖啡，然后动手干活，给咱们家争口气。”咖啡是一种难得的享受……	little_women Ch16
handkerchief	'hæŋkәtʃif	—	n. 手帕	B2	They drew up to the table, exchanged their handkerchiefs for napkins, and in ten minutes were all right again.	她们在桌边坐定，把手帕换成餐巾，十分钟后便都恢复如常了。	little_women Ch16
napkin	'næpkin	—	n. 餐巾	C1	They drew up to the table, exchanged their handkerchiefs for napkins, and in ten minutes were all right again.	她们在桌边坐定，把手帕换成餐巾，十分钟后便都恢复如常了。	little_women Ch16
accustom	ә'kʌstәm	—	v. 使习惯（be accustomed to 习惯于）	C1	The sight of the turnovers made Jo sober again; and when the two went out to their daily tasks, they looked sorrowfully back at the window where they were accustomed to see their mother's face.	一看到那些果馅饼，乔又沉下脸来；两人出去忙各自的活儿时，都满腹心事地互相望望，她们还不习惯……	little_women Ch16
resolution	.rezә'lu:ʃәn	noun	n. 决心，决意；解决；（New Year's resolutions 新年决心）	B2	It was a little thing, but it went straight to their hearts, and in spite of their brave resolutions, they all broke down and cried bitterly.	这是件小事，却直直戳进她们心里，尽管都横下了一条心，大家还是忍不住哭了起来。	little_women Ch16
cling	kliŋ	verb	v. 紧抱，依偎；紧抓（cling to 抓住不放）	B2	They kissed their mother quietly, clung about her tenderly, and tried to wave their hands cheerfully when she drove away.	她们轻轻亲吻母亲，依依不舍地依偎在她身边，马车开走时还努力快活地挥手。	little_women Ch16
