单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
oar	ɒ:	—	n. 桨（decks, oars 甲板与桨）	C1	Feeling that she had not mended matters much, Amy took the offered third of a seat, shook her hair over her face, and accepted an oar.	艾米觉得自己没帮上什么忙，便接受让出的三分之一座位，把头发往脸上一甩……	little_women Ch41
melody	'melәdi	noun	n. 旋律，曲调（immortalize in melody 谱入乐曲传世）	C1	When he looked about him for another and a less intractable damsel to immortalize in melody, memory produced one with the most obliging readiness.	当他环顾四周，想另寻一位不那么倔强的少女，好把她的身影谱进不朽的旋律时，记忆中浮出了一个……	little_women Ch41
everlasting	.evә'læstiŋ	—	a. 永恒的，持久的（the everlasting hills 亘古的山岭）	C1	They seemed to get clearer views of life and duty up there among the everlasting hills.	在那亘古的山岭上，他们似乎对人生与责任看得更清楚了。	little_women Ch41
traitor	'treitә	—	n. 叛徒，背叛者	C1	She felt a traitor to the family secrets she had let slip.	她觉得泄露了家庭秘密，是个叛徒。	little_women Ch41
correspondence	.kɒri'spɒndәns	noun	n. 通信往来；信件（a flourishing correspondence）	C1	The correspondence flourished famously, and letters flew to and fro with unfailing regularity all through the early spring.	通信往来日益兴旺，整个早春时节，信件都雷打不动地你来我往……	little_women Ch41
discharge	dis'tʃɑ:dʒ	verb	v. 履行（discharge a duty）；卸货；释放　n. 排放	C1	She discharged her small duties faithfully before leaving.	离开前，她忠实地完成了自己那点小小的职责。	little_women Ch41
shorten	'ʃɒ:tn	—	v. 缩短，减少	C1	The path through the fields shortened the way home.	穿过田间的这条路缩短了回家的路程。	little_women Ch41
aspire	ә'spaiә	verb	v. 渴望，立志（aspire to）	C1	The warm spring sunshine brought out all sorts of aspiring ideas, tender hopes, and happy thoughts.	温暖的春日阳光催生出种种雄心勃勃的念头、温柔的希望和快乐的遐想。	little_women Ch41
idle	'aidl	—	a. 空闲的，无所事事的；无用的　v. 虚度	B2	She hated to see him idle when there was work to do.	她不愿看他有活可干的时候无所事事。	little_women Ch41
embody	im'bɒdi	verb	v. 体现，使具体化（embody in 融于）	C1	But whether the sorrow was too vast to be embodied in music, or music too ethereal to uplift a mortal woe, he soon discovered that the Requiem was beyond him just at present.	可是，不知是这悲伤太过宏大，无法融入音乐，还是音乐太过缥缈，托不起凡人的哀愁，他终究……	little_women Ch41
remainder	ri'meindә	noun	n. 剩余部分；余数	C1	In a postscript she desired him not to tell Amy that Beth was worse, she was coming home in the spring and there was no need of saddening the remainder of her stay.	信末附言里她请他别告诉艾米贝丝病情加重的事——她春天就要回家，到时……	little_women Ch41
evident	'evidәnt	adjective	a. 明显的，显然的（it is evident that）	B2	Her distress was evident to everyone in the room.	她压抑的痛哭，足以证明她有多痛心。	little_women Ch41
escort	'eskɒ:t	—	vt. 护送，陪同　n. 护卫者（under escort）	B2	Professor Bhaer offered to escort the girls home.	巴尔教授自告奋勇护送姑娘们回家。	little_women Ch41
glow	glәu	—	n. 光辉，余晖；容光焕发　vi. 发光；泛起红晕	B2	The western sky glowed red behind the hills.	西边的天空在山后泛着红光。	little_women Ch41
float	flәut	verb	v. 漂浮，飘动　n. 漂浮物；彩车	B2	Little white clouds floated above the quiet lake.	朵朵白云飘浮在宁静的湖面上空。	little_women Ch41
miracle	'mirәkl	noun	n. 奇迹（work miracles 创造奇迹）	B2	Women work a good many miracles, and I have a persuasion that they may perform even that of raising the standard of manhood by refusing to echo such sayings.	女人能创造许多奇迹，而我深信，她们甚至能完成那种提升文明标杆的奇迹……	little_women Ch41
drag	dræg	verb	v. 拖，拽；拖沓（drag sb back 拖回来）　n. 拖累	B2	There was nothing the young gentleman would have liked better, but elephants could not have dragged him back after the scolding he had received.	再没有别的事能让这位年轻绅士更高兴的了，可就算大象也休想把他拽回……	little_women Ch41
