单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
knight [sound:w_knight_8f2174c8.mp3]	nait	—	n. 骑士；爵士　vt. 封为骑士	B2	Till you tell me how I may rescue you,&#x27; swore the <b class="hl">knight</b>, still kneeling. [sound:s_ch12_knight_af497ba2.mp3]	“除非你告诉我怎样才能救出你，”骑士仍跪着发誓。	little_women Ch12
affection [sound:w_affection_0d428729.mp3]	ә'fekʃәn	noun	n. 喜爱，钟爱；感情	C1	Peeping over the hedge, he saw the queen of his <b class="hl">affections</b> picking flowers in her garden. [sound:s_ch12_affection_1cdc10a4.mp3]	从树篱顶上偷看，他望见心上人正在园子里采花。	little_women Ch12
stroll [sound:w_stroll_486b5354.mp3]	strәul	—	v. 散步，闲逛　n. 漫步	C1	I must look after Grace, she is romping.&quot; And Miss Kate <b class="hl">strolled</b> away, adding to herself with a shrug, &quot;I didn&#x27;t come to chaperone a governess, though she is young and pretty. [sound:s_ch12_stroll_46302d87.mp3]	“我得去看格雷斯，她正闹腾呢。”凯特小姐说着漫步走开，又耸耸肩自语道：“我来可不是……”	little_women Ch12
sly [sound:w_sly_8b2e03a7.mp3]	slai	—	a. 狡猾的；狡黠的；偷偷的	C1	&quot;What a <b class="hl">sly</b> fellow Laurie is! [sound:s_ch12_sly_15b81889.mp3]	“劳里这家伙真鬼！”	little_women Ch12
cordial [sound:w_cordial_967f1d74.mp3]	'kɒ:djәl	—	a. 热诚的，诚恳的　n. 提神饮料	C1	Laurie ran to meet and present them to his friends in the most <b class="hl">cordial</b> manner. [sound:s_ch12_cordial_ac4d2faa.mp3]	劳里跑上前去迎接，并以最热诚的态度把她们引见给他的朋友们。	little_women Ch12
stroke [sound:w_stroke_fa2a4fd4.mp3]	strәuk	noun	n. 一击；一笔；抚摸；（a stroke of 一下）	B2	He gave a <b class="hl">stroke</b>, his ball hit the wicket, and stopped an inch on the wrong side. [sound:s_ch12_stroke_5777e02c.mp3]	他击出一球，球砸中三柱门，却在差一英寸的位置停在了错误的这一侧。	little_women Ch12
sunshine [sound:w_sunshine_8d6e34f9.mp3]	'sʌnʃain	—	n. 阳光,日光	B2	<b class="hl">Sunshine</b> and laughter were good omens for a pleasure party, and soon a lively bustle began in both houses. [sound:s_ch12_sunshine_fde2e4b6.mp3]	阳光与笑声是快乐聚会的吉兆,两座房子里很快便热闹起来。	little_women Ch12
pile [sound:w_pile_eb212bb2.mp3]	pail	noun	v. 堆积,堆起 n. 一堆	B2	Miss Kate and Mr. Brooke, Meg, and Ned declined, but Fred, Sallie, Jo, and Laurie <b class="hl">piled</b> and drew, and the lot fell to Laurie. [sound:s_ch12_pile_67f6bc4c.mp3]	凯特小姐和布鲁克先生、梅格和内德推辞不去,弗雷德、萨莉、乔和劳里则堆雪球、抽签,结果抽中了劳里。	little_women Ch12
stout [sound:w_stout_50205bcc.mp3]	staut	—	a. 壮实的，胖的；结实的	C1	The <b class="hl">stout</b> coachman helped them in with a hearty laugh. [sound:s_ch12_stout_84986c42.mp3]	壮实的车夫哈哈大笑着扶她们上车。	little_women Ch12(AI 补句)
blunder [sound:w_blunder_26a84eb9.mp3]	'blʌndә	—	n. 大错，失误　vi. 犯大错；跌跌撞撞走	C1	She made a sad <b class="hl">blunder</b> in her haste, and knew it at once. [sound:s_ch12_blunder_c5b513aa.mp3]	匆忙之中她犯了个大错，自己立刻就明白了。	little_women Ch12(AI 补句)
