单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
spectacle [sound:w_spectacle_8088292a.mp3]	'spektәkl	noun	n. 景象，场面；（spectacles 眼镜）	C1	Our Pickwick, always at his post, With reverence we greet, As, <b class="hl">spectacles</b> on nose, he reads Our well-filled weekly sheet. [sound:s_ch10_spectacle_b9504787.mp3]	“我们的皮克威克，总是坚守岗位，我们怀着敬意迎接他：他鼻梁上架着眼镜，朗读我们那期期丰盈的周报。”	little_women Ch10
tale [sound:w_tale_34edfb09.mp3]	teil	noun	n. 故事,叙述	B2	The <b class="hl">tale</b> of her lost manuscript nearly brought tears to Jo&#x27;s eyes. [sound:s_ch10_tale_d256a2f2.mp3]	她丢失手稿的遭遇让乔几乎落下泪来。	little_women Ch10(AI 补句)
tumble [sound:w_tumble_d97b6801.mp3]	tʌmbl	—	v. 摔倒，翻滚　n. 跌跤；翻跟斗	B2	Next our peaceful Tupman comes, So rosy, plump, and sweet, Who chokes with laughter at the puns, And <b class="hl">tumbles</b> off his seat. [sound:s_ch10_tumble_9999c776.mp3]	“接着是我们安详的图普曼上场，脸蛋红扑扑，胖乎乎，甜丝丝，他听了俏皮话笑得直呛，一头从椅子上栽下来。”	little_women Ch10
graceful [sound:w_graceful_be0de9ce.mp3]	'greisful	—	a. 优雅的，优美的	C1	She danced with <b class="hl">graceful</b> ease, as if the music carried her along. [sound:s_ch10_graceful_e566d754.mp3]	她舞姿轻盈优美，仿佛被音乐托着前行。	little_women Ch10(AI 补句)
hush [sound:w_hush_1f21e30b.mp3]	hʌʃ	—	n. 寂静，肃静　v. 使安静（hush up 压下，遮掩）	C1	A <b class="hl">hush</b> fell over the room as she began to play. [sound:s_ch10_hush_8c73ca7b.mp3]	她开始演奏时，满屋子安静下来。	little_women Ch10(AI 补句)
tempt [sound:w_tempt_e976c086.mp3]	tempt	verb	v. 引诱，诱惑；吸引（be tempted by 被…吸引）	C1	When last seen, she was sitting at the gate, watching the butcher&#x27;s cart, and it is feared that some villain, <b class="hl">tempted</b> by her charms, basely stole her. [sound:s_ch10_tempt_161db99c.mp3]	有人最后一次看见她时，她正坐在门口看肉铺的车，怕是有哪个坏蛋受了诱惑，将她……	little_women Ch10
worthy [sound:w_worthy_dbe020d2.mp3]	'wә:ði	adjective	a. 值得的；可敬的（worthy of 配得上）	C1	Jo regarded them as <b class="hl">worthy</b> of Bacon, Milton, or Shakespeare, and remodeled her own works with good effect, she thought. [sound:s_ch10_worthy_d57ed85e.mp3]	乔认为它们足以与培根、弥尔顿或莎士比亚比肩，并暗自把自己作品的稿样大刀阔斧地改了又改，觉得效果不错。	little_women Ch10
clash [sound:w_clash_4581fc00.mp3]	klæʃ	noun	v. 碰撞发出铿锵声；冲突　n. 冲突	C1	Hear!&quot; cried Jo, <b class="hl">clashing</b> the lid of the warming pan like a cymbal. [sound:s_ch10_clash_bc2d3ae7.mp3]	“听啊！”乔嚷道，把暖床器的盖子像铙钹一样敲得当当响。	little_women Ch10
blossom [sound:w_blossom_b8bddecc.mp3]	'blɒsәm	—	n. 花，开花　vi. 开花；发展（in blossom 盛开）	C1	The apple trees were in full <b class="hl">blossom</b> that spring. [sound:s_ch10_blossom_e5ac0c89.mp3]	那年春天，苹果树花开正盛。	little_women Ch10(AI 补句)
plump [sound:w_plump_f3a0a45e.mp3]	plʌmp	—	a. 圆胖的，丰满的	C1	Next our peaceful Tupman comes, So rosy, <b class="hl">plump</b>, and sweet, Who chokes with laughter at the puns, And tumbles off his seat. [sound:s_ch10_plump_2b8c6475.mp3]	“接着是我们安详的图普曼上场，脸蛋红扑扑，胖乎乎的，甜丝丝的，他听了俏皮话笑得直呛，一头从椅子上栽下来。”	little_women Ch10
mingle [sound:w_mingle_d98fe9f8.mp3]	'miŋgl	—	v. 混合，交融；（mingle with 与…混在一起）	C1	Knights and ladies, elves and pages, monks and flower girls, all <b class="hl">mingled</b> gaily in the dance. [sound:s_ch10_mingle_9cf7adaa.mp3]	骑士与淑女、精灵与侍从、僧侣与卖花姑娘，全都欢快地混杂在一起跳舞。	little_women Ch10
