单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
beggar	'begә	—	n. 乞丐　vt. 使沦为乞丐（beggar description 无法形容）	C1	I must say, I like to serve a decayed gentleman better than a blarnerying beggar.	“我得说，我宁愿服侍一位破落的绅士，也不愿伺候一个爱吹牛的乞丐。”	little_women Ch44
malicious	mә'liʃәs	—	a. 恶意的，恶毒的（with malicious glee 不怀好意地）	C1	" Amy caught herself up short as the words escaped her, and looked at her husband, who replied, with malicious gravity . . .	艾米话一出口便赶紧收住，看了看丈夫，而他带着一脸恶作剧般的坏笑答道……	little_women Ch44
zeal	zi:l	—	n. 热忱，热情（with zeal 满腔热忱）	C1	He went at the work with a zeal that surprised everyone.	他干起活来那股热劲儿让所有人都惊讶。	little_women Ch44
philanthropic	fi'lænθrәpic	—	a. 慈善的，乐善好施的	C1	A philanthropic old lady endowed the little school.	一位乐善好施的老太太资助了这所小学。	little_women Ch44
accumulate	ә'kju:mjuleit	verb	v. 积累，积聚（let money accumulate 让钱堆着）	C1	"Rich people have no right to sit down and enjoy themselves, or let their money accumulate for others to waste.	“有钱人没有权利坐着享清福，也没有权利让钱白白堆着，留给别人去糟蹋。”	little_women Ch44
steady	'stedi	adjective	a. 稳定的；稳重的（keep me steady 让我沉住气）	B2	I need something of the sort to keep me steady.	“我需要点这类东西，好让自己稳住心神。”	little_women Ch44
shock	ʃɒk	noun	n. 震惊；冲击（a shock to）　v. 使震惊	B2	The news came as a great shock to the whole family.	这个消息让全家都大为震惊。	little_women Ch44
literary	'litәrәri	adjective	a. 文学的，文人的（a literary husband 文人丈夫）	B2	She won't think so when she has a literary husband, and a dozen little professors and professorins to support.	“等她有了个文人的丈夫，还有一小群要养的小教授们，她就不会这么想了。”	little_women Ch44
admiration	.ædmә'reiʃәn	—	n. 钦佩，赞赏（in admiration 赞叹地）	B2	I suppose it's wrong, but I do, though it is harder." "Because it takes a gentleman to do it," added the other member of the domestic admiration society.	“我觉得这样不对，可我就是佩服他，虽然更难。”“因为那要一个正人君子才做得到。”另一位也附和道。	little_women Ch44
fare	fєә	noun	v. 过日子，进展（fare badly 境遇不好）　n. 票价；饮食	B2	Out-and-out beggars get taken care of, but poor gentle folks fare badly, because they won't ask, and people don't dare to offer charity.	彻头彻尾的乞丐倒有人照应，可怜的体面人却境遇凄惨，因为他们不肯开口求人，而人们又不会主动……	little_women Ch44
occasional	ә'keiʒәnl	adjective	a. 偶尔的，间或的（an occasional 偶尔一次的）	B2	"Exactly, for Amy keeps me pointing due west most of the time, with only an occasional whiffle round to the south, and I haven't had an easterly spell since I was married.	“正是如此，艾米总让我朝正西走，只是偶尔打个转儿，偏到南边去……”	little_women Ch44
mansion	'mænʃәn	—	n. 大厦，宅邸（the great mansion 大宅）	B2	The great mansion stood empty at the end of the avenue.	大道尽头，那座大宅空置着。	little_women Ch44
gravity	'græviti	noun	n. 严肃，庄重（with gravity 一本正经地）；重力	B2	" Amy caught herself up short as the words escaped her, and looked at her husband, who replied, with malicious gravity . . .	艾米话一出口便赶紧收住，看了看丈夫，而他一本正经地坏笑着答道……	little_women Ch44
interfere	.intә'fiә	verb	v. 干涉，干预（interfere with 妨碍）	B2	We won't interfere now, but watch our chance, and do them a good turn in spite of themselves.	“我们现在不插手，只留意机会，到时候帮他们一把，哪怕他们自己不领情。”	little_women Ch44
cloak	klәuk	—	n. 斗篷，外套　v. 掩盖，掩饰（under the cloak of）	B2	"What are you going to do with yourselves after you get settled?" asked Jo, buttoning Amy's cloak as she used to button her pinafores.	“安顿下来以后，你们打算做些什么？”乔问道，一边照旧替艾米扣好斗篷……	little_women Ch44
