单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
fever [sound:w_fever_e2f347fb.mp3]	'fi:vә	noun	n. 发烧,发热	B2	&#x27;Scarlet <b class="hl">fever</b>, ma&#x27;am. [sound:s_ch17_fever_cd2442b4.mp3]	“猩红热,夫人。”	little_women Ch17
scarlet [sound:w_scarlet_5bcfe00e.mp3]	'skɑ:lit	—	a. 猩红的，鲜红的　n. 猩红色（scarlet fever 猩红热）	B2	&#x27;<b class="hl">Scarlet</b> fever, ma&#x27;am. [sound:s_ch17_scarlet_fc85c782.mp3]	“猩红热，夫人。”	little_women Ch17
trot [sound:w_trot_ac63f896.mp3]	trɒt	—	v. 小跑，快步走　n. 快步	C1	A neat little pony <b class="hl">trotted</b> briskly past the gate. [sound:s_ch17_trot_1b8b72f6.mp3]	贝丝在客厅和厨房之间来回小跑，安安静静地忙个不停，而艾米端坐着，双手叠起，指挥着每个人干活。	little_women Ch17(AI 补句)
gan [sound:w_gan_b8730be4.mp3]	ɡæn	—	gin 的过去式(古语):开始	TOE	I saw in a minute it was sicker, but Lottchen said her mother had gone for a doctor, so I took Baby and let Lotty rest. [sound:s_ch17_gan_dba20d05.mp3]	我一眼就看出它病得更重了,但洛琴说她母亲去请大夫了,于是我把娃娃接过来,让洛蒂歇一歇。	little_women Ch17
immense [sound:w_immense_78166c52.mp3]	i'mens	adjective	a. 巨大的，广大的；（口）极好的	C1	&quot;If Mother was only at home!&quot; exclaimed Jo, seizing the book, and feeling that Washington was an <b class="hl">immense</b> way off. [sound:s_ch17_immense_d660d152.mp3]	“要是妈妈在家就好了！”乔嚷道，抓起那本书，觉得华盛顿是个无比遥远的地方。	little_women Ch17
stir [sound:w_stir_186f52ed.mp3]	stә:	verb	v. 动弹；搅动；激起　n. 轰动	B2	I tried to warm its feet, and Lotty gave it some milk, but it didn&#x27;t <b class="hl">stir</b>, and I knew it was dead.&quot; &quot;Don&#x27;t cry, dear! [sound:s_ch17_stir_fd7c38c7.mp3]	我试着给它焐脚，洛蒂给它喂了些奶，可它动也不动，我知道它死了。”“别哭，亲爱的！”	little_women Ch17
harm [sound:w_harm_8bd24ba3.mp3]	hɑ:m	noun	n. 伤害,损害 v. 伤害	B2	No <b class="hl">harm</b> shall come to you while we are here. [sound:s_ch17_harm_ba8cb64a.mp3]	我们在这儿,不会让你受到任何伤害。	little_women Ch17(AI 补句)
pat [sound:w_pat_7ffe1ba4.mp3]	pæt	—	v. 轻拍 n. 轻拍	B2	Call Meg, and tell her you&#x27;ll give in,&quot; said Laurie, with an approving <b class="hl">pat</b>, which annoyed Amy more than the &#x27;giving in&#x27;. [sound:s_ch17_pat_ccb652c8.mp3]	“把梅格叫来,告诉她你让步了,”劳里说着赞许地拍了拍她——这比“让步”更叫艾米恼火。	little_women Ch17
dull [sound:w_dull_738a85cf.mp3]	dʌl	adjective	a. 乏味的,沉闷的;迟钝的	B2	&quot;It won&#x27;t be <b class="hl">dull</b> with me popping in every day to tell you how Beth is, and take you out gallivanting. [sound:s_ch17_dull_87fe2d14.mp3]	“不会乏味的,我每天都来看你,告诉你贝丝的情况,再带你出去兜风。”	little_women Ch17
shear [sound:w_shear_f784b5d2.mp3]	ʃiә	—	v. 剪（羊毛、头发）（shorn 过去分词）　n. 大剪刀	C1	Jo caught a bad cold through neglect to cover the <b class="hl">shorn</b> head enough, and was ordered to stay at home till she was better, for Aunt March didn&#x27;t like to hear people read with colds in their heads. [sound:s_ch17_shear_95a53cd6.mp3]	乔因为没好好护住剪短的头，着了凉，得了重感冒，被勒令在家休养直到好转。	little_women Ch17
assure [sound:w_assure_a90bcd21.mp3]	ә'ʃuә	verb	v. 向…保证；使确信（assure sb that）	B2	The doctor <b class="hl">assured</b> them that Beth would soon be well again. [sound:s_ch17_assure_155e61e7.mp3]	医生向他们保证，贝丝很快会好起来。	little_women Ch17(AI 补句)
bounce [sound:w_bounce_b85b9b0d.mp3]	bauns	verb	n. 弹跳；一蹦　v. 蹦跳；使弹起（with a bounce 蹦的一下）	B2	&quot; &quot;Hold your tongue, you disrespectful old bird!&quot; cried Polly, tumbling off the chair with a <b class="hl">bounce</b>, and running to peck the &#x27;rattlepated&#x27; boy, who was shaking with laughter at the last speech. [sound:s_ch17_bounce_5d7ba6b5.mp3]	“住嘴，你这个没规矩的老东西！”波莉嚷道，从椅子上叭地蹦下来，跑过去啄……	little_women Ch17
stormy [sound:w_stormy_a374df9d.mp3]	'stɒ:mi	—	a. 暴风雨的；激烈的	C1	It had been a <b class="hl">stormy</b> morning, but by noon the sky cleared. [sound:s_ch17_stormy_348e33b3.mp3]	那是个暴风骤雨的上午，但到中午天便放晴了。	little_women Ch17(AI 补句)
ward [sound:w_ward_f7d6f816.mp3]	wɒ:d	noun	v. 挡开（ward off 避开，防范）　n. 病房；受监护的儿童	C1	Amy was ordered off at once, and provided with something to <b class="hl">ward</b> off danger, she departed in great state, with Jo and Laurie as escort. [sound:s_ch17_ward_df823efb.mp3]	艾米被立刻打发走，还配了挡灾之物以防万一，随后她便风风光光地出发了，乔和劳里相陪……	little_women Ch17
claw [sound:w_claw_0383b9a5.mp3]	klɒ:	—	n. 爪子　v. 用爪抓，抓挠	C1	Never say die, take a pinch of snuff, goodbye, goodbye!&quot; squalled Polly, dancing on her perch, and <b class="hl">clawing</b> at the old lady&#x27;s cap as Laurie tweaked him in the rear. [sound:s_ch17_claw_c7db2b7a.mp3]	“永不言败，来撮鼻烟吧，再见，再见！”波莉尖叫着，在栖木上跳来跳去，伸爪去抓那位老先生的……	little_women Ch17
slight [sound:w_slight_209700f3.mp3]	slait	adjective	a. 轻微的；纤细的　n. 轻视，怠慢	B2	Beth kept on, with only <b class="hl">slight</b> relapses into idleness or grieving. [sound:s_ch17_slight_be8a59ec.mp3]	贝丝坚持了下去，只是偶尔小有反复，懒散或伤心一下。	little_women Ch17
sitting [sound:w_sitting_7fa936d8.mp3]	'sitiŋ	—	sit 的现在分词:坐着	TOE	&quot;What do you want now?&quot; she asked, looking sharply over her spectacles, while the parrot, <b class="hl">sitting</b> on the back of her chair, called out . . . [sound:s_ch17_sitting_4a1f963b.mp3]	“你现在要什么?”她隔着眼镜严厉地问道,而鹦鹉坐在椅背上大声叫着……	little_women Ch17
pendulum [sound:w_pendulum_1c84033a.mp3]	'pendʒәlәm	—	n. 钟摆；摇摆不定的事态	C1	All the little duties were faithfully done each day, and many of her sisters&#x27; also, for they were forgetful, and the house seemed like a clock whose <b class="hl">pendulum</b> was gone a-visiting. [sound:s_ch17_pendulum_565d4e94.mp3]	每天所有的小事务都认真完成，许多原属姐姐们的活计她也一并做了，因为她们常常丢三落四，而那座老钟的钟摆……	little_women Ch17
