单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
cricket	'krikit	—	n. 蟋蟀；板球	B2	Grasshoppers skipped briskly in the sere grass, and crickets chirped like fairy pipers at a feast.	蚱蜢在枯草里轻快地蹦跳，蟋蟀低吟，仿佛宴席上吹奏的仙乐小笛手。	little_women Ch47
racket	'rækit	—	n. 喧闹，聒噪（a perpetual racket 无休止的喧闹）；球拍	C1	Yes, Jo was a very happy woman there, in spite of hard work, much anxiety, and a perpetual racket.	是的，乔在那里是个非常幸福的女人，尽管活儿繁重、忧心事多，耳边还永远不得清静。	little_women Ch47
reside	ri'zaid	verb	v. 居住；在于（reside in 存在于）	C1	The charm of the place resides in its quiet simplicity.	这个地方的魅力在于它质朴的宁静。	little_women Ch47
lofty	'lɒfti	—	a. 高耸的；崇高的；高傲的	C1	From the lofty turret they could see the whole valley.	从高高的塔楼上，他们能望见整个山谷。	little_women Ch47
cabbage	'kæbidʒ	—	n. 卷心菜，甘蓝	C1	Grandpa's cabbages grew enormous in the rich soil.	爷爷的卷心菜在肥沃的土壤里长得特别大。	little_women Ch47
backward	'bækwәd	—	a. 落后的；内向迟钝的（backward ones 迟钝的孩子）　adv. 向后	C1	I've seen unfortunate little creatures left to servants, or backward ones pushed forward, when it's real cruelty.	“我见过不幸的小东西被扔给仆人照料，或者迟钝的孩子被硬往前推——那真是一种残忍……”	little_women Ch47
yearly	'jiәli	—	a. 每年的，一年一度的　adv. 每年	C1	There were a great many holidays at Plumfield, and one of the most delightful was the yearly apple-picking.	普拉姆菲尔德有许多节日，最令人愉快的之一是每年一次的摘苹果。	little_women Ch47
fruitful	'fru:tful	—	a. 富有成效的；多产的	C1	Their long talk proved fruitful for both of them.	他们长谈一番，双方都收获颇丰。	little_women Ch47
vein	vein	noun	n. 语气，风格（in a vein）；静脉；矿脉	C1	Her eyes sparkled as she spoke, in a lively vein.	她说起话来神采飞扬，兴致勃勃。	little_women Ch47
edible	'edibl	—	n. 食物　a. 可食用的（edibles 吃食）	C1	The little girls had a private tea party, and Ted roved among the edibles at his own sweet will.	小姑娘们私下办茶话会，而泰德则在各种吃食之间随心所欲地打转。	little_women Ch47
defect	di'fekt	noun	n. 缺点，瑕疵（what would have been defects 在别人眼里是毛病的东西）	C1	Funny presents, some of them, but what would have been defects to other eyes were ornaments to Grandma's—for the children's gifts were all their own.	这些礼物有的滑稽可笑，可在祖母眼里，别人看来是毛病的东西，都成了宝贝……	little_women Ch47
embroidery	im'brɒidәri	—	n. 刺绣（better than embroidery 胜过刺绣）	C1	Every stitch Daisy's patient little fingers had put into the handkerchiefs she hemmed was better than embroidery to Mrs. March.	黛西那耐心的小手指在手帕上缝的每一针，都比刺绣还要精美。	little_women Ch47
confine	kәn'fain	verb	v. 限制，局限（confine to）；禁闭　n. 界限	C1	Beth seldom confined herself to the house in fine weather.	天气好的时候，贝丝很少把自己关在屋里。	little_women Ch47
reap	ri:p	—	v. 收割；收获（sow and reap 播种与收获）	C1	Here it is, and we never can thank you enough for the patient sowing and reaping you have done," cried Jo, with the loving impetuosity which she never would outgrow.	“在这儿呢，您耐心种下的和收获的一切，我们永远感激不尽。”乔眼含热泪地喊道。	little_women Ch47
fist	fist	—	n. 拳头（shake one's fist 挥拳）	B2	He shook his fist at the teasing boys from the window.	他从窗口朝那些淘气的男孩挥着拳头。	little_women Ch47
skip	skip	verb	v. 蹦跳；跳过，略过　n. 跳跃	B2	Grasshoppers skipped briskly in the sere grass, and crickets chirped like fairy pipers at a feast.	蚱蜢在枯草里轻快地蹦跳，蟋蟀低吟，仿佛宴席上吹奏的仙乐小笛手。	little_women Ch47
brighten	'braitn	—	v. 使明亮；使快活起来（prospects brighten 前景好转）	B2	The second year began rather soberly, for their prospects did not brighten, and Aunt March died suddenly.	第二年开始得颇为沉闷，因为他们的前景没有好转，而马奇姑妈突然去世了。	little_women Ch47
