word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
knight,b2,,3.14,11,18,nait,"n. 骑士, 爵士 / vt. 授以爵位",六,27105,5152,"[166, 168, 169, 172, 181, 194, 196, 206, 216, 217, 230]","[5, 1, 14, 1, 11, 3, 38, 22, 5, 1, 3]","Till you tell me how I may rescue you,' swore the knight, still kneeling.",50,n. 骑士；爵士　vt. 封为骑士,“除非你告诉我怎样才能救出你，”骑士仍跪着发誓。,
affection,c1,noun,2.8867,1,16,ә'fekʃәn,"n. 影响, 病, 喜爱, 情感, 倾向",高研四六托雅宝,5137,4103,[219],[10],"Peeping over the hedge, he saw the queen of his affections picking flowers in her garden.",48,n. 喜爱，钟爱；感情,从树篱顶上偷看，他望见心上人正在园子里采花。,
stroll,c1,,2.8333,1,14,strәul,"n. 闲逛, 漫步 / v. 闲逛, 漫步",研六托宝,5880,10056,[299],[11],"I must look after Grace, she is romping."" And Miss Kate strolled away, adding to herself with a shrug, ""I didn't come to chaperone a governess, though she is young and pretty.",56,v. 散步，闲逛　n. 漫步,“我得去看格雷斯，她正闹腾呢。”凯特小姐说着漫步走开，又耸耸肩自语道：“我来可不是……”,
sly,c1,,2.82,3,9,slai,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的",研四六托宝,9698,9181,"[10, 116, 203]","[2, 14, 2]","""What a sly fellow Laurie is!",8,a. 狡猾的；狡黠的；偷偷的,“劳里这家伙真鬼！”,
cordial,c1,,2.8133,2,11,'kɒ:djәl,"n. 兴奋剂, 补品 / a. 热忱的, 诚恳的, 有兴奋作用的",研四六托雅宝,14433,19234,"[85, 352]","[13, 12]",Laurie ran to meet and present them to his friends in the most cordial manner.,63,a. 热诚的，诚恳的　n. 提神饮料,劳里跑上前去迎接，并以最热诚的态度把她们引见给他的朋友们。,
stroke,b2,noun,2.79,4,15,strәuk,"n. 笔划, 打, 中风, 抚, 摩, 冲程 / vt. 划尾桨, 抚, 摩, 划去",研四六托雅宝,3108,3619,"[113, 115, 129, 133]","[10, 3, 3, 39]","He gave a stroke, his ball hit the wicket, and stopped an inch on the wrong side.",10,n. 一击；一笔；抚摸；（a stroke of 一下）,他击出一球，球砸中三柱门，却在差一英寸的位置停在了错误的这一侧。,
sunshine,b2,,2.7867,2,25,'sʌnʃain,"n. 阳光, 光明, 晴天",高研四六托,7752,4726,"[58, 172]","[0, 33]","Sunshine and laughter were good omens for a pleasure party, and soon a lively bustle began in both houses.",0,"n. 阳光,日光","阳光与笑声是快乐聚会的吉兆,两座房子里很快便热闹起来。",
pile,b2,noun,2.7833,3,17,pail,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮 / vi. 堆起, 堆积, 积累, 挤, 猛烈攻击 / vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑",高研四六托,3003,3229,"[201, 236, 238]","[14, 2, 15]","Miss Kate and Mr. Brooke, Meg, and Ned declined, but Fred, Sallie, Jo, and Laurie piled and drew, and the lot fell to Laurie.",82,"v. 堆积,堆起 n. 一堆","凯特小姐和布鲁克先生、梅格和内德推辞不去,弗雷德、萨莉、乔和劳里则堆雪球、抽签,结果抽中了劳里。",
stout,c1,,2.78,1,12,staut,a. 结实的；矮胖的；勇敢的；激烈的 / n. 矮胖子；烈性啤酒,高六托宝,13326,9786,[186],[19],The stout coachman helped them in with a hearty laugh.,-1,a. 壮实的，胖的；结实的,壮实的车夫哈哈大笑着扶她们上车。,1
blunder,c1,,2.7533,1,11,'blʌndә,"n. 大错, 大失策 / vi. 失策, 跌跌撞撞地走, 犯错 / vt. 做错",研六托雅宝,13190,12081,[333],[77],"She made a sad blunder in her haste, and knew it at once.",-1,n. 大错，失误　vi. 犯大错；跌跌撞撞走,匆忙之中她犯了个大错，自己立刻就明白了。,1
