word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
shriek,c1,,2.5667,1,4,ʃri:k,"n. 尖锐的响声 / vi. 尖叫, 发尖声 / vt. 尖声发出",四六托宝,9309,10591,[37],[42],Jo gave a shriek of delight and clapped her hands.,-1,v. 尖叫　n. 尖叫声,乔发出一声喜悦的尖叫，拍起手来。,1
gallop,c1,,2.5667,1,4,'gælәp,"n. 疾驰, 飞奔 / vi. 飞驰, 急速进行, 急急忙忙地说 / vt. 使飞跑, 迅速运输",研宝,12092,10110,[65],[8],"I longed to show them a tearing American gallop, for they trotted solemnly up and down, in their scant habits and high hats, looking like the women in a toy Noah's Ark.",41,n. 疾驰，飞跑　v. 飞奔（at a gallop 全速）,我多想给他们表演一段美国式的风驰电掣啊——他们却穿着紧窄的骑装庄重地来回小跑……,
limp,c1,,2.5667,1,4,limp,"n. 跛行 / a. 柔软的, 无力的, 软弱的 / vi. 跛行",研六托雅宝,9496,9898,[73],[19],"Both are tall fellows with whiskers, Fred handsome in the English style, and Frank much better, for he only limps slightly, and uses no crutches.",108,a. 无力的，松软的　v. 跛行，一瘸一拐地走,两人都是高个子、留胡须，弗雷德是英国式的英俊，弗兰克更好一些，因为他只是走路微微跛……,
acquaint,c1,,2.54,1,3,ә'kweint,"vt. 使认识, 介绍",研六托雅宝,9630,9574,[119],[16],"At Coblentz we had a lovely time, for some students from Bonn, with whom Fred got acquainted on the boat, gave us a serenade.",82,v. 使认识，使熟悉（be/ get acquainted with）,在科布伦茨我们玩得很开心，邦恩的几个大学生在船上与弗雷德结识了，他们带我们……,
rosy,toe,,2.5267,3,28,'rәuzi,"a. 蔷薇色的, 玫瑰红色的",宝,10106,11162,"[14, 30, 62]","[29, 19, 4]","The farmhouses were my delight, with thatched roofs, ivy up to the eaves, latticed windows, and stout women with rosy children at the doors.",113,,,
trumpet,c1,,2.5133,1,2,'trʌmpit,"n. 喇叭, 小号, 喇叭声 / vi. 吹喇叭 / vt. 用喇叭吹出, 吹嘘",研四六托雅宝,8936,8849,[12],[32],The trumpets sounded as the procession entered the square.,-1,n. 小号，喇叭　v. 吹喇叭（trumpet blast 号声）,队伍进入广场时，喇叭吹响。,1
lattice,c1,,2.5133,1,2,'lætis,"n. 格子, 组合格子, 格子状东西 / vt. 制做格子, 使成格子状",六宝,15066,10648,[30],[13],"The farmhouses were my delight, with thatched roofs, ivy up to the eaves, latticed windows, and stout women with rosy children at the doors.",74,n. 格构，斜条格构（latticed windows 方格窗）,农舍是我的最爱：茅草屋顶，常春藤攀上屋檐，方格窗户，还有壮实的女人……,
whisker,c1,,2.5133,1,2,'hwiskә,"n. 腮须, 胡须, 一丝儿",六,13794,11959,[73],[5],"Both are tall fellows with whiskers, Fred handsome in the English style, and Frank much better, for he only limps slightly, and uses no crutches.",27,n. 连鬓胡子，腮须（whiskers）,两人都是高个子、留胡须，弗雷德是英国式的英俊，弗兰克更好一些，因为他只是走路微微跛……,
cradle,c1,,2.5133,1,2,'kreidl,"n. 摇篮, 发祥地, 孩提时代 / vt. 放在摇篮内, 抚育 / vi. 刈割",研六雅,8639,9753,[97],[21],The baby slept peacefully in its cradle by the fire.,-1,n. 摇篮；发源地　vt. 小心捧着,婴儿在炉火旁的摇篮里安睡。,1
vest,c1,,2.5133,1,2,vest,"n. 背心, 汗背心 / vt. 使穿衣服, 授予 / vi. 穿衣服, 归属",高研四六,6686,9247,[124],[12],"Next morning Fred showed me one of the crumpled flowers in his vest pocket, and looked very sentimental.",63,n. 背心，马甲　（vest pocket 胸前口袋）,第二天早上，弗雷德给我看他马甲口袋里那朵揉皱的小花，神情一脸深情。,
theater,b2,,2.51,2,9,'θiәtә,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所",研托,1535,39534,"[75, 81]","[4, 27]",,-1,,,
pace,b2,noun,2.5033,1,11,peis,"n. 速度, 步调, 步法 / vi. 踱步, 缓慢走 / vt. 用步测, 踱步于",高研四六托雅,2533,2461,[53],[28],"He didn't hear me call, nor see me flap my parasol in front, and there we were, quite helpless, rattling away, and whirling around corners at a breakneck pace.",154,n. 步伐，步速（at a pace）　v. 踱步，来回走,他没听见我叫唤，也没看见我在车前挥动阳伞，就这样，我们毫无办法，一路颠簸着直冲……,
whirl,c1,,2.4867,1,1,hwә:l,"n. 回旋, 旋转, 急走, 眩晕 / vt. 使旋转, 使回旋, 卷走 / vi. 回旋, 旋转, 急走, 发晕",研四六雅,8035,10659,[53],[22],"He didn't hear me call, nor see me flap my parasol in front, and there we were, quite helpless, rattling away, and whirling around corners at a breakneck pace.",115,n. 旋转，急转（in a whirl）　v. 飞转；发晕,他没听见我叫唤，也没看见我在车前挥动阳伞，就这样，我们毫无办法，一路颠簸着急驰而去……,
dissipate,c1,,2.4867,1,1,'disipeit,"vt. 散失, 驱散, 浪费 / vi. 消散, 放荡",研六托雅宝,9775,11497,[81],[5],Her doubts were dissipated by his honest smile.,-1,v. 驱散，消散；挥霍,他那真诚的笑容打消了她的疑虑。,1
