word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai,ai_analysis,memo
delusion,c1,,2.6733,1,8,di'lu:ʒәn,"n. 迷惑, 欺瞒, 错觉",六宝,10894,11625,[166],[34],"It was a fond delusion, and she knew it in her heart.",-1,n. 错觉，妄想，幻想,那是一个痴心妄想，她心里也明白。,1,"1. 逐项解析:
(1) It:代词,指代前文刚刚提到的那份心思或念想。
(2) was:系动词be的过去式,连接主语和表语。
(3) a:不定冠词,表示「一个」。
(4) fond:形容词,本义「喜爱的、深情的」,用在delusion前构成固定搭配fond delusion,指「出于怜爱之情而生的痴心妄想」,带「因感情而自欺」的意味,是本句难点词。
(5) delusion:名词,目标词,「错觉、妄想、幻想」,指与现实相悖却不肯放下的念头。
(6) and:连词,连接前后两个并列分句。
(7) she / knew / it:她 / 知道(动词know的过去式)/ 它(回指这份妄想)。
(8) in her heart:介词短语,「在心里」,强调埋藏于内心深处的清醒。

2. 整句解读:
这是由and连接的前后两个分句:前句「it was a fond delusion」是陈述,后句「she knew it in her heart」是转折补充,合成「明知是妄想、却偏偏放不下」的复杂心绪。整句语气温柔而怅惘:说话人心里其实门儿清,这愿望注定实现不了,可那份fond里裹着的感情是真的。译文「痴心妄想」一词,恰好把「因爱而盲、明知不可为」的意思都包了进去;「她心里也明白」与delusion的自我欺骗形成反衬,读来更添无奈。

3. 文化点:
此句出自《小妇人》中长辈的叙述。19世纪美国新英格兰的清教家庭看重勤勉、务实与知足,视「妄想」为与美德相对的东西,于是这份痴心妄想被作者写得既可爱又带一点善意的警醒——幻想再美,终究不如脚踏实地。","像对着夜里反光的玻璃哈气画出一座城堡,明知一擦就散,还是忍不住多看两眼。"
rap,c1,,2.6533,2,5,ræp,"n. 轻敲, 拍击, 责骂, 无价值的东西 / vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷 / vi. 敲击, 发敲击声, 交谈, 同情",研六托,5303,10521,"[75, 80]","[11, 14]","There's mischief going on, and I insist upon knowing what it is,"" with another rap.",79,n. 轻敲，叩击　v. 轻敲；厉声说,“这里头一定有鬼，我一定要弄个明白。”说着又是一记敲击。,,"1. 逐项解析:
(1) There's:There is的缩略形式,「有」。
(2) mischief:名词,「恶作剧、捣鬼的勾当」,口语里说there's mischief going on就是在说「有人搞鬼、不大对劲」。
(3) going on:动词短语go on的进行时,「正在发生、正在上演」。
(4) and I insist upon knowing what it is:and引出第二个分句;insist upon+动名词是固定搭配,「坚持要做某事」;knowing后接宾语从句what it is,即「这里面究竟是怎么回事」。
(5) with another rap:介词短语表伴随,「(说这话时)又叩了一记」;rap作名词即目标词,「轻快而清脆的敲击、叩击声」,常指敲门、敲桌子的「笃笃」声。
(6) 难点:insist upon/on doing的搭配;另一个another「再度、又一」的用法。

2. 整句解读:
这是一句又急又冲的台词:说话人一口咬定「必有蹊跷」,非要刨根问底不可,话音未落手还「笃笃」敲了一下桌面或房门。there's mischief going on用的是口语化习语,显得认定、笃定;insist upon knowing把那种不依不饶的执拗脾气写足;最后的with another rap如同舞台动作提示,让人仿佛看见一个急躁又带几分憨直的人物。译文连用两个「一定」,又把another rap译成「又是一记敲击」,气势和画面都保留得相当完整。

3. 文化点:
此句出自《小妇人》,是长辈在家中「抓包」孩子们胡闹(排戏、藏信之类)时的典型口吻。19世纪小说里,家人训斥小孩的mischief是家常场景;而rap这个拟声词专指短促清脆的叩击,与今天音乐里的「饶舌(说唱)」并非一词两意,只是词义朝不同方向发展的分叉。","像手指关节在木门上连叩两下「笃笃」——不重,却透着不容糊弄的认真。"
eloquence,c1,,2.62,1,6,'elәkwәns,"n. 口才, 雄辩术, 雄辩",六托宝,16655,18873,[150],[28],"His eloquence carried the whole room, and even the grumblers fell silent.",-1,n. 口才，雄辩,他一番雄辩说服了满屋子人，连那些嘀嘀咕咕的也安静下来。,1,"1. 逐项解析:
(1) His:物主代词,「他的」。
(2) eloquence:名词,目标词,「口才、雄辩」,指言语既有文采又有说服力,能把听众整个带动起来。
(3) carried:动词carry的过去式,本义「携带」,此处引申为「征服、打动」;carry the room/audience是固定用法,意为「赢得全场、让全场信服」。
(4) the whole room:字面是「整个房间」,以房间代指在场的满屋子人(转喻),译文取「满屋子的人」。
(5) and even the grumblers fell silent:and连接的第二分句;even是副词加强语气(「就连」);grumblers由grumble(「嘟囔、抱怨」)+-er构成名词复数,即「爱嘀嘀咕咕的人」;fell silent是系表结构(此处fall作系动词,「陷入某种状态」),意为「陷入沉默」。
(6) 难点:carry表示「说服、征服」的引申义;fall作系动词的用法。

2. 整句解读:
整句写一场酣畅淋漓的「话战胜利」。carried the whole room把雄辩比作席卷全场的风,一个「带动」就讲出了口才的力度;第二分句用even领起,连最不服气、一直在旁嘀嘀咕咕的人都安静下来,专挑最难搞的人来写,以此反衬说服力之强。译文「一番雄辩说服了满屋子人」,用「说服」点明carry的实际结果,把grumblers口语化地译成「嘀嘀咕咕的」,语气层次和递进感都还原得很到位。

3. 文化点:
19世纪的欧美社会格外看重公共演说(布道、法庭辩护、议会辩论),雄辩是绅士与领袖的重要素养。《小妇人》中,作者也常把伶俐的口才当作人物魅力的一部分——「一句话劝服一屋子人」,正是那个「言语即力量」时代人们津津乐道的场面。","像一阵风忽然掀起满屋烛火,所有灯苗都朝他那边倒去,连最不服气的也悄悄抬起了头。"
quiver,c1,,2.62,1,6,'kwivә,"n. 震动, 颤抖, 箭袋 / vi. 颤抖, 振动 / vt. 使颤动 / a. 敏捷的",研六托雅宝,11515,10746,[173],[18],"""You can't know how hard it is for me to give up Meg,"" she continued with a little quiver in her voice.",83,v. 颤抖，颤动（a quiver in one's voice）　n. 箭袋,“你无法想象要我放弃梅格有多难。”她继续说，声音里带着一丝颤抖。,,"1. 逐项解析:
(1) You can't know:「你无法知道/想象」,can't表示「不可能」。
(2) how hard it is for me to give up Meg:感叹式的宾语从句;how hard感叹「多么艰难」;for me指出「对我来说」;to give up Meg是这个句子的逻辑主语(「放弃梅格」);give up是固定短语,「放弃」。
(3) she continued:她继续说,continued是continue的过去式。
(4) with a little quiver in her voice:介词短语作伴随状语,「声音里带着一丝颤抖」;a little修饰不可数名词quiver,意为「一点点」;quiver为本句目标词,名词义「颤抖、颤动」,a quiver in one's voice是常见搭配,指声音轻微而克制不住地抖动。
(5) 难点:give up与介词for搭配;with+伴随状语的用法。

2. 整句解读:
说话者正强忍着感情讲这段话:表面只有一句「你无法想象要我放弃梅格有多难」,克制、平静,可后面紧接的with a little quiver in her voice一下子把人出卖了——声音在发颤,喉咙里压着哭。整句先抑后扬,用话语的平静对衬声音的一颤,眼泪没落下,悲伤却满了出来。译文把a little quiver译成「一丝颤抖」,「一丝」二字极轻极准,仿佛能看到那个眼眶发红、声音发抖的女孩。

3. 文化点:
这是《小妇人》中姑娘们成长与离别的场景。19世纪小说讲究「含而不露」的情感表达,几乎不写人物嚎啕大哭,而是借「声音里的颤抖」「指尖微凉」这类身体细节外化内心;这与当时要求女性克制内敛的情感教养一脉相承,也使得这样轻轻的一颤格外动人。","像一片落叶刚飘过湖面,涟漪散尽,水纹却还轻轻抖着。"
courage,b2,noun,2.61,1,15,'kʌridʒ,"n. 勇气, 胆量",中高研四六,3324,3640,[137],[7],"She seemed to take all the girl's courage with her, for when left alone, Meg stood for a moment, undecided whether to laugh or cry.",34,"n. 勇气,胆量","她似乎带走了姑娘全部的勇气,独自留下时,梅格站了片刻,不知该笑还是该哭。",,"1. 逐项解析:
(1) She:她,指代上文的另一个人(正要离开的姐妹或家人)。
(2) seemed to take…with her:「似乎随身带走了……」;seem to do表示「看起来、仿佛要」,带一层不太确定的猜测语气。
(3) all the girl's courage:姑娘(梅格)全部的勇气;courage是不可数名词,「勇气、胆量」,即目标词。
(4) for:连词,「因为」,引出原因。
(5) when left alone:when she was left alone的省略说法,意为「被独自留下的那一刻」。
(6) Meg stood for a moment:梅格站了片刻;stood是stand的过去式。
(7) undecided:超纲词,形容词「犹犹豫豫、主意未定的」,由否定前缀un-加decided(已决定的)构成。
(8) whether to laugh or cry:「该笑还是该哭」;whether to do表示「是否做某事」。
(9) 难点:take…with her「随身带走」的具体义;when+过去分词的省略结构;undecided后接whether to的不定式。

2. 整句解读:
整句写的是人一离开、留下的人顿失支撑的瞬间。第一分句说那人「似乎带走了姑娘全部的勇气」,用夸张而诗意的写法,把梅格的失落具体成一团被抽走的力气;第二分句以for交代原因:独处的梅格怔在原地,undecided whether to laugh or cry——「该笑还是该哭」把百感交集拧成两个极端,读者一眼就看见那个不知所措的少女。译文「带走了姑娘全部的勇气」保留原句的夸张与诗意,「站了片刻」「不知该笑还是该哭」朴素而有画面,读来仿佛亲见。

3. 文化点:
《小妇人》写于19世纪美国,那个时代对「勇气」有明确的性别期待:男孩的勇气见于担当与冒险,女孩的勇气则多见于忍耐与克己。此处用「勇气被带走」这样孩子气的天真说法写姐妹分别,正是作者以少女视角讲述成长的典型笔法。","像一团棉花被人整团抽走,胸口顿时空了,只剩她独自站在原地,攥紧手心。"
hearing,b2,noun,2.5967,3,10,'hiәriŋ,"n. 听, 听觉, 听讯",高研雅,1711,2480,"[72, 138, 141]","[22, 24, 18]","Before she could make up her mind, she was taken possession of by Mr. Brooke, who said all in one breath, ""I couldn't help hearing, Meg.",123,n. 听觉;听说;聆讯,"她还没来得及下定决心,就被布鲁克先生拉住了。他一口气说道:“我忍不住听见了,梅格。”",,"1. 逐项解析:
(1) Before she could make up her mind:before引导时间状语从句,「在她来得及下定决心之前」;make up one's mind是固定短语,「打定主意、下定决心」。
(2) she was taken possession of:被动语态,原形take possession of,本义「占有、取得所有权」,这里形容梅格「被布鲁克先生一把拉住/接管」,带戏谑的「束手就擒」感。
(3) by Mr. Brooke:被动句的施动者,「被布鲁克先生」。
(4) who said all in one breath:who引导非限制性定语从句,补充说明Mr. Brooke;in one breath是「一口气、不间断地」把话说完。
(5) I couldn't help hearing:「我忍不住听见了」;can't help doing sth.是固定搭配,「忍不住、不自觉地做了某事」,hearing即目标词,这里作动名词,兼有名词「听觉、听见」的味道。
(6) Meg:直呼其名,是拉近距离的称呼语。
(7) 难点:take possession of的被动态理解;can't help doing的结构;in one breath的急促语气。

2. 整句解读:
这是一个把两人关系推到临界点的俏皮场面:梅格正拿不定主意,布鲁克先生却抢先一步,一把「接管」了她——take possession of这词用得夸张而不失甜蜜,配得上一个惹人发笑的浪漫巧合;而他不等人反应就all in one breath一口气说完,那份又急又窘的神态跃然纸上。最后那句I couldn't help hearing最妙:他明明「听见」了不该听的悄悄话,偏要装作不好意思,好顺势开口、把话接下去。译文「拉住了」「一口气道」「我忍不住听见了」都处理得流畅传神,青年男女话间的尴尬与心动尽在其中。

3. 文化点:
布鲁克先生与梅格的姻缘是《小妇人》第一卷的重要线索。19世纪小说中,「偶然听见/撞见表白」是极受欢迎的爱情桥段——爱的雷声先到,真相随后揭晓。作者在此用严谨稳重的take possession of来写爱情,正是那种藏在正经措辞底下的调皮幽默。","像耳朵被风悄悄掀开一条缝,不该听见的话自己钻了进来,想捂都捂不住。"
ease,b2,noun,2.5833,1,14,i:z,"n. 安乐, 安逸, 悠闲 / vt. 使安乐, 使安心, 减轻, 放松 / vi. 减轻, 放松, 灵活地移动",高研四六雅,3229,3093,[42],[7],"Anxious to appear friendly and at her ease, she put out her hand with a confiding gesture, and said gratefully . . .",38,"n. 自在,安逸;轻松 v. 减轻,缓解","她急于显得友好、自在,便带着信任的姿态伸出手,感激地说……",,"1. 逐项解析：
1) Anxious to appear friendly and at her ease：句首没有主语，而是一个形容词短语作状语，说明她当时的状态——「急于要显得友好、自在」。Anxious 后接不定式 to appear，表达迫切想做成某事；appear 是系动词，后接形容词 friendly 作表语；at her ease 是固定搭配 at (one's) ease，意为「舒坦自在、不拘束」，这里的 ease 是名词，正是本词条的核心用法。
2) she put out her hand：she 是主语；put out 是动词短语，意为「伸出」；her hand 是宾语。
3) with a confiding gesture：with 介词短语作伴随状语，说明伸手时带着的神态；confiding 是超纲词，形容词，意为「信任的、向人袒露的」，来自动词 confide（倾诉、托付秘密）；gesture 意为「姿态、手势」。整个短语可以译作「带着信任的姿态」。
4) and said gratefully . . .：said 说；gratefully 是超纲词，副词，意为「感激地」，来自形容词 grateful（感激的）；结尾的「. . .」是省略号，表示她的话没有写全，欲言又止。
2. 整句解读：全句主干是 she put out her hand and said gratefully，句首的形容词短语是修饰动作的伴随状态，即「她怀着想显得友好自在的心情」，于是伸出手、带着信任的姿态、感激地开口。at (one's) ease 是全句的气氛关键词——在正式场合里一个人「自在不自在」正是察言观色的焦点。中文译文把 anxious 处理成「急于」，把 at her ease 译成「自在」，顺序几乎照搬原文，读起来自然流畅；句尾省略号保留了原文那份欲说还休的客气留白。
3. 文化点：《小妇人》写的是 19 世纪美国中产家庭的社交生活，淑女初次拜会长辈时要懂得起身、伸手、面带从容，说话不能失礼。at ease 与否，是当时衡量一个人教养、气度的小小标尺，所以句中才会着意写她「急于显得自在」。",想象你陷进一把旧摇椅，双腿一晃，全世界都跟着慢了下来——那种松一口气的感觉，就是 ease。
accomplish,b2,verb,2.5833,1,14,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美",高研四托雅宝,2345,5546,[167],[21],She had accomplished a great deal in that single morning.,-1,v. 完成，实现（accomplish a task）,就这一个上午，她已经完成了许多事情。,1,"1. 逐项解析：
1) She：主语。
2) had accomplished：谓语，过去完成时（had + 过去分词），表示动作发生在「过去的某个时间点之前」并已完成——在故事里，指的是一上午干完活，回头一看，事情都已经办妥了。accomplish 本词意为「完成、实现」。
3) a great deal：名词短语，作宾语，意为「许多、大量」，指一大串事情，不是单件。
4) in that single morning：介词短语作时间状语，in 表示「在某段时间之内」；single 是强调词，意为「仅仅这一介」，暗含「只一个上午，居然做完了这么多」的感叹。
2. 整句解读：全句主干是 She had accomplished a great deal，时间状语 in that single morning 放在句尾作补充说明。single 一词是点睛之笔：它强化「区区一个上午」的短暂，与 a great deal 的「大量」形成对比，话里透出一种能干、高效、甚至有点得意的意味。译文开头「就」字把 single 的强调语气原样搬了过来——「就这一个上午，她已经完成了许多事情」，读起来轻重正好。过去完成时表明这些成果在叙事时点已被当作既成事实，中文用「已经」对应。
3. 文化点：《小妇人》中的姑娘们一个上午往往要完成缝纫、家务、读书、待客等一串事务，accomplish a great deal 这类说法既写实也含夸奖，符合 19 世纪以勤劳为美的家庭氛围。",想象一张清晨列满小事的清单，到正午被一支支笔逐条划掉，最后一格「啪」地打钩——accomplish 就是那最后一笔落下的瞬间。
parlor,toe,,2.58,3,39,'pɑ:lә,"n. 客厅, 会客室, 小店 / a. 客厅的",,0,0,"[141, 150, 171]","[15, 8, 17]","You don't look festive, ma'am, what's the matter?"" asked Laurie, following her into a corner of the parlor, whither all had adjourned to greet Mr. Laurence.",100,n. 客厅，会客室（美式拼写 parlour）,“你看上去不太喜庆啊，夫人，出什么事了？”劳里问道，跟着她来到客厅一角……,,"1. 逐项解析：
1) You don't look festive, ma'am, what's the matter?：问句部分。don't look 中 look 是系动词，意为「看起来」，后接形容词 festive（喜庆的、欢乐的）作表语；ma'am 是对女性的尊称，缩写自 madam；what's the matter 是惯用语，意为「怎么了、出什么事了」。
2) asked Laurie：直接引语后的引述结构，强调是劳里发问。
3) following her into a corner of the parlor：现在分词短语作伴随状语，说明劳里边问边跟着她走；follow sb. into 意为「跟着某人进到某处」；corner of the parlor 是「客厅的一角」；parlor 是美式拼写，意为「客厅、会客室」，英式写作 parlour。
4) whither all had adjourned to greet Mr. Laurence：whither 是古雅、书面的连接词，等于 where（往哪里去），多见于 19 世纪书面语，理解成 where 即可；all（大家）had adjourned 是过去完成时，adjourn to 本义是「（会议等）散场转往他处」，这里形象地说「一众人移步到了客厅一角」；to greet Mr. Laurence 是不定式表目的，意为「去迎接劳伦斯先生」。
2. 整句解读：这是劳里对梅格说的关切话：你看上去无精打采，怎么啦？后半句「following her into a corner of the parlor」描写他边说边跟梅格走到客厅角落，那里正是大家移步过去迎接劳伦斯先生的地方。句中最有时代味的是 whither 一词，今天的英语已不再这么用，译成中文自然不必逐字对应；全句读来是热闹场景里的一处私密对话——宾客齐聚客厅，而两人躲到角落说话，分寸感十足。中文译文以省略号收尾，把 require 繁复的 whither 从句轻轻带过，重心放在前两句对话上。
3. 文化点：19 世纪美国家庭的 parlor 是正式的会客厅，摆着最好的家具，只在接待客人、举行小型社交时启用，平时家里人都待在小起居室。劳伦斯先生是家境殷实的老邻居，全家人特意移步到 parlor 迎接他，可见待客礼节之隆重；字典里把它标为 TOE(超出考试范围)熟词，就是这个生活词汇在文本里的典型用法。",想象推开那扇镶花的玻璃门，绒布沙发不动，落地钟不响，屋中央的蕾丝罩布替你屏住了呼吸——这不常到的房间，就是 parlor。
haste,c1,,2.5667,1,4,heist,"n. 匆忙, 急忙",研四六托雅,13347,9482,[17],[13],"I hate to wait, so if you mean ever to do it, make haste and have it over quickly,"" said Jo pettishly.",51,n. 匆忙（make haste 赶快；in haste 匆忙地）,“我讨厌等，所以你要是打定主意做，就快点，三下五除二办完。”乔没好气地说。,,"1. 逐项解析：
1) I hate to wait：hate 后接不定式 to wait，意为「讨厌（不得不）等待」；hate to do 强调对某件将要做的事感到厌烦。
2) so if you mean ever to do it：so 表结果，意为「所以」；if you mean to do it 是「你要是打算做这件事」，mean to do 意为「有意、打定主意要做」；ever 是语气词，加强条件，透出「你要是当真打算做」的催促感。
3) make haste：固定搭配，意为「赶快、抓紧」，haste 正是本词条，名词「匆忙」。一起用的还有 make haste slow（欲速则不达）这样的谚语。
4) and have it over quickly：have it over 是口语化说法，意为「把它办完、了结掉」，加上 quickly（快）进一步催促；宾语 it 指前面说的那件事。
5) said Jo pettishly：引述结构；pettishly 是副词，意为「没好气地、不耐烦地」，来自形容词 pettish（闹别扭的），点出乔说话时赌气的口气。
2. 整句解读：这是急性子乔在撂话：我讨厌等人，所以你要是真打算干那事，就利利索索赶紧办完。三个短句一气呵成，祈使句 make haste 是命令式的催促，have it over quickly 又补一脚「办完了事」，急迫感一层层递进；pettishly 则告诉读者她并不是真生气，只是没好气地嘟囔。中文译文用「三下五除二」这个利落的口语词，与原文那股「快、干脆」的语气严丝合缝。
3. 文化点：乔是《小妇人》四姐妹中最活泼急燥的一位，说话快人快语、不肯受拘束，常和淑女风范对着干。haste 相关的谚语如 make haste（赶快）、more haste, less speed（欲速则不达）在 19 世纪英语里都是常用语，字典常把 make haste 与 in haste（匆忙地）并为一组记忆。",想象闹钟的秒针噔噔催着你系鞋带，越急手指越打结，脑里只挤出一个字——快。那就是 haste。
