word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
domestic,b2,adjective,2.6833,4,11,dәu'mestik,"a. 家庭的, 国内的, 驯养的",研四六托雅,1547,1381,"[5, 11, 21, 55]","[2, 31, 25, 23]","He does not let business wean him from the little cares and duties that affect us all, and I try not to let domestic worries destroy my interest in his pursuits.",108,a. 家庭的；国内的；驯养的（domestic cares 家务）,他并不让生意上的事冲淡那些与我们息息相关的小小家务与责任，而我也努力不让家务事……,
captive,c1,,2.6267,2,4,'kæptiv,"n. 俘虏, 迷恋者 / a. 被俘的, 被迷住的",研四六雅,9226,11324,"[8, 119]","[15, 27]","When he went out in the morning he was bewildered by small commissions for the captive mamma, if he came gaily in at night, eager to embrace his family, he was quenched by a ""Hush!",79,n. 俘虏；被迷住的人　a. 被擒获的（captive audience 被动的听众）,他早晨出门时，被这位“被囚禁的妈妈”交代的一堆买办小事弄得晕头晕脑；要是他高高兴兴回来……,
perpetual,c1,,2.5933,1,5,pә'petʃuәl,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的",研六雅宝,8766,8450,[12],[22],The old house seemed sunk in a perpetual Sunday stillness.,-1,a. 永久的，不断的；没完没了的,这幢老宅仿佛沉浸在一种永恒的礼拜日般的宁静里。,1
defy,c1,verb,2.5667,1,4,di'fai,"vt. 藐视, 挑衅, 使落空 / n. 挑战",研六托雅宝,5583,5975,[115],[28],The puzzle defied all their attempts to solve it.,-1,v. 公然违抗；使（理解等）成为不可能（defy description）,这个谜团让大家怎么都解不开。,1
tune,b2,noun,2.5633,2,11,tju:n,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度 / vt. 为...调音, 调整, 调谐, 使一致 / vi. 协调, 调谐",高研四六托雅,3646,3770,"[16, 143]","[13, 9]",I really need some music to put me in tune.,38,n. 曲调，旋律（in tune 合拍；put in tune 进入状态）,“我真的需要点音乐来让自己进入状态。”,
continually,c1,adverb,2.54,1,3,kәn'tinjuәli,"adv. 不断地, 频繁地",托,5510,4684,[30],[15],"""He's away all day, and at night when I want to see him, he is continually going over to the Scotts'.",63,"adv. 不断地,一再地","“他整天不在家,晚上我想见他的时候,他又老是往斯科特家跑。”",
declaration,c1,noun,2.5133,1,2,.deklә'reiʃәn,"n. 宣告, 说明, 宣布",研六托雅,5595,3227,[1],[9],"Though no declaration was made, they both understood.",-1,n. 声明，宣告（a declaration of love 表白）,虽然没有明说，他们两人心照不宣。,1
lamentation,c1,,2.5133,1,2,.læmәn'teiʃәn,"n. 悲叹, 哀悼",六,23933,22161,[25],[62],Jo's lamentations over her spoiled manuscript filled the room.,-1,n. 哀叹，悲叹；恸哭,乔为被毁的手稿哀叹不已，整个房间都是她的悲声。,1
amusement,b2,,2.4933,2,14,ә'mju:zmәnt,"n. 兴味, 娱乐, 消遣",高六,6732,5357,"[9, 31]","[13, 13]","It isn't fair that I should have the hardest work, and never any amusement.",65,n. 娱乐，消遣（to one's amusement 令其忍俊不禁）,“让我干最重的活，一点娱乐都没有，这不公平。”,
exclusion,c1,noun,2.4867,1,1,ik'sklu:ʒәn,"n. 排除, 除外, 逐出",托,6233,4041,[3],[24],"As she was a womanly little woman, the maternal instinct was very strong, and she was entirely absorbed in her children, to the utter exclusion of everything and everybody else.",134,n. 排斥，排除在外（to the exclusion of 不顾其他的）,她是个十足女性化的小妇人，母性的本能非常强烈，整个人完全扑在了孩子身上……,
ignorance,c1,noun,2.4867,1,1,'ignәrәns,"n. 无知, 愚味",研六托雅,5789,5259,[5],[33],Her ignorance of the simplest household arts astonished him.,-1,n. 无知，不了解（ignorance of）,她对最简单的家务都一窍不通，让他吃惊。,1
unfit,c1,,2.4867,1,1,.ʌn'fit,"a. 不适当的, 不胜任的, 不健康的 / vt. 使不相宜, 使不合格",高六,13433,9543,[43],[40],"He was quite unfit for the rough work, and soon gave it up.",-1,a. 不适合的（unfit for）；不胜任的,他干这粗活完全不行，很快就放弃了。,1
multitude,c1,,2.4867,1,1,'mʌltitju:d,"n. 多数, 群众",研六托雅宝,8435,8452,[65],[3],"Love covers a multitude of sins, and of whom could you ask more freely than of him?",14,n. 众多，大量（a multitude of）；（the multitude 大众）,爱能遮掩许多的过错，而除了他，你还能更随意地向谁开口呢？,
occasionally,b2,adverb,2.4833,2,8,ә'keiʒәnli,"adv. 有时候, 偶而",四六托,2485,2205,"[21, 75]","[22, 16]","She was nervous and worn out with watching and worry, and in that unreasonable frame of mind which the best of mothers occasionally experience when domestic cares oppress them.",119,"adv. 偶尔,间或","她因看护与忧虑而神经紧张、筋疲力尽,正处在最慈爱的母亲们在家务重压下也偶尔会有的那种不讲理的烦躁心境里。",
slave,b2,noun,2.4833,2,8,sleiv,"n. 奴隶, 从动装置, 卑鄙的人 / vi. 拼命工作",高研四六托,2727,3948,"[75, 108]","[4, 4]",You have made a slave of yourself long enough.,16,n. 奴隶　vi. 拼命苦干（slave away）,“你已经把自己累成奴隶够久了。”,
lately,b2,adverb,2.4767,1,10,'leitli,"adv. 近来, 最近",高研四六托,4028,6088,[147],[24],"It's only an experiment, John, and I want to try it for your sake as much as for mine, because I've neglected you shamefully lately, and I'm going to make home what it used to be, if I can.",125,"adv. 最近,近来","这只是个试验,约翰,我既为你,也为自己想试一试,因为近来我把你冷落得实在不像话,只要可能,我要把家变回从前的样子。",
fade,b2,verb,2.45,1,9,feid,"vi. 褪色, 消失, 凋谢 / vt. 使褪色 / n. 淡入, 淡出 / a. 平淡的",高研四六托雅宝,2882,3506,[24],[11],"John doesn't find me interesting any longer, so he leaves his faded wife and goes to see his pretty neighbor, who has no incumbrances.",62,"v. 褪色,凋零;渐渐消失","约翰不再觉得我有意思了,于是他撇下憔悴的妻子,去看那位没有拖累的漂亮邻居了。",
appeal,b2,noun,2.45,1,9,ә'pi:l,"n. 恳求, 诉请, 上诉, 吸引力 / vi. 呼吁, 诉请, 要求, 上诉, 有吸引力 / vt. 将...上诉",高研四六托雅宝,1852,942,[25],[44],His quiet appeal for help could not be refused.,-1,v. 恳求，呼吁（appeal to）；有吸引力　n. 恳求；吸引力,他低声恳求帮助，让人无法拒绝。,1
